TotalFrame,Time,DeltaTime,FPS
7571,0.0000,0.008770,114.02
7572,0.0000,0.008770,114.02
7573,0.0200,0.020000,50.00
7574,0.0231,0.003118,320.70
7575,0.0264,0.003236,309.02
7576,0.0373,0.010947,91.35
7577,0.0435,0.006227,160.58
7578,0.0496,0.006117,163.47
7579,0.0557,0.006061,165.00
7580,0.0619,0.006184,161.71
7581,0.0679,0.005971,167.47
7582,0.0741,0.006212,160.99
7583,0.0800,0.005885,169.93
7584,0.0861,0.006107,163.76
7585,0.0922,0.006108,163.71
7586,0.0982,0.006044,165.45
7587,0.1042,0.005969,167.54
7588,0.1103,0.006089,164.24
7589,0.1164,0.006159,162.36
7590,0.1225,0.006073,164.67
7591,0.1285,0.006020,166.10
7592,0.1348,0.006293,158.90
7593,0.1406,0.005821,171.80
7594,0.1465,0.005863,170.55
7595,0.1528,0.006302,158.67
7596,0.1589,0.006129,163.16
7597,0.1652,0.006265,159.61
7598,0.1713,0.006108,163.73
7599,0.1771,0.005770,173.31
7600,0.1844,0.007306,136.87
7601,0.1893,0.004876,205.08
7602,0.1954,0.006094,164.10
7603,0.2013,0.005939,168.39
7604,0.2075,0.006205,161.16
7605,0.2135,0.005970,167.50
7606,0.2196,0.006090,164.21
7607,0.2256,0.006059,165.04
7608,0.2317,0.006110,163.67
7609,0.2377,0.006018,166.16
7610,0.2441,0.006321,158.21
7611,0.2500,0.005943,168.26
7612,0.2561,0.006135,163.00
7613,0.2620,0.005901,169.46
7614,0.2681,0.006009,166.41
7615,0.2742,0.006146,162.70
7616,0.2802,0.005990,166.94
7617,0.2863,0.006059,165.04
7618,0.2924,0.006164,162.25
7619,0.2984,0.005986,167.05
7620,0.3045,0.006085,164.35
7621,0.3105,0.006022,166.06
7622,0.3166,0.006111,163.64
7623,0.3227,0.006033,165.75
7624,0.3287,0.006094,164.09
7625,0.3348,0.006032,165.78
7626,0.3410,0.006210,161.04
7627,0.3470,0.006016,166.23
7628,0.3535,0.006451,155.03
7629,0.3595,0.006025,165.98
7630,0.3654,0.005940,168.35
7631,0.3717,0.006287,159.05
7632,0.3779,0.006152,162.54
7633,0.3840,0.006164,162.23
7634,0.3903,0.006303,158.66
7635,0.3970,0.006723,148.75
7636,0.4033,0.006240,160.25
7637,0.4098,0.006498,153.89
7638,0.4163,0.006473,154.50
7639,0.4220,0.005757,173.69
7640,0.4282,0.006157,162.42
7641,0.4342,0.006067,164.84
7642,0.4404,0.006155,162.47
7643,0.4466,0.006223,160.69
7644,0.4527,0.006092,164.16
7645,0.4589,0.006233,160.44
7646,0.4653,0.006400,156.25
7647,0.4711,0.005800,172.42
7648,0.4773,0.006160,162.34
7649,0.4836,0.006254,159.91
7650,0.4898,0.006254,159.91
7651,0.4958,0.005967,167.59
7652,0.5019,0.006078,164.53
7653,0.5079,0.006005,166.54
7654,0.5141,0.006285,159.11
7655,0.5204,0.006271,159.46
7656,0.5266,0.006198,161.35
7657,0.5328,0.006199,161.32
7658,0.5388,0.006025,165.99
7659,0.5449,0.006082,164.43
7660,0.5512,0.006298,158.79
7661,0.5575,0.006277,159.31
7662,0.5636,0.006058,165.08
7663,0.5695,0.005944,168.23
7664,0.5758,0.006310,158.49
7665,0.5819,0.006144,162.77
7666,0.5879,0.005993,166.87
7667,0.5941,0.006163,162.25
7668,0.6002,0.006056,165.12
7669,0.6064,0.006227,160.58
7670,0.6125,0.006108,163.71
7671,0.6189,0.006382,156.68
7672,0.6251,0.006249,160.03
7673,0.6310,0.005856,170.76
7674,0.6372,0.006183,161.74
7675,0.6433,0.006156,162.45
7676,0.6494,0.006072,164.70
7677,0.6557,0.006310,158.49
7678,0.6618,0.006071,164.73
7679,0.6681,0.006302,158.69
7680,0.6741,0.005986,167.07
7681,0.6796,0.005498,181.89
7682,0.6858,0.006271,159.47
7683,0.6918,0.005949,168.10
7684,0.6979,0.006092,164.16
7685,0.7040,0.006109,163.68
7686,0.7100,0.006032,165.78
7687,0.7163,0.006312,158.44
7688,0.7221,0.005814,172.01
7689,0.7282,0.006084,164.36
7690,0.7344,0.006219,160.81
7691,0.7404,0.005977,167.32
7692,0.7470,0.006567,152.29
7693,0.7530,0.006039,165.59
7694,0.7590,0.005989,166.96
7695,0.7649,0.005917,169.00
7696,0.7711,0.006181,161.80
7697,0.7772,0.006057,165.09
7698,0.7832,0.006071,164.73
7699,0.7893,0.006079,164.51
7700,0.7956,0.006274,159.40
7701,0.8015,0.005929,168.67
7702,0.8076,0.006107,163.76
7703,0.8138,0.006130,163.14
7704,0.8198,0.006034,165.73
7705,0.8259,0.006149,162.63
7706,0.8319,0.005992,166.88
7707,0.8382,0.006268,159.53
7708,0.8442,0.006023,166.03
7709,0.8503,0.006094,164.10
7710,0.8564,0.006108,163.71
7711,0.8625,0.006096,164.04
7712,0.8687,0.006137,162.94
7713,0.8747,0.006040,165.57
7714,0.8808,0.006114,163.57
7715,0.8870,0.006214,160.93
7716,0.8930,0.005929,168.67
7717,0.8992,0.006237,160.33
7718,0.9053,0.006108,163.71
7719,0.9113,0.006016,166.23
7720,0.9174,0.006106,163.76
7721,0.9235,0.006075,164.62
7722,0.9296,0.006132,163.07
7723,0.9357,0.006086,164.31
7724,0.9419,0.006203,161.23
7725,0.9480,0.006038,165.62
7726,0.9541,0.006110,163.67
7727,0.9602,0.006090,164.21
7728,0.9662,0.006091,164.17
7729,0.9723,0.006095,164.06
7730,0.9784,0.006083,164.38
7731,0.9845,0.006088,164.25
7732,0.9906,0.006137,162.94
7733,0.9965,0.005893,169.69
7734,1.0026,0.006097,164.01
7735,1.0089,0.006251,159.97
7736,1.0151,0.006214,160.93
7737,1.0211,0.005998,166.72
7738,1.0273,0.006177,161.90
7739,1.0333,0.005994,166.85
7740,1.0395,0.006247,160.07
7741,1.0455,0.005959,167.83
7742,1.0516,0.006076,164.57
7743,1.0577,0.006192,161.51
7744,1.0639,0.006180,161.83
7745,1.0700,0.006116,163.51
7746,1.0762,0.006137,162.94
7747,1.0824,0.006184,161.72
7748,1.0883,0.005974,167.41
7749,1.0945,0.006184,161.72
7750,1.1006,0.006092,164.14
7751,1.1067,0.006085,164.34
7752,1.1129,0.006178,161.86
7753,1.1188,0.005927,168.72
7754,1.1249,0.006079,164.49
7755,1.1310,0.006076,164.60
7756,1.1373,0.006309,158.50
7757,1.1433,0.006021,166.09
7758,1.1493,0.006045,165.43
7759,1.1555,0.006208,161.09
7760,1.1616,0.006016,166.23
7761,1.1677,0.006156,162.45
7762,1.1738,0.006056,165.13
7763,1.1798,0.006079,164.51
7764,1.1860,0.006109,163.68
7765,1.1921,0.006125,163.26
7766,1.1981,0.006021,166.09
7767,1.2042,0.006091,164.18
7768,1.2103,0.006122,163.33
7769,1.2164,0.006108,163.73
7770,1.2225,0.006087,164.28
7771,1.2286,0.006077,164.57
7772,1.2347,0.006156,162.43
7773,1.2406,0.005840,171.24
7774,1.2472,0.006587,151.81
7775,1.2532,0.006075,164.61
7776,1.2593,0.006044,165.47
7777,1.2652,0.005919,168.96
7778,1.2713,0.006078,164.53
7779,1.2774,0.006102,163.88
7780,1.2835,0.006073,164.67
7781,1.2895,0.006071,164.72
