TotalFrame,Time,DeltaTime,FPS
26427,0.0000,0.046416,21.54
26428,0.0000,0.046416,21.54
26429,0.0200,0.020000,50.00
26430,0.0246,0.004589,217.92
26431,0.0282,0.003649,274.03
26432,0.0830,0.054778,18.26
26433,0.1302,0.047201,21.19
26434,0.1802,0.050032,19.99
26435,0.2279,0.047655,20.98
26436,0.2758,0.047932,20.86
26437,0.3236,0.047735,20.95
26438,0.3712,0.047624,21.00
26439,0.4190,0.047805,20.92
26440,0.4665,0.047460,21.07
26441,0.5141,0.047639,20.99
26442,0.5618,0.047683,20.97
26443,0.6094,0.047599,21.01
26444,0.6570,0.047615,21.00
26445,0.7047,0.047705,20.96
26446,0.7522,0.047548,21.03
26447,0.8006,0.048346,20.68
26448,0.8481,0.047517,21.05
26449,0.8958,0.047652,20.99
26450,0.9435,0.047785,20.93
26451,0.9910,0.047462,21.07
26452,1.0386,0.047580,21.02
26453,1.0862,0.047641,20.99
26454,1.1343,0.048105,20.79
26455,1.1818,0.047459,21.07
26456,1.2300,0.048237,20.73
26457,1.2773,0.047324,21.13
26458,1.3250,0.047590,21.01
26459,1.3725,0.047594,21.01
26460,1.4202,0.047662,20.98
26461,1.4680,0.047807,20.92
26462,1.5155,0.047472,21.07
26463,1.5631,0.047648,20.99
26464,1.6107,0.047538,21.04
26465,1.6583,0.047675,20.98
26466,1.7060,0.047655,20.98
26467,1.7536,0.047583,21.02
26468,1.8012,0.047609,21.00
26469,1.8488,0.047672,20.98
26470,1.8966,0.047724,20.95
26471,1.9444,0.047856,20.90
26472,1.9920,0.047552,21.03
26473,2.0396,0.047574,21.02
26474,2.0872,0.047656,20.98
26475,2.1348,0.047616,21.00
26476,2.1826,0.047723,20.95
26477,2.2301,0.047520,21.04
26478,2.2781,0.048017,20.83
26479,2.3256,0.047517,21.05
26480,2.3732,0.047595,21.01
26481,2.4213,0.048062,20.81
26482,2.4687,0.047398,21.10
26483,2.5161,0.047462,21.07
26484,2.5637,0.047578,21.02
26485,2.6114,0.047700,20.96
26486,2.6591,0.047650,20.99
26487,2.7067,0.047623,21.00
26488,2.7544,0.047683,20.97
26489,2.8021,0.047746,20.94
26490,2.8497,0.047638,20.99
26491,2.8971,0.047321,21.13
26492,2.9453,0.048203,20.75
26493,2.9928,0.047486,21.06
26494,3.0404,0.047642,20.99
26495,3.0878,0.047447,21.08
26496,3.1359,0.048090,20.79
26497,3.1832,0.047260,21.16
26498,3.2307,0.047549,21.03
26499,3.2787,0.047981,20.84
26500,3.3264,0.047737,20.95
26501,3.3740,0.047535,21.04
26502,3.4217,0.047656,20.98
26503,3.4693,0.047683,20.97
26504,3.5168,0.047525,21.04
26505,3.5646,0.047757,20.94
26506,3.6124,0.047769,20.93
26507,3.6600,0.047629,21.00
26508,3.7076,0.047575,21.02
26509,3.7552,0.047635,20.99
26510,3.8031,0.047893,20.88
26511,3.8504,0.047328,21.13
26512,3.8981,0.047627,21.00
26513,3.9462,0.048170,20.76
26514,3.9941,0.047881,20.89
26515,4.0411,0.047018,21.27
26516,4.0887,0.047507,21.05
26517,4.1363,0.047690,20.97
26518,4.1840,0.047640,20.99
26519,4.2315,0.047539,21.04
26520,4.2795,0.047970,20.85
26521,4.3272,0.047708,20.96
26522,4.3748,0.047634,20.99
26523,4.4225,0.047666,20.98
26524,4.4702,0.047709,20.96
26525,4.5178,0.047613,21.00
26526,4.5654,0.047604,21.01
26527,4.6131,0.047719,20.96
26528,4.6607,0.047566,21.02
26529,4.7083,0.047620,21.00
26530,4.7560,0.047639,20.99
26531,4.8040,0.047986,20.84
26532,4.8511,0.047194,21.19
26533,4.8988,0.047703,20.96
26534,4.9466,0.047793,20.92
26535,4.9941,0.047482,21.06
26536,5.0417,0.047592,21.01
26537,5.0894,0.047660,20.98
26538,5.1370,0.047606,21.01
26539,5.1852,0.048166,20.76
26540,5.2324,0.047219,21.18
26541,5.2803,0.047902,20.88
26542,5.3282,0.047944,20.86
