TotalFrame,Time,DeltaTime,FPS
32327,0.0000,0.091608,10.92
32328,0.0000,0.091608,10.92
32329,0.0200,0.020000,50.00
32330,0.0320,0.012010,83.27
32331,0.0432,0.011235,89.01
32332,0.1186,0.075354,13.27
32333,0.2098,0.091244,10.96
32334,0.3029,0.093030,10.75
32335,0.3948,0.091995,10.87
32336,0.4860,0.091083,10.98
32337,0.5788,0.092874,10.77
32338,0.6716,0.092839,10.77
32339,0.7640,0.092300,10.83
32340,0.8557,0.091764,10.90
32341,0.9481,0.092388,10.82
32342,1.0398,0.091717,10.90
32343,1.1312,0.091401,10.94
32344,1.2236,0.092333,10.83
32345,1.3154,0.091869,10.89
32346,1.4088,0.093314,10.72
32347,1.5000,0.091280,10.96
32348,1.5926,0.092605,10.80
32349,1.6847,0.092096,10.86
32350,1.7756,0.090924,11.00
32351,1.8680,0.092400,10.82
32352,1.9617,0.093708,10.67
32353,2.0536,0.091832,10.89
32354,2.1475,0.093887,10.65
32355,2.2393,0.091870,10.88
32356,2.3333,0.093991,10.64
32357,2.4314,0.098074,10.20
32358,2.5272,0.095742,10.44
32359,2.6185,0.091410,10.94
32360,2.7145,0.096008,10.42
32361,2.8069,0.092328,10.83
32362,2.9000,0.093147,10.74
32363,2.9927,0.092615,10.80
32364,3.0857,0.093020,10.75
32365,3.1801,0.094471,10.59
32366,3.2743,0.094164,10.62
32367,3.3663,0.092014,10.87
32368,3.4591,0.092781,10.78
32369,3.5532,0.094058,10.63
32370,3.6442,0.091046,10.98
32371,3.7371,0.092917,10.76
32372,3.8290,0.091850,10.89
32373,3.9215,0.092523,10.81
32374,4.0127,0.091231,10.96
32375,4.1055,0.092791,10.78
32376,4.1978,0.092326,10.83
32377,4.2900,0.092226,10.84
32378,4.3818,0.091708,10.90
32379,4.4736,0.091886,10.88
32380,4.5660,0.092320,10.83
32381,4.6575,0.091478,10.93
32382,4.7493,0.091869,10.89
32383,4.8414,0.092029,10.87
32384,4.9333,0.091949,10.88
32385,5.0254,0.092093,10.86
32386,5.1179,0.092521,10.81
32387,5.2092,0.091332,10.95
32388,5.3015,0.092273,10.84
32389,5.3935,0.091989,10.87
32390,5.4854,0.091921,10.88
32391,5.5786,0.093095,10.74
32392,5.6705,0.091928,10.88
32393,5.7623,0.091787,10.89
32394,5.8541,0.091903,10.88
32395,5.9464,0.092224,10.84
32396,6.0376,0.091251,10.96
32397,6.1299,0.092234,10.84
32398,6.2217,0.091836,10.89
32399,6.3140,0.092272,10.84
32400,6.4060,0.092021,10.87
32401,6.4980,0.092070,10.86
32402,6.5908,0.092751,10.78
32403,6.6817,0.090896,11.00
32404,6.7747,0.093047,10.75
32405,6.8665,0.091741,10.90
32406,6.9578,0.091246,10.96
32407,7.0505,0.092813,10.77
32408,7.1424,0.091839,10.89
32409,7.2343,0.091955,10.87
32410,7.3268,0.092490,10.81
32411,7.4184,0.091552,10.92
32412,7.5102,0.091824,10.89
32413,7.6029,0.092681,10.79
32414,7.6946,0.091716,10.90
32415,7.7862,0.091595,10.92
32416,7.8786,0.092384,10.82
32417,7.9703,0.091712,10.90
32418,8.0625,0.092202,10.85
32419,8.1547,0.092161,10.85
32420,8.2464,0.091759,10.90
32421,8.3387,0.092245,10.84
32422,8.4304,0.091753,10.90
32423,8.5234,0.092982,10.75
32424,8.6147,0.091349,10.95
32425,8.7071,0.092368,10.83
32426,8.7997,0.092563,10.80
32427,8.8917,0.092048,10.86
32428,8.9836,0.091860,10.89
32429,9.0748,0.091211,10.96
32430,9.1678,0.092973,10.76
32431,9.2598,0.092071,10.86
32432,9.3515,0.091683,10.91
32433,9.4438,0.092251,10.84
32434,9.5366,0.092821,10.77
32435,9.6278,0.091194,10.97
32436,9.7213,0.093537,10.69
32437,9.8125,0.091178,10.97
32438,9.9045,0.092017,10.87
32439,9.9955,0.090945,11.00
