TotalFrame,Time,DeltaTime,FPS
133916,0.0000,0.008310,120.34
133917,0.0000,0.008310,120.34
133918,0.0200,0.020000,50.00
133919,0.0231,0.003142,318.24
133920,0.0261,0.002961,337.76
133921,0.0405,0.014388,69.50
133922,0.0480,0.007497,133.39
133923,0.0562,0.008271,120.90
133924,0.0638,0.007538,132.66
133925,0.0718,0.007990,125.16
133926,0.0792,0.007374,135.62
133927,0.0872,0.008099,123.47
133928,0.0950,0.007710,129.70
133929,0.1028,0.007830,127.72
133930,0.1107,0.007931,126.10
133931,0.1185,0.007804,128.14
133932,0.1260,0.007544,132.55
133933,0.1342,0.008084,123.70
133934,0.1418,0.007685,130.12
133935,0.1497,0.007870,127.06
133936,0.1574,0.007739,129.22
133937,0.1653,0.007875,126.99
133938,0.1732,0.007846,127.46
133939,0.1809,0.007773,128.65
133940,0.1887,0.007738,129.24
133941,0.1965,0.007842,127.52
133942,0.2045,0.007974,125.41
133943,0.2125,0.008006,124.91
133944,0.2202,0.007692,130.01
133945,0.2283,0.008071,123.91
133946,0.2360,0.007715,129.63
133947,0.2439,0.007951,125.77
133948,0.2515,0.007615,131.33
133949,0.2594,0.007876,126.97
133950,0.2676,0.008237,121.40
133951,0.2750,0.007347,136.11
133952,0.2829,0.007880,126.91
133953,0.2908,0.007893,126.69
133954,0.2983,0.007573,132.04
133955,0.3063,0.007944,125.89
133956,0.3140,0.007664,130.48
133957,0.3219,0.007952,125.75
133958,0.3297,0.007756,128.93
133959,0.3376,0.008004,124.93
133960,0.3452,0.007552,132.42
133961,0.3531,0.007858,127.27
133962,0.3608,0.007738,129.23
133963,0.3687,0.007854,127.32
133964,0.3765,0.007822,127.85
133965,0.3843,0.007861,127.22
133966,0.3922,0.007864,127.17
133967,0.4007,0.008463,118.17
133968,0.4080,0.007322,136.58
133969,0.4158,0.007861,127.21
133970,0.4236,0.007777,128.58
133971,0.4316,0.007995,125.09
133972,0.4392,0.007586,131.83
133973,0.4472,0.008023,124.65
133974,0.4557,0.008501,117.64
133975,0.4626,0.006934,144.23
133976,0.4707,0.008061,124.05
133977,0.4789,0.008207,121.84
133978,0.4865,0.007556,132.35
133979,0.4942,0.007694,129.96
133980,0.5022,0.007995,125.07
133981,0.5101,0.007914,126.36
133982,0.5179,0.007761,128.85
133983,0.5258,0.007966,125.54
133984,0.5336,0.007830,127.72
133985,0.5416,0.007894,126.68
133986,0.5494,0.007864,127.16
133987,0.5573,0.007845,127.46
133988,0.5651,0.007893,126.70
133989,0.5731,0.007934,126.04
133990,0.5810,0.007918,126.29
133991,0.5887,0.007655,130.63
133992,0.5966,0.007892,126.72
133993,0.6044,0.007833,127.67
133994,0.6122,0.007881,126.89
133995,0.6202,0.007926,126.17
133996,0.6279,0.007767,128.75
133997,0.6356,0.007689,130.06
133998,0.6444,0.008747,114.32
133999,0.6519,0.007463,134.00
134000,0.6595,0.007624,131.16
134001,0.6675,0.008080,123.76
134002,0.6752,0.007654,130.66
134003,0.6833,0.008113,123.27
134004,0.6910,0.007695,129.95
134005,0.6991,0.008099,123.48
134006,0.7071,0.007961,125.61
134007,0.7148,0.007768,128.74
134008,0.7226,0.007728,129.39
134009,0.7305,0.007971,125.46
134010,0.7385,0.007951,125.78
134011,0.7462,0.007655,130.63
134012,0.7540,0.007869,127.08
134013,0.7620,0.007951,125.77
134014,0.7699,0.007905,126.50
134015,0.7776,0.007771,128.69
134016,0.7854,0.007762,128.84
134017,0.7932,0.007726,129.43
134018,0.8012,0.008099,123.47
134019,0.8091,0.007862,127.19
134020,0.8168,0.007745,129.12
134021,0.8248,0.007911,126.40
134022,0.8326,0.007922,126.24
134023,0.8408,0.008105,123.37
134024,0.8486,0.007819,127.89
134025,0.8565,0.007892,126.71
134026,0.8642,0.007708,129.73
134027,0.8720,0.007807,128.08
134028,0.8800,0.008002,124.96
134029,0.8878,0.007732,129.34
134030,0.8959,0.008163,122.50
134031,0.9037,0.007783,128.48
134032,0.9111,0.007393,135.26
134033,0.9190,0.007940,125.95
134034,0.9270,0.007991,125.15
134035,0.9347,0.007706,129.76
134036,0.9426,0.007877,126.95
134037,0.9504,0.007826,127.79
134038,0.9587,0.008338,119.93
134039,0.9664,0.007678,130.25
134040,0.9742,0.007760,128.86
134041,0.9818,0.007632,131.04
134042,0.9899,0.008047,124.27
134043,0.9975,0.007616,131.30
134044,1.0053,0.007806,128.10
134045,1.0131,0.007799,128.22
134046,1.0210,0.007882,126.88
134047,1.0292,0.008264,121.01
134048,1.0367,0.007537,132.69
134049,1.0445,0.007730,129.36
134050,1.0523,0.007829,127.74
134051,1.0602,0.007839,127.56
134052,1.0679,0.007740,129.19
134053,1.0757,0.007858,127.26
134054,1.0840,0.008202,121.93
134055,1.0915,0.007527,132.86
134056,1.0996,0.008105,123.38
134057,1.1074,0.007745,129.11
134058,1.1152,0.007851,127.37
134059,1.1230,0.007872,127.03
134060,1.1310,0.007895,126.66
134061,1.1388,0.007846,127.46
134062,1.1466,0.007766,128.76
134063,1.1545,0.007913,126.37
134064,1.1622,0.007771,128.69
134065,1.1700,0.007811,128.03
134066,1.1780,0.007882,126.87
134067,1.1857,0.007802,128.18
134068,1.1936,0.007867,127.11
134069,1.2015,0.007839,127.57
134070,1.2094,0.007954,125.72
134071,1.2172,0.007737,129.24
134072,1.2252,0.007980,125.31
134073,1.2328,0.007660,130.54
134074,1.2407,0.007915,126.34
134075,1.2485,0.007748,129.07
134076,1.2561,0.007648,130.76
134077,1.2641,0.007995,125.07
134078,1.2720,0.007921,126.25
134079,1.2802,0.008115,123.23
134080,1.2877,0.007540,132.62
134081,1.2955,0.007817,127.92
134082,1.3033,0.007810,128.04
134083,1.3111,0.007823,127.83
134084,1.3190,0.007895,126.67
134085,1.3268,0.007772,128.68
134086,1.3348,0.008024,124.62
134087,1.3425,0.007652,130.68
134088,1.3504,0.007916,126.33
134089,1.3582,0.007837,127.59
134090,1.3663,0.008030,124.53
134091,1.3740,0.007699,129.90
134092,1.3817,0.007759,128.89
134093,1.3896,0.007894,126.68
134094,1.3978,0.008153,122.65
134095,1.4055,0.007697,129.91
134096,1.4132,0.007756,128.94
134097,1.4209,0.007700,129.87
134098,1.4288,0.007903,126.53
134099,1.4366,0.007833,127.67
134100,1.4445,0.007818,127.91
134101,1.4523,0.007829,127.72
134102,1.4603,0.007973,125.43
134103,1.4681,0.007842,127.52
134104,1.4758,0.007644,130.82
134105,1.4837,0.007977,125.37
134106,1.4915,0.007733,129.32
134107,1.4993,0.007867,127.12
134108,1.5072,0.007896,126.65
134109,1.5150,0.007731,129.35
134110,1.5229,0.008023,124.64
134111,1.5310,0.008005,124.92
134112,1.5388,0.007751,129.01
134113,1.5465,0.007789,128.38
134114,1.5543,0.007730,129.36
134115,1.5622,0.007929,126.12
134116,1.5701,0.007945,125.87
134117,1.5776,0.007473,133.82
134118,1.5857,0.008067,123.97
134119,1.5935,0.007860,127.23
134120,1.6015,0.008003,124.95
