TotalFrame,Time,DeltaTime,FPS
216361,0.0000,0.015035,66.51
216362,0.0000,0.015035,66.51
216363,0.0200,0.020000,50.00
216364,0.0306,0.010655,93.85
216365,0.0415,0.010808,92.53
216366,0.0510,0.009533,104.90
216367,0.0614,0.010393,96.22
216368,0.0762,0.014765,67.73
216369,0.0913,0.015091,66.27
216370,0.1069,0.015637,63.95
216371,0.1224,0.015504,64.50
216372,0.1378,0.015370,65.06
216373,0.1533,0.015561,64.27
216374,0.1694,0.016041,62.34
216375,0.1855,0.016160,61.88
216376,0.2012,0.015645,63.92
216377,0.2162,0.014972,66.79
216378,0.2314,0.015336,65.21
216379,0.2476,0.016062,62.26
216380,0.2632,0.015687,63.75
216381,0.2778,0.014652,68.25
216382,0.2935,0.015602,64.09
216383,0.3090,0.015429,64.81
216384,0.3245,0.015483,64.59
216385,0.3400,0.015582,64.18
216386,0.3553,0.015388,64.98
216387,0.3711,0.015679,63.78
216388,0.3865,0.015464,64.67
216389,0.4019,0.015383,65.01
216390,0.4175,0.015537,64.36
216391,0.4329,0.015438,64.77
216392,0.4480,0.015118,66.15
216393,0.4637,0.015802,63.28
216394,0.4797,0.015937,62.75
216395,0.4954,0.015571,64.22
216396,0.5104,0.015083,66.30
216397,0.5259,0.015523,64.42
216398,0.5414,0.015518,64.44
216399,0.5568,0.015332,65.22
216400,0.5724,0.015647,63.91
216401,0.5874,0.015001,66.66
216402,0.6036,0.016278,61.43
216403,0.6188,0.015090,66.27
216404,0.6343,0.015539,64.35
216405,0.6501,0.015841,63.13
216406,0.6652,0.014965,66.82
216407,0.6805,0.015467,64.66
216408,0.6958,0.015203,65.78
216409,0.7113,0.015549,64.31
216410,0.7273,0.016000,62.50
216411,0.7427,0.015392,64.97
216412,0.7582,0.015451,64.72
216413,0.7738,0.015629,63.98
216414,0.7899,0.016156,61.90
216415,0.8057,0.015748,63.50
216416,0.8210,0.015385,65.00
216417,0.8367,0.015565,64.25
216418,0.8519,0.015286,65.42
216419,0.8676,0.015559,64.27
216420,0.8829,0.015365,65.08
216421,0.8984,0.015550,64.31
216422,0.9137,0.015272,65.48
216423,0.9292,0.015550,64.31
216424,0.9447,0.015492,64.55
216425,0.9601,0.015398,64.94
216426,0.9756,0.015439,64.77
216427,0.9912,0.015580,64.19
216428,1.0065,0.015345,65.17
216429,1.0220,0.015455,64.70
216430,1.0375,0.015499,64.52
216431,1.0530,0.015557,64.28
216432,1.0684,0.015346,65.17
216433,1.0836,0.015232,65.65
216434,1.0994,0.015829,63.17
216435,1.1149,0.015392,64.97
216436,1.1301,0.015345,65.17
216437,1.1458,0.015621,64.02
216438,1.1611,0.015381,65.02
216439,1.1768,0.015558,64.28
216440,1.1921,0.015417,64.86
216441,1.2075,0.015335,65.21
216442,1.2231,0.015653,63.89
216443,1.2385,0.015352,65.14
216444,1.2544,0.015971,62.61
216445,1.2698,0.015375,65.04
216446,1.2848,0.014945,66.91
216447,1.3003,0.015533,64.38
216448,1.3154,0.015101,66.22
216449,1.3308,0.015442,64.76
216450,1.3466,0.015732,63.56
216451,1.3619,0.015418,64.86
216452,1.3774,0.015508,64.48
216453,1.3931,0.015530,64.39
216454,1.4083,0.015267,65.50
216455,1.4240,0.015710,63.65
216456,1.4393,0.015374,65.04
216457,1.4550,0.015557,64.28
216458,1.4708,0.015852,63.08
216459,1.4863,0.015522,64.43
216460,1.5018,0.015473,64.63
216461,1.5168,0.015115,66.16
216462,1.5325,0.015550,64.31
216463,1.5482,0.015810,63.25
216464,1.5637,0.015440,64.77
216465,1.5792,0.015466,64.66
216466,1.5947,0.015575,64.21
216467,1.6099,0.015116,66.15
216468,1.6255,0.015679,63.78
216469,1.6411,0.015534,64.37
216470,1.6565,0.015425,64.83
216471,1.6719,0.015415,64.87
216472,1.6881,0.016208,61.70
216473,1.7028,0.014692,68.07
216474,1.7183,0.015412,64.88
216475,1.7338,0.015588,64.15
216476,1.7491,0.015360,65.10
216477,1.7651,0.015944,62.72
216478,1.7803,0.015175,65.90
216479,1.7958,0.015467,64.65
216480,1.8113,0.015474,64.63
216481,1.8268,0.015492,64.55
216482,1.8427,0.015898,62.90
216483,1.8578,0.015193,65.82
216484,1.8734,0.015649,63.90
216485,1.8888,0.015274,65.47
216486,1.9038,0.015107,66.19
216487,1.9202,0.016274,61.45
216488,1.9352,0.015123,66.12
216489,1.9507,0.015451,64.72
216490,1.9662,0.015514,64.46
216491,1.9817,0.015532,64.38
216492,1.9971,0.015344,65.17
216493,2.0126,0.015504,64.50
216494,2.0278,0.015250,65.57
216495,2.0435,0.015663,63.85
216496,2.0591,0.015536,64.37
216497,2.0745,0.015484,64.58
216498,2.0900,0.015453,64.71
216499,2.1056,0.015604,64.08
216500,2.1209,0.015335,65.21
216501,2.1364,0.015413,64.88
216502,2.1520,0.015594,64.13
216503,2.1674,0.015402,64.93
216504,2.1831,0.015830,63.17
216505,2.1985,0.015387,64.99
216506,2.2137,0.015243,65.61
216507,2.2295,0.015675,63.79
216508,2.2448,0.015317,65.29
216509,2.2607,0.015959,62.66
216510,2.2756,0.014869,67.26
216511,2.2911,0.015539,64.36
216512,2.3066,0.015466,64.66
216513,2.3221,0.015536,64.37
216514,2.3378,0.015624,64.00
216515,2.3533,0.015516,64.45
216516,2.3691,0.015834,63.15
216517,2.3844,0.015276,65.46
216518,2.4003,0.015908,62.86
216519,2.4156,0.015406,64.91
216520,2.4313,0.015516,64.45
216521,2.4467,0.015483,64.59
216522,2.4622,0.015504,64.50
216523,2.4781,0.015914,62.84
216524,2.4933,0.015208,65.75
216525,2.5088,0.015418,64.86
216526,2.5247,0.015924,62.80
216527,2.5398,0.015143,66.04
216528,2.5553,0.015535,64.37
216529,2.5708,0.015452,64.72
216530,2.5864,0.015595,64.12
216531,2.6018,0.015387,64.99
216532,2.6173,0.015578,64.19
216533,2.6326,0.015193,65.82
216534,2.6486,0.015972,62.61
216535,2.6637,0.015162,65.96
216536,2.6792,0.015526,64.41
216537,2.6949,0.015721,63.61
216538,2.7107,0.015782,63.36
216539,2.7255,0.014803,67.55
216540,2.7416,0.016006,62.48
216541,2.7563,0.014879,67.21
216542,2.7720,0.015534,64.38
216543,2.7875,0.015542,64.34
216544,2.8029,0.015409,64.90
216545,2.8182,0.015321,65.27
216546,2.8337,0.015550,64.31
216547,2.8492,0.015510,64.47
216548,2.8646,0.015344,65.17
216549,2.8801,0.015571,64.22
216550,2.8961,0.015975,62.60
216551,2.9111,0.014994,66.69
216552,2.9266,0.015484,64.58
216553,2.9420,0.015440,64.77
216554,2.9575,0.015499,64.52
216555,2.9730,0.015389,64.98
216556,2.9885,0.015538,64.36
216557,3.0039,0.015423,64.84
216558,3.0193,0.015405,64.92
216559,3.0348,0.015518,64.44
216560,3.0503,0.015410,64.89
216561,3.0658,0.015534,64.37
216562,3.0814,0.015658,63.87
216563,3.0970,0.015632,63.97
216564,3.1121,0.014961,66.84
216565,3.1277,0.015611,64.06
216566,3.1433,0.015630,63.98
216567,3.1588,0.015502,64.51
216568,3.1740,0.015195,65.81
216569,3.1901,0.016114,62.06
216570,3.2058,0.015735,63.55
216571,3.2211,0.015232,65.65
216572,3.2371,0.015975,62.60
216573,3.2515,0.014424,69.33
216574,3.2673,0.015885,62.95
216575,3.2827,0.015323,65.26
216576,3.2981,0.015481,64.60
216577,3.3136,0.015397,64.95
216578,3.3291,0.015535,64.37
216579,3.3442,0.015195,65.81
216580,3.3596,0.015352,65.14
216581,3.3755,0.015811,63.25
216582,3.3909,0.015376,65.04
216583,3.4075,0.016607,60.22
216584,3.4224,0.014922,67.01
216585,3.4377,0.015459,64.69
216586,3.4539,0.016014,62.44
216587,3.4691,0.015322,65.27
216588,3.4846,0.015431,64.81
216589,3.4996,0.015124,66.12
216590,3.5150,0.015357,65.12
216591,3.5304,0.015312,65.31
216592,3.5458,0.015418,64.86
216593,3.5618,0.015962,62.65
216594,3.5771,0.015394,64.96
216595,3.5924,0.015264,65.51
216596,3.6078,0.015354,65.13
216597,3.6233,0.015481,64.59
216598,3.6390,0.015824,63.20
216599,3.6545,0.015438,64.78
216600,3.6702,0.015724,63.60
216601,3.6857,0.015473,64.63
216602,3.7011,0.015324,65.26
216603,3.7162,0.015131,66.09
216604,3.7318,0.015718,63.62
216605,3.7473,0.015435,64.79
216606,3.7626,0.015249,65.58
216607,3.7782,0.015639,63.94
216608,3.7932,0.015055,66.42
216609,3.8096,0.016289,61.39
216610,3.8247,0.015121,66.13
216611,3.8402,0.015510,64.47
216612,3.8555,0.015291,65.40
216613,3.8709,0.015448,64.73
216614,3.8864,0.015499,64.52
216615,3.9016,0.015152,66.00
216616,3.9170,0.015474,64.62
216617,3.9327,0.015731,63.57
216618,3.9484,0.015585,64.16
216619,3.9639,0.015520,64.43
216620,3.9796,0.015743,63.52
216621,3.9949,0.015270,65.49
216622,4.0103,0.015391,64.97
216623,4.0258,0.015481,64.60
216624,4.0413,0.015556,64.29
216625,4.0566,0.015387,64.99
216626,4.0723,0.015563,64.25
216627,4.0878,0.015467,64.66
216628,4.1033,0.015493,64.55
216629,4.1195,0.016247,61.55
216630,4.1344,0.014965,66.82
216631,4.1503,0.015895,62.91
216632,4.1665,0.016216,61.67
216633,4.1813,0.014775,67.68
216634,4.1969,0.015595,64.13
216635,4.2135,0.016570,60.35
216636,4.2278,0.014262,70.11
216637,4.2435,0.015838,63.14
216638,4.2589,0.015353,65.14
216639,4.2744,0.015545,64.33
216640,4.2898,0.015326,65.25
216641,4.3057,0.015829,63.18
216642,4.3214,0.015751,63.49
216643,4.3365,0.015147,66.02
216644,4.3518,0.015261,65.53
216645,4.3672,0.015429,64.81
216646,4.3827,0.015513,64.46
216647,4.3984,0.015697,63.71
216648,4.4139,0.015507,64.49
216649,4.4301,0.016085,62.17
216650,4.4451,0.015103,66.21
216651,4.4608,0.015689,63.74
216652,4.4761,0.015243,65.60
216653,4.4916,0.015493,64.55
216654,4.5071,0.015578,64.19
216655,4.5229,0.015860,63.05
216656,4.5381,0.015136,66.07
216657,4.5536,0.015434,64.79
216658,4.5690,0.015419,64.85
216659,4.5845,0.015483,64.59
216660,4.5999,0.015407,64.91
216661,4.6156,0.015710,63.66
216662,4.6306,0.015047,66.46
216663,4.6464,0.015687,63.75
216664,4.6619,0.015610,64.06
216665,4.6771,0.015221,65.70
216666,4.6925,0.015316,65.29
216667,4.7086,0.016149,61.92
216668,4.7239,0.015252,65.57
