TotalFrame,Time,DeltaTime,FPS
77616,0.0000,0.032725,30.56
77617,0.0000,0.032725,30.56
77618,0.0200,0.020000,50.00
77619,0.0515,0.031475,31.77
77620,0.0834,0.031876,31.37
77621,0.1133,0.030010,33.32
77622,0.1439,0.030578,32.70
77623,0.1741,0.030192,33.12
77624,0.2033,0.029143,34.31
77625,0.2334,0.030112,33.21
77626,0.2633,0.029928,33.41
77627,0.2933,0.029949,33.39
77628,0.3235,0.030288,33.02
77629,0.3538,0.030280,33.02
77630,0.3846,0.030803,32.46
77631,0.4151,0.030460,32.83
77632,0.4449,0.029822,33.53
77633,0.4747,0.029727,33.64
77634,0.5024,0.027760,36.02
77635,0.5328,0.030348,32.95
77636,0.5626,0.029864,33.48
77637,0.5925,0.029880,33.47
77638,0.6235,0.031063,32.19
77639,0.6533,0.029764,33.60
77640,0.6832,0.029911,33.43
77641,0.7133,0.030105,33.22
77642,0.7432,0.029892,33.45
77643,0.7739,0.030656,32.62
77644,0.8037,0.029811,33.55
77645,0.8340,0.030253,33.05
77646,0.8638,0.029876,33.47
77647,0.8939,0.030020,33.31
77648,0.9241,0.030296,33.01
77649,0.9548,0.030615,32.66
77650,0.9845,0.029731,33.64
77651,1.0148,0.030289,33.02
77652,1.0447,0.029894,33.45
77653,1.0752,0.030503,32.78
77654,1.1050,0.029830,33.52
77655,1.1360,0.031032,32.22
77656,1.1663,0.030197,33.12
77657,1.1963,0.030053,33.27
77658,1.2256,0.029309,34.12
77659,1.2556,0.030010,33.32
77660,1.2853,0.029733,33.63
77661,1.3154,0.030022,33.31
77662,1.3458,0.030481,32.81
77663,1.3751,0.029292,34.14
77664,1.4048,0.029649,33.73
77665,1.4352,0.030406,32.89
77666,1.4651,0.029937,33.40
77667,1.4952,0.030057,33.27
77668,1.5250,0.029799,33.56
77669,1.5548,0.029797,33.56
77670,1.5843,0.029479,33.92
77671,1.6144,0.030187,33.13
77672,1.6461,0.031632,31.61
77673,1.6763,0.030174,33.14
77674,1.7063,0.030053,33.27
77675,1.7364,0.030074,33.25
77676,1.7662,0.029875,33.47
77677,1.7961,0.029799,33.56
77678,1.8268,0.030773,32.50
77679,1.8574,0.030581,32.70
77680,1.8874,0.029989,33.35
77681,1.9172,0.029864,33.49
77682,1.9473,0.030072,33.25
77683,1.9774,0.030022,33.31
77684,2.0071,0.029755,33.61
77685,2.0368,0.029681,33.69
77686,2.0668,0.029947,33.39
77687,2.0973,0.030517,32.77
77688,2.1275,0.030220,33.09
77689,2.1588,0.031304,31.94
77690,2.1888,0.030051,33.28
77691,2.2186,0.029759,33.60
77692,2.2488,0.030178,33.14
77693,2.2785,0.029749,33.61
77694,2.3090,0.030439,32.85
77695,2.3386,0.029599,33.79
77696,2.3684,0.029828,33.53
77697,2.3983,0.029886,33.46
77698,2.4282,0.029917,33.43
77699,2.4579,0.029697,33.67
77700,2.4875,0.029590,33.79
77701,2.5173,0.029786,33.57
77702,2.5469,0.029592,33.79
77703,2.5770,0.030174,33.14
77704,2.6068,0.029698,33.67
77705,2.6365,0.029764,33.60
77706,2.6673,0.030826,32.44
77707,2.6974,0.030145,33.17
77708,2.7279,0.030460,32.83
77709,2.7579,0.029948,33.39
77710,2.7882,0.030335,32.97
77711,2.8181,0.029922,33.42
77712,2.8482,0.030053,33.27
77713,2.8782,0.029985,33.35
77714,2.9084,0.030239,33.07
77715,2.9380,0.029629,33.75
77716,2.9688,0.030751,32.52
77717,2.9985,0.029705,33.66
77718,3.0284,0.029973,33.36
77719,3.0587,0.030170,33.15
77720,3.0884,0.029810,33.55
77721,3.1191,0.030703,32.57
77722,3.1496,0.030463,32.83
77723,3.1805,0.030853,32.41
77724,3.2106,0.030104,33.22
77725,3.2398,0.029212,34.23
77726,3.2697,0.029855,33.50
77727,3.2996,0.029975,33.36
77728,3.3294,0.029772,33.59
77729,3.3593,0.029848,33.50
77730,3.3889,0.029605,33.78
77731,3.4185,0.029687,33.68
77732,3.4484,0.029910,33.43
77733,3.4784,0.029942,33.40
77734,3.5081,0.029672,33.70
77735,3.5374,0.029346,34.08
77736,3.5676,0.030211,33.10
77737,3.5974,0.029779,33.58
77738,3.6273,0.029906,33.44
77739,3.6577,0.030349,32.95
77740,3.6888,0.031231,32.02
77741,3.7187,0.029813,33.54
77742,3.7490,0.030264,33.04
77743,3.7793,0.030342,32.96
77744,3.8093,0.030014,33.32
77745,3.8394,0.030107,33.21
77746,3.8692,0.029810,33.55
77747,3.8998,0.030608,32.67
77748,3.9301,0.030286,33.02
77749,3.9613,0.031187,32.06
77750,3.9913,0.029989,33.35
77751,4.0214,0.030117,33.20
77752,4.0510,0.029652,33.72
77753,4.0812,0.030210,33.10
77754,4.1111,0.029865,33.48
77755,4.1409,0.029782,33.58
77756,4.1708,0.029957,33.38
77757,4.2025,0.031672,31.57
77758,4.2321,0.029607,33.78
77759,4.2617,0.029597,33.79
77760,4.2913,0.029595,33.79
77761,4.3224,0.031125,32.13
77762,4.3519,0.029383,34.03
77763,4.3812,0.029321,34.11
77764,4.4108,0.029670,33.70
77765,4.4411,0.030240,33.07
77766,4.4713,0.030151,33.17
77767,4.5013,0.030089,33.23
77768,4.5317,0.030418,32.87
77769,4.5615,0.029776,33.58
77770,4.5913,0.029771,33.59
77771,4.6222,0.030920,32.34
77772,4.6522,0.029928,33.41
77773,4.6847,0.032542,30.73
77774,4.7155,0.030794,32.47
77775,4.7469,0.031479,31.77
77776,4.7781,0.031141,32.11
77777,4.8085,0.030384,32.91
77778,4.8394,0.030933,32.33
77779,4.8693,0.029912,33.43
77780,4.8999,0.030561,32.72
77781,4.9296,0.029690,33.68
77782,4.9597,0.030174,33.14
77783,4.9902,0.030437,32.85
77784,5.0200,0.029857,33.49
77785,5.0500,0.030005,33.33
77786,5.0800,0.029973,33.36
77787,5.1100,0.029959,33.38
77788,5.1410,0.031044,32.21
77789,5.1716,0.030524,32.76
77790,5.2016,0.030075,33.25
77791,5.2314,0.029816,33.54
77792,5.2609,0.029516,33.88
77793,5.2914,0.030475,32.81
77794,5.3194,0.027969,35.75
77795,5.3489,0.029551,33.84
77796,5.3787,0.029779,33.58
77797,5.4086,0.029902,33.44
77798,5.4388,0.030251,33.06
77799,5.4689,0.030050,33.28
77800,5.4994,0.030497,32.79
77801,5.5299,0.030496,32.79
77802,5.5599,0.030036,33.29
77803,5.5897,0.029774,33.59
77804,5.6194,0.029740,33.63
77805,5.6497,0.030206,33.11
77806,5.6808,0.031112,32.14
77807,5.7104,0.029691,33.68
77808,5.7402,0.029686,33.69
77809,5.7705,0.030319,32.98
77810,5.8002,0.029683,33.69
77811,5.8300,0.029859,33.49
77812,5.8599,0.029891,33.45
77813,5.8896,0.029714,33.65
77814,5.9210,0.031312,31.94
77815,5.9512,0.030238,33.07
77816,5.9829,0.031731,31.52
77817,6.0130,0.030101,33.22
77818,6.0427,0.029728,33.64
77819,6.0726,0.029913,33.43
77820,6.1021,0.029464,33.94
77821,6.1326,0.030481,32.81
77822,6.1637,0.031108,32.15
77823,6.1940,0.030243,33.07
77824,6.2242,0.030214,33.10
77825,6.2520,0.027796,35.98
77826,6.2813,0.029299,34.13
77827,6.3109,0.029685,33.69
77828,6.3407,0.029783,33.58
77829,6.3705,0.029733,33.63
77830,6.4003,0.029823,33.53
77831,6.4296,0.029321,34.11
77832,6.4594,0.029833,33.52
77833,6.4904,0.030943,32.32
77834,6.5201,0.029751,33.61
77835,6.5497,0.029598,33.79
77836,6.5804,0.030717,32.56
77837,6.6099,0.029464,33.94
77838,6.6398,0.029892,33.45
77839,6.6696,0.029825,33.53
77840,6.7012,0.031632,31.61
77841,6.7310,0.029785,33.57
77842,6.7612,0.030191,33.12
77843,6.7916,0.030324,32.98
77844,6.8218,0.030222,33.09
77845,6.8517,0.029982,33.35
77846,6.8815,0.029689,33.68
77847,6.9116,0.030118,33.20
77848,6.9413,0.029726,33.64
77849,6.9709,0.029622,33.76
77850,7.0015,0.030614,32.67
77851,7.0317,0.030147,33.17
77852,7.0596,0.027921,35.81
77853,7.0891,0.029461,33.94
77854,7.1185,0.029505,33.89
77855,7.1472,0.028670,34.88
77856,7.1793,0.032065,31.19
77857,7.2143,0.034974,28.59
77858,7.2444,0.030199,33.11
77859,7.2772,0.032682,30.60
77860,7.3069,0.029763,33.60
77861,7.3369,0.030002,33.33
77862,7.3667,0.029778,33.58
77863,7.3960,0.029301,34.13
77864,7.4261,0.030170,33.15
77865,7.4561,0.029944,33.40
77866,7.4860,0.029912,33.43
77867,7.5165,0.030545,32.74
77868,7.5461,0.029543,33.85
77869,7.5759,0.029750,33.61
77870,7.6056,0.029710,33.66
77871,7.6361,0.030572,32.71
77872,7.6661,0.029999,33.33
77873,7.6959,0.029705,33.66
77874,7.7265,0.030687,32.59
77875,7.7543,0.027812,35.96
77876,7.7843,0.029942,33.40
77877,7.8142,0.029905,33.44
77878,7.8442,0.030038,33.29
77879,7.8751,0.030809,32.46
77880,7.9048,0.029769,33.59
77881,7.9342,0.029407,34.01
77882,7.9644,0.030131,33.19
77883,7.9942,0.029858,33.49
77884,8.0247,0.030488,32.80
77885,8.0545,0.029835,33.52
77886,8.0839,0.029408,34.00
77887,8.1135,0.029569,33.82
77888,8.1436,0.030082,33.24
77889,8.1741,0.030497,32.79
77890,8.2045,0.030407,32.89
77891,8.2354,0.030947,32.31
77892,8.2651,0.029707,33.66
77893,8.2950,0.029837,33.52
77894,8.3246,0.029671,33.70
77895,8.3546,0.029929,33.41
77896,8.3837,0.029077,34.39
77897,8.4131,0.029501,33.90
77898,8.4440,0.030873,32.39
77899,8.4741,0.030108,33.21
77900,8.5038,0.029671,33.70
77901,8.5339,0.030148,33.17
77902,8.5642,0.030227,33.08
77903,8.5939,0.029730,33.64
77904,8.6235,0.029615,33.77
77905,8.6537,0.030146,33.17
77906,8.6841,0.030443,32.85
77907,8.7138,0.029694,33.68
77908,8.7452,0.031392,31.86
77909,8.7746,0.029375,34.04
77910,8.8045,0.029908,33.44
77911,8.8342,0.029717,33.65
77912,8.8637,0.029531,33.86
77913,8.8932,0.029457,33.95
77914,8.9236,0.030438,32.85
77915,8.9534,0.029745,33.62
77916,8.9833,0.029900,33.44
77917,9.0146,0.031297,31.95
77918,9.0442,0.029592,33.79
77919,9.0741,0.029925,33.42
77920,9.1038,0.029664,33.71
77921,9.1335,0.029777,33.58
77922,9.1636,0.030104,33.22
77923,9.1947,0.031044,32.21
77924,9.2235,0.028859,34.65
77925,9.2535,0.029931,33.41
77926,9.2832,0.029737,33.63
77927,9.3128,0.029618,33.76
77928,9.3428,0.030029,33.30
77929,9.3727,0.029807,33.55
77930,9.4021,0.029436,33.97
77931,9.4318,0.029715,33.65
77932,9.4617,0.029936,33.40
77933,9.4916,0.029866,33.48
77934,9.5222,0.030519,32.77
77935,9.5514,0.029280,34.15
77936,9.5810,0.029580,33.81
77937,9.6117,0.030690,32.58
77938,9.6413,0.029648,33.73
77939,9.6713,0.029995,33.34
77940,9.7020,0.030647,32.63
77941,9.7352,0.033238,30.09
77942,9.7667,0.031451,31.80
77943,9.7985,0.031815,31.43
77944,9.8281,0.029686,33.69
77945,9.8580,0.029841,33.51
77946,9.8880,0.030018,33.31
77947,9.9179,0.029907,33.44
77948,9.9474,0.029507,33.89
77949,9.9771,0.029612,33.77
