TotalFrame,Time,DeltaTime,FPS
18488,0.0000,0.009676,103.35
18489,0.0000,0.009676,103.35
18490,0.0200,0.020000,50.00
18491,0.0241,0.004112,243.17
18492,0.0276,0.003510,284.88
18493,0.0345,0.006906,144.80
18494,0.0377,0.003178,314.64
18495,0.0407,0.003021,331.01
18496,0.0438,0.003085,324.13
18497,0.0476,0.003746,266.96
18498,0.0509,0.003352,298.37
18499,0.0540,0.003085,324.15
18500,0.0571,0.003123,320.18
18501,0.0603,0.003131,319.38
18502,0.0635,0.003203,312.19
18503,0.0665,0.003015,331.66
18504,0.0695,0.003050,327.86
18505,0.0726,0.003114,321.09
18506,0.0760,0.003319,301.34
18507,0.0791,0.003165,316.01
18508,0.0822,0.003073,325.47
18509,0.0853,0.003078,324.87
18510,0.0883,0.002992,334.19
18511,0.0914,0.003127,319.83
18512,0.0946,0.003220,310.58
18513,0.0976,0.003013,331.93
18514,0.1006,0.002981,335.49
18515,0.1037,0.003063,326.46
18516,0.1067,0.003017,331.48
18517,0.1099,0.003195,313.03
18518,0.1129,0.003034,329.58
18519,0.1159,0.002987,334.80
18520,0.1189,0.003000,333.33
18521,0.1220,0.003136,318.92
18522,0.1251,0.003110,321.55
18523,0.1281,0.002994,334.03
18524,0.1311,0.003014,331.74
18525,0.1342,0.003067,326.03
18526,0.1373,0.003044,328.48
18527,0.1404,0.003155,316.97
18528,0.1435,0.003093,323.33
18529,0.1466,0.003079,324.80
18530,0.1496,0.003042,328.72
18531,0.1528,0.003128,319.72
18532,0.1561,0.003344,299.06
18533,0.1592,0.003107,321.88
18534,0.1623,0.003044,328.52
18535,0.1653,0.003086,324.10
18536,0.1683,0.002939,340.30
18537,0.1716,0.003325,300.72
18538,0.1746,0.003004,332.91
18539,0.1777,0.003077,325.01
18540,0.1807,0.003028,330.26
18541,0.1839,0.003226,309.96
18542,0.1872,0.003248,307.86
18543,0.1903,0.003154,317.04
18544,0.1934,0.003103,322.26
18545,0.1967,0.003239,308.74
18546,0.1997,0.002978,335.84
18547,0.2031,0.003440,290.69
18548,0.2062,0.003062,326.58
18549,0.2092,0.003027,330.34
18550,0.2123,0.003068,325.99
18551,0.2153,0.003035,329.54
18552,0.2185,0.003217,310.83
18553,0.2216,0.003096,322.96
