Object count,Average FPS,Average RAM Usage
50000,233.6794510133445,467.1704213184999
0,349.0069801396028,432.79247289399
250,332.30664613292265,432.96974526028805
500,332.25648360221237,433.1456226369751
750,333.5333533353335,433.3177009895254
1000,333.39001530413213,433.50315667568515
1250,333.20666413328263,433.6537811224476
1500,331.74976246436967,433.8297658727942
1750,333.2499874981247,434.0056007502859
2000,333.61668083404174,434.2067910671347
2250,331.8331833183318,434.35748661844394
2500,333.01665083254164,434.51366858856517
2750,331.6,434.7092022014441
3000,332.17972313355205,434.8654846130498
3250,332.033203320332,435.06079792169083
3500,331.379531087461,435.21721364320837
3750,331.7,435.3736358154888
4000,332.033203320332,435.60816951805475
4250,332.6166308315416,435.7645720384799
4500,331.5331533153315,435.92088805429495
4750,332.6,436.07729693326155
5000,332.2332233223322,436.2356357916902
5250,330.96619323864775,436.47011795104277
5500,329.6,436.6264933556018
5750,330.94964244636697,436.7828233303005
6000,331.41657082854147,436.93902033793995
6250,330.9,437.0955254759757
6500,331.7796271105065,437.3298322580853
6750,332.1166058302915,437.4862240289158
7000,331.379531087461,437.64261385451647
7250,331.04965744861727,437.7991529003223
7500,330.0495074261139,437.9555431212145
7750,331.06621324264853,438.26816870089766
8000,332.1,438.4243757000989
8250,330.7,438.58086138496054
8500,332.0963079292995,438.73727195785153
8750,331.7796271105065,438.8935034066725
9000,332.36647329465893,439.0499063496824
9250,331.2795070816996,439.2063408816203
9500,331.74976246436967,439.36253970456585
9750,331.3497024553683,439.5350733775886
10000,331.249687453118,439.67530603865146
10250,331.47955509322236,439.98791246229
10500,331.74976246436967,440.1442853180454
10750,321.56431286257254,440.300537573871
11000,297.9595919183837,440.45687183619197
11250,331.44971745761865,440.61334957755764
11500,332.7,440.7696247370012
11750,332.4,440.92608549938933
12000,332.67984316235896,441.0854121166584
12250,327.91639581979103,441.2417734370236
12500,327.71638581929096,441.39810897163187
12750,326.97847483396015,441.710830773942
13000,326.43264326432643,441.86711740197285
13250,324.57789869568694,442.0204955623971
13500,324.06481296259255,442.17691169752663
13750,324.4324432443244,442.3331617755863
14000,317.93179317931794,442.48957615601876
14250,317.3761702808674,442.6458913961673
14500,316.84752712906936,442.80192708333783
14750,316.2474371155673,443.1144760910873
15000,315.7631526305261,443.11456338295005
15250,315.74736210431564,443.42720829901583
15500,315.3315331533153,443.7399063114546
15750,310.76215243048614,443.7399437721253
16000,310.7466119917988,444.0524512713215
16250,309.2742258141954,444.0526634540873
16500,309.9309930993099,444.36526724749706
16750,309.2896940112633,444.3652736739946
17000,308.53085308530854,444.6779976661317
17250,308.6,444.6781231043317
17500,308.48946194396376,444.99074559013445
17750,301.27230535328476,445.3032904382437
18000,301.1,445.30343045500035
18250,296.07105705369287,445.61591986485644
18500,298.67168120348884,445.61608975217825
18750,299.9149957497875,445.9286728242731
19000,299.1,445.9317648612443
19250,293.8705289269425,446.2445289652735
19500,297.6863290354203,446.24449297715665
19750,315.26305261052215,446.55716199238907
20000,313.4,446.557599712822
20250,313.9753540849804,446.86718263777817
20500,314.031403140314,447.18257334394553
20750,311.5,447.1827864526621
21000,314.11570578528926,447.4953536135076
21250,315.1157557877894,447.4953025388561
21500,308.61543077153857,447.8079911860052
21750,314.99134749077234,447.8054643696528
22000,312.1624324864973,448.11765834668086
22250,308.5617123424685,448.1180104376058
22500,316.29172460013405,448.430361132183
22750,315.7915795580719,448.43044491604104
23000,315.1472720908136,448.74312135829837
23250,315.3473020953143,449.05568601332726
23500,314.51572578628935,449.0558801907674
23750,314.3471520728109,449.36843188035584
24000,313.5470320548082,449.36848133969926
24250,313.0751380331279,449.68121792332147
24500,307.14607191078665,449.68113660045486
24750,306.74601190178527,449.993852722543
25000,305.94589188378256,449.9938309251519
25250,305.87340961830836,450.32275330280527
25500,305.01525076253813,450.6190848524398
25750,304.9884466495284,450.619244112826
26000,304.40349718904423,450.931899737092
26250,304.3304330433043,450.9319730528999
26500,303.5303530353035,451.0514840527208
26750,303.3,451.18896422682013
27000,300.41502075103756,451.38880755659176
27250,300.2,451.52623890738056
27500,299.8149907495375,451.72630480319856
27750,299.42994299429944,451.8637311623314
28000,298.51492574628736,452.06649480736525
28250,297.84467670150525,452.2664679986618
28500,297.40111637956903,452.4038886646361
28750,297.1713211170681,452.603866004708
29000,296.6148307415371,452.74130155091603
29250,296.4711530767384,453.001120107962
29500,296.2592518503701,453.1389060432274
29750,296.04440666099913,453.27686108107514
30000,287.9691125870209,453.41404734284254
30250,287.78345720258875,453.67653451512274
30500,287.3689685524526,453.8139468151665
30750,286.81434071703586,453.9512904114458
31000,286.2572514502901,454.2136203703768
31250,286.2572514502901,454.35061027251515
31500,286.0429064359654,454.4880000699301
31750,285.5428314247137,454.62543012257885
32000,285.0826739754529,454.8908452280739
32250,284.7142357117856,455.0282964524008
32500,284.34265139770963,455.16571667251236
32750,283.6964567953104,455.3031618476676
33000,279.38102049594386,455.56552434657215
33250,279.18096247911893,455.6999944464248
33500,278.8418262739411,455.8374326398996
33750,278.11390569528476,456.0999182668081
34000,277.4,456.23735072097634
34250,277.34160124018604,456.3748102055661
34500,276.95539107821565,456.51215435175465
34750,276.7138356917846,456.7746051680745
35000,276.3663279187005,456.9119979008181
35250,275.24128619292895,457.0494552325618
35500,275.5799181762711,457.3149032305036
35750,275.24128619292895,457.4523664971013
36000,267.1400710106516,457.5898119805221
36250,266.9640713771305,457.72738175346313
36500,266.15323064612926,457.9894428034635
36750,265.9132956647833,458.1238123730526
37000,264.7900286097273,458.2612635814074
37250,265.5,458.3987630884997
37500,265.0397559633945,458.6612473962253
37750,264.57672725090276,458.7986130434862
38000,264.1898245403437,458.9361401741702
38250,263.913195659783,459.1984901477884
38500,263.55271054210846,459.33587419355086
38750,263.4395159273891,459.47336017463505
39000,263.0762921247162,459.61081912547286
39250,262.4761180742415,459.87324599847113
39500,257.7,460.01069313154915
39750,257.3,460.1480957637119
40000,257.2617428182764,460.30165587090755
40250,256.61283064153207,460.54797416211414
40500,256.5256525652565,460.68539399611564
40750,255.7997619071438,460.8309039890558
41000,255.9870355921013,461.0933092614375
41250,255.28679751115376,461.230714811911
41500,255.28679751115376,461.3683561912208
41750,254.46107065695767,461.5056402908793
42000,254.6,461.7680447761124
42250,253.8,461.90542931441723
42500,253.93809071360704,462.0428938164726
42750,253.21266063303167,462.18024336491845
43000,245.4245424542454,462.44276711492785
43250,245.0490098019604,462.5801958775512
43500,244.61223061153058,462.71757653312955
43750,244.32443244324432,462.98015083912554
44000,245.35888613267184,463.11754675908
44250,245.3,463.25496787609
44500,244.77098358523972,463.3924995504544
44750,244.2,463.6547774365244
45000,243.52435243524351,463.79217995892026
45250,243.9487897579516,463.929728659288
45500,243.58281815817375,464.0671461601579
45750,242.3824100194066,464.32958749483964
46000,242.9242924292429,464.46707752161745
46250,242.83642546381958,464.60451939867875
46500,242.1484296859372,464.8668106567543
46750,237.46886597113163,465.0042684498725
47000,237.1237123712371,465.14182163642704
47250,237.3118655932797,465.2793208175372
47500,234.4914516661498,465.54561919795077
47750,236.55677362567016,465.6835849894238
48000,236.48040333713462,465.8208543147147
48250,236.1803013024428,466.0833962304296
48500,235.89199787917286,466.2208657336578
48750,235.6471294258852,466.35829970288216
49000,235.50362159350115,466.4955888275206
49250,235.07992717523956,466.7581903829777
49500,235.02350235023502,466.89555187233765
49750,234.6,467.03311372550814
