TotalFrame,Time,DeltaTime,FPS
12239,0.0000,0.066948,14.94
12240,0.0000,0.066948,14.94
12241,0.0200,0.020000,50.00
12242,0.0870,0.066973,14.93
12243,0.1552,0.068271,14.65
12244,0.2234,0.068132,14.68
12245,0.2913,0.067883,14.73
12246,0.3587,0.067466,14.82
12247,0.4264,0.067662,14.78
12248,0.4939,0.067546,14.80
12249,0.5628,0.068877,14.52
12250,0.6332,0.070439,14.20
12251,0.7072,0.073974,13.52
12252,0.7798,0.072605,13.77
12253,0.8531,0.073305,13.64
12254,0.9246,0.071480,13.99
12255,0.9963,0.071685,13.95
12256,1.0706,0.074322,13.45
12257,1.1410,0.070392,14.21
12258,1.2155,0.074503,13.42
12259,1.2866,0.071048,14.07
12260,1.3625,0.075925,13.17
12261,1.4364,0.073885,13.53
12262,1.5074,0.070990,14.09
12263,1.5746,0.067208,14.88
12264,1.6424,0.067878,14.73
12265,1.7107,0.068292,14.64
12266,1.7786,0.067824,14.74
12267,1.8457,0.067137,14.90
12268,1.9132,0.067521,14.81
12269,1.9803,0.067070,14.91
12270,2.0472,0.066906,14.95
12271,2.1137,0.066555,15.03
12272,2.1819,0.068139,14.68
12273,2.2499,0.068009,14.70
12274,2.3165,0.066636,15.01
12275,2.3849,0.068407,14.62
12276,2.4524,0.067496,14.82
12277,2.5196,0.067145,14.89
12278,2.5865,0.066922,14.94
12279,2.6548,0.068326,14.64
12280,2.7227,0.067906,14.73
12281,2.7903,0.067540,14.81
12282,2.8589,0.068607,14.58
12283,2.9261,0.067256,14.87
12284,2.9935,0.067325,14.85
12285,3.0611,0.067677,14.78
12286,3.1284,0.067328,14.85
12287,3.1959,0.067441,14.83
12288,3.2633,0.067423,14.83
12289,3.3308,0.067422,14.83
12290,3.3978,0.067061,14.91
12291,3.4651,0.067337,14.85
12292,3.5325,0.067378,14.84
12293,3.5999,0.067426,14.83
12294,3.6680,0.068032,14.70
12295,3.7357,0.067780,14.75
12296,3.8035,0.067747,14.76
12297,3.8713,0.067789,14.75
12298,3.9386,0.067326,14.85
12299,4.0056,0.067005,14.92
12300,4.0734,0.067810,14.75
12301,4.1406,0.067125,14.90
12302,4.2084,0.067882,14.73
12303,4.2761,0.067634,14.79
12304,4.3438,0.067708,14.77
12305,4.4109,0.067137,14.89
12306,4.4778,0.066923,14.94
12307,4.5458,0.067967,14.71
12308,4.6135,0.067671,14.78
12309,4.6817,0.068186,14.67
12310,4.7499,0.068232,14.66
12311,4.8182,0.068336,14.63
12312,4.8859,0.067637,14.78
12313,4.9534,0.067553,14.80
12314,5.0211,0.067704,14.77
12315,5.0891,0.067957,14.72
12316,5.1577,0.068608,14.58
12317,5.2259,0.068163,14.67
12318,5.2935,0.067634,14.79
12319,5.3614,0.067899,14.73
12320,5.4286,0.067174,14.89
12321,5.4969,0.068352,14.63
12322,5.5646,0.067664,14.78
12323,5.6341,0.069515,14.39
12324,5.7035,0.069430,14.40
12325,5.7722,0.068725,14.55
12326,5.8410,0.068792,14.54
12327,5.9091,0.068042,14.70
12328,5.9767,0.067578,14.80
12329,6.0443,0.067608,14.79
12330,6.1120,0.067775,14.75
12331,6.1802,0.068146,14.67
12332,6.2474,0.067235,14.87
12333,6.3150,0.067609,14.79
12334,6.3819,0.066889,14.95
12335,6.4492,0.067309,14.86
12336,6.5168,0.067549,14.80
12337,6.5840,0.067218,14.88
12338,6.6517,0.067669,14.78
12339,6.7202,0.068573,14.58
12340,6.7876,0.067346,14.85
12341,6.8550,0.067462,14.82
12342,6.9228,0.067707,14.77
12343,6.9900,0.067276,14.86
12344,7.0573,0.067265,14.87
12345,7.1253,0.068041,14.70
12346,7.1936,0.068271,14.65
12347,7.2610,0.067365,14.84
12348,7.3286,0.067681,14.78
12349,7.3969,0.068221,14.66
12350,7.4640,0.067095,14.90
12351,7.5315,0.067485,14.82
12352,7.5986,0.067170,14.89
12353,7.6667,0.068056,14.69
12354,7.7350,0.068291,14.64
12355,7.8032,0.068251,14.65
12356,7.8707,0.067508,14.81
12357,7.9390,0.068251,14.65
12358,8.0063,0.067284,14.86
12359,8.0736,0.067328,14.85
12360,8.1411,0.067497,14.82
12361,8.2091,0.068023,14.70
12362,8.2770,0.067885,14.73
12363,8.3442,0.067253,14.87
12364,8.4119,0.067668,14.78
12365,8.4791,0.067135,14.90
12366,8.5463,0.067282,14.86
12367,8.6139,0.067583,14.80
12368,8.6818,0.067854,14.74
12369,8.7497,0.067963,14.71
12370,8.8173,0.067540,14.81
12371,8.8839,0.066664,15.00
12372,8.9526,0.068659,14.56
12373,9.0198,0.067199,14.88
12374,9.0871,0.067341,14.85
12375,9.1548,0.067710,14.77
12376,9.2267,0.071900,13.91
12377,9.3004,0.073663,13.58
12378,9.3693,0.068880,14.52
12379,9.4370,0.067737,14.76
12380,9.5045,0.067485,14.82
12381,9.5724,0.067860,14.74
12382,9.6401,0.067747,14.76
12383,9.7079,0.067732,14.76
12384,9.7770,0.069166,14.46
12385,9.8449,0.067878,14.73
12386,9.9128,0.067871,14.73
12387,9.9799,0.067137,14.90
