TotalFrame,Time,DeltaTime,FPS
53997,0.0000,0.010047,99.53
53998,0.0000,0.010047,99.53
53999,0.0200,0.020000,50.00
54000,0.0251,0.005083,196.75
54001,0.0310,0.005877,170.17
54002,0.0352,0.004248,235.40
54003,0.0394,0.004229,236.47
54004,0.0432,0.003777,264.77
54005,0.0471,0.003936,254.09
54006,0.0509,0.003760,265.97
54007,0.0547,0.003788,263.98
54008,0.0584,0.003746,266.97
54009,0.0623,0.003867,258.63
54010,0.0661,0.003769,265.29
54011,0.0701,0.003975,251.56
54012,0.0738,0.003732,267.95
54013,0.0775,0.003753,266.48
54014,0.0813,0.003775,264.91
54015,0.0851,0.003820,261.76
54016,0.0889,0.003768,265.41
54017,0.0927,0.003849,259.81
54018,0.0966,0.003862,258.96
54019,0.1004,0.003806,262.72
54020,0.1042,0.003793,263.64
54021,0.1080,0.003770,265.27
54022,0.1120,0.004019,248.82
54023,0.1159,0.003859,259.12
54024,0.1196,0.003763,265.72
54025,0.1234,0.003822,261.67
54026,0.1273,0.003856,259.37
54027,0.1311,0.003766,265.56
54028,0.1348,0.003761,265.86
54029,0.1386,0.003736,267.67
54030,0.1425,0.003913,255.53
54031,0.1463,0.003785,264.19
54032,0.1500,0.003755,266.32
54033,0.1538,0.003746,266.96
54034,0.1577,0.003935,254.16
54035,0.1616,0.003871,258.34
54036,0.1653,0.003772,265.10
54037,0.1691,0.003729,268.14
54038,0.1729,0.003860,259.06
54039,0.1767,0.003777,264.77
54040,0.1804,0.003680,271.73
54041,0.1842,0.003798,263.30
54042,0.1882,0.003972,251.79
54043,0.1921,0.003943,253.59
54044,0.1960,0.003932,254.33
54045,0.1998,0.003779,264.63
54046,0.2038,0.003948,253.31
54047,0.2078,0.004084,244.87
54048,0.2116,0.003731,268.06
54049,0.2153,0.003748,266.84
54050,0.2192,0.003841,260.38
54051,0.2229,0.003702,270.15
54052,0.2266,0.003770,265.25
54053,0.2304,0.003729,268.14
54054,0.2342,0.003883,257.54
54055,0.2380,0.003775,264.91
54056,0.2417,0.003727,268.29
54057,0.2455,0.003759,266.03
54058,0.2494,0.003882,257.61
54059,0.2531,0.003722,268.69
54060,0.2569,0.003745,267.03
54061,0.2606,0.003747,266.87
54062,0.2645,0.003863,258.85
54063,0.2683,0.003838,260.58
54064,0.2721,0.003793,263.67
54065,0.2759,0.003850,259.73
54066,0.2798,0.003821,261.73
54067,0.2835,0.003736,267.70
54068,0.2873,0.003776,264.80
54069,0.2910,0.003717,269.05
54070,0.2948,0.003808,262.60
54071,0.2987,0.003945,253.46
54072,0.3024,0.003690,271.01
54073,0.3062,0.003746,266.97
54074,0.3100,0.003799,263.23
54075,0.3140,0.004069,245.79
54076,0.3178,0.003786,264.15
54077,0.3216,0.003761,265.86
54078,0.3254,0.003836,260.70
54079,0.3292,0.003766,265.51
54080,0.3330,0.003831,261.05
54081,0.3369,0.003848,259.87
54082,0.3407,0.003876,258.00
54083,0.3446,0.003857,259.29
54084,0.3485,0.003855,259.39
54085,0.3523,0.003823,261.58
54086,0.3561,0.003845,260.11
54087,0.3600,0.003907,255.98
54088,0.3638,0.003790,263.87
54089,0.3677,0.003857,259.24
54090,0.3715,0.003791,263.78
54091,0.3757,0.004182,239.10
54092,0.3797,0.003992,250.53
54093,0.3834,0.003792,263.75
54094,0.3873,0.003806,262.73
54095,0.3912,0.003978,251.41
54096,0.3950,0.003769,265.31
54097,0.3988,0.003780,264.58
54098,0.4025,0.003761,265.91
54099,0.4064,0.003849,259.79
54100,0.4102,0.003805,262.78
54101,0.4140,0.003820,261.75
54102,0.4177,0.003709,269.62
54103,0.4215,0.003798,263.32
54104,0.4252,0.003737,267.57
54105,0.4290,0.003766,265.54
54106,0.4328,0.003765,265.58
54107,0.4365,0.003733,267.92
54108,0.4403,0.003793,263.64
54109,0.4441,0.003791,263.75
54110,0.4478,0.003702,270.15
54111,0.4516,0.003788,264.03
54112,0.4554,0.003812,262.34
54113,0.4591,0.003740,267.40
54114,0.4629,0.003718,268.94
54115,0.4667,0.003831,261.04
54116,0.4705,0.003790,263.83
54117,0.4743,0.003780,264.59
54118,0.4780,0.003700,270.27
54119,0.4821,0.004193,238.51
54120,0.4860,0.003886,257.35
54121,0.4898,0.003754,266.39
54122,0.4935,0.003742,267.22
54123,0.4972,0.003663,273.03
54124,0.5011,0.003890,257.06
54125,0.5049,0.003789,263.91
54126,0.5086,0.003724,268.54
54127,0.5124,0.003798,263.30
54128,0.5162,0.003812,262.32
54129,0.5200,0.003753,266.44
54130,0.5237,0.003757,266.19
54131,0.5274,0.003681,271.65
54132,0.5313,0.003921,255.06
54133,0.5351,0.003794,263.56
54134,0.5388,0.003717,269.07
54135,0.5425,0.003713,269.31
54136,0.5464,0.003829,261.14
54137,0.5502,0.003802,263.05
54138,0.5539,0.003767,265.46
54139,0.5576,0.003680,271.75
54140,0.5614,0.003761,265.89
54141,0.5654,0.004053,246.76
54142,0.5691,0.003639,274.82
54143,0.5730,0.003961,252.46
54144,0.5769,0.003832,260.96
