TotalFrame,Time,DeltaTime,FPS
3647,0.0000,0.266374,3.75
3648,0.0000,0.266374,3.75
3649,0.0200,0.020000,50.00
3650,0.3310,0.310984,3.22
3651,0.6241,0.293160,3.41
3652,0.9124,0.288271,3.47
3653,1.2040,0.291615,3.43
3654,1.4956,0.291553,3.43
3655,1.8166,0.321021,3.12
3656,2.1387,0.322147,3.10
3657,2.4153,0.276598,3.62
3658,2.7025,0.287186,3.48
3659,2.9760,0.273445,3.66
3660,3.2666,0.290672,3.44
3661,3.5560,0.289391,3.46
3662,3.8357,0.279701,3.58
3663,4.1110,0.275287,3.63
3664,4.3909,0.279918,3.57
3665,4.6747,0.283769,3.52
3666,4.9563,0.281600,3.55
3667,5.2402,0.283848,3.52
3668,5.5273,0.287108,3.48
3669,5.8101,0.282868,3.54
3670,6.0941,0.284002,3.52
3671,6.3763,0.282169,3.54
3672,6.6595,0.283158,3.53
3673,6.9341,0.274619,3.64
3674,7.2241,0.290044,3.45
3675,7.5103,0.286172,3.49
3676,7.7954,0.285127,3.51
3677,8.0790,0.283610,3.53
3678,8.3622,0.283184,3.53
3679,8.6418,0.279548,3.58
3680,8.9247,0.282921,3.53
3681,9.2019,0.277249,3.61
3682,9.4863,0.284306,3.52
3683,9.7699,0.283695,3.52
