TotalFrame,Time,DeltaTime,FPS
61308,0.0000,0.021180,47.21
61309,0.0000,0.021180,47.21
61310,0.0200,0.020000,50.00
61311,0.0378,0.017783,56.23
61312,0.0557,0.017949,55.71
61313,0.0736,0.017848,56.03
61314,0.0912,0.017674,56.58
61315,0.1097,0.018482,54.11
61316,0.1275,0.017722,56.43
61317,0.1454,0.017892,55.89
61318,0.1631,0.017774,56.26
61319,0.1811,0.017924,55.79
61320,0.1990,0.017963,55.67
61321,0.2167,0.017718,56.44
61322,0.2345,0.017723,56.42
61323,0.2524,0.017949,55.71
61324,0.2702,0.017806,56.16
61325,0.2894,0.019191,52.11
61326,0.3073,0.017839,56.06
61327,0.3246,0.017414,57.43
61328,0.3424,0.017734,56.39
61329,0.3605,0.018133,55.15
61330,0.3784,0.017909,55.84
61331,0.3964,0.018004,55.54
61332,0.4152,0.018794,53.21
61333,0.4332,0.018002,55.55
61334,0.4510,0.017741,56.37
61335,0.4702,0.019246,51.96
61336,0.4880,0.017815,56.13
61337,0.5058,0.017718,56.44
61338,0.5235,0.017762,56.30
61339,0.5422,0.018730,53.39
61340,0.5598,0.017538,57.02
61341,0.5774,0.017628,56.73
61342,0.5952,0.017848,56.03
61343,0.6147,0.019385,51.59
61344,0.6324,0.017784,56.23
61345,0.6501,0.017656,56.64
61346,0.6674,0.017273,57.89
61347,0.6854,0.018026,55.48
61348,0.7038,0.018382,54.40
61349,0.7230,0.019213,52.05
61350,0.7416,0.018666,53.57
61351,0.7600,0.018372,54.43
61352,0.7777,0.017668,56.60
61353,0.7954,0.017753,56.33
61354,0.8132,0.017770,56.28
61355,0.8308,0.017575,56.90
61356,0.8484,0.017573,56.91
61357,0.8659,0.017516,57.09
61358,0.8834,0.017548,56.99
61359,0.9012,0.017758,56.31
61360,0.9186,0.017407,57.45
61361,0.9362,0.017661,56.62
61362,0.9539,0.017714,56.45
61363,0.9723,0.018323,54.58
61364,0.9898,0.017495,57.16
61365,1.0074,0.017663,56.62
61366,1.0252,0.017796,56.19
61367,1.0428,0.017614,56.77
61368,1.0606,0.017733,56.39
61369,1.0786,0.018003,55.55
61370,1.0960,0.017470,57.24
61371,1.1139,0.017842,56.05
61372,1.1308,0.016875,59.26
61373,1.1485,0.017715,56.45
61374,1.1663,0.017815,56.13
61375,1.1842,0.017882,55.92
61376,1.2022,0.018015,55.51
61377,1.2198,0.017617,56.76
61378,1.2373,0.017508,57.12
61379,1.2554,0.018111,55.21
61380,1.2732,0.017792,56.21
61381,1.2909,0.017706,56.48
61382,1.3100,0.019106,52.34
61383,1.3277,0.017679,56.57
61384,1.3452,0.017498,57.15
61385,1.3627,0.017493,57.17
61386,1.3815,0.018810,53.16
61387,1.3991,0.017617,56.76
61388,1.4189,0.019710,50.74
61389,1.4370,0.018156,55.08
61390,1.4567,0.019686,50.80
61391,1.4743,0.017658,56.63
61392,1.4925,0.018155,55.08
61393,1.5104,0.017930,55.77
61394,1.5295,0.019096,52.37
61395,1.5474,0.017835,56.07
61396,1.5647,0.017349,57.64
61397,1.5840,0.019326,51.74
61398,1.6015,0.017510,57.11
61399,1.6192,0.017650,56.66
61400,1.6369,0.017722,56.43
61401,1.6544,0.017507,57.12
61402,1.6721,0.017680,56.56
61403,1.6899,0.017754,56.32
61404,1.7074,0.017511,57.11
61405,1.7249,0.017550,56.98
61406,1.7430,0.018126,55.17
61407,1.7607,0.017648,56.66
61408,1.7785,0.017838,56.06
61409,1.7953,0.016768,59.64
61410,1.8132,0.017889,55.90
61411,1.8309,0.017701,56.49
61412,1.8484,0.017542,57.01
61413,1.8679,0.019427,51.48
61414,1.8857,0.017891,55.90
61415,1.9033,0.017518,57.08
61416,1.9230,0.019770,50.58
61417,1.9408,0.017783,56.23
61418,1.9584,0.017629,56.72
61419,1.9766,0.018114,55.20
61420,1.9962,0.019606,51.01
61421,2.0137,0.017553,56.97
61422,2.0312,0.017489,57.18
61423,2.0503,0.019106,52.34
61424,2.0677,0.017377,57.55
61425,2.0851,0.017394,57.49
61426,2.1029,0.017810,56.15
61427,2.1209,0.018012,55.52
61428,2.1384,0.017485,57.19
61429,2.1562,0.017792,56.21
61430,2.1739,0.017738,56.38
61431,2.1920,0.018043,55.42
61432,2.2099,0.017947,55.72
61433,2.2276,0.017656,56.64
61434,2.2454,0.017797,56.19
61435,2.2632,0.017891,55.90
61436,2.2808,0.017568,56.92
