TotalFrame,Time,DeltaTime,FPS
27173,0.0000,0.052960,18.88
27174,0.0000,0.052960,18.88
27175,0.0200,0.020000,50.00
27176,0.0240,0.003937,254.03
27177,0.0275,0.003542,282.30
27178,0.0825,0.055012,18.18
27179,0.1352,0.052731,18.96
27180,0.1885,0.053249,18.78
27181,0.2414,0.052892,18.91
27182,0.2948,0.053469,18.70
27183,0.3490,0.054208,18.45
27184,0.4017,0.052663,18.99
27185,0.4554,0.053738,18.61
27186,0.5091,0.053610,18.65
27187,0.5628,0.053711,18.62
27188,0.6163,0.053507,18.69
27189,0.6700,0.053712,18.62
27190,0.7236,0.053575,18.67
27191,0.7775,0.053894,18.56
27192,0.8310,0.053541,18.68
27193,0.8847,0.053726,18.61
27194,0.9387,0.054003,18.52
27195,0.9922,0.053527,18.68
27196,1.0458,0.053600,18.66
27197,1.0993,0.053462,18.70
27198,1.1530,0.053673,18.63
27199,1.2065,0.053570,18.67
27200,1.2601,0.053591,18.66
27201,1.3142,0.054070,18.49
27202,1.3676,0.053395,18.73
27203,1.4212,0.053631,18.65
27204,1.4751,0.053812,18.58
27205,1.5319,0.056880,17.58
27206,1.5823,0.050383,19.85
27207,1.6394,0.057065,17.52
27208,1.6895,0.050134,19.95
27209,1.7432,0.053706,18.62
27210,1.7971,0.053855,18.57
27211,1.8505,0.053459,18.71
27212,1.9044,0.053843,18.57
27213,1.9581,0.053744,18.61
27214,2.0139,0.055813,17.92
27215,2.0741,0.060203,16.61
27216,2.1198,0.045690,21.89
27217,2.1731,0.053289,18.77
27218,2.2278,0.054670,18.29
27219,2.2807,0.052910,18.90
27220,2.3340,0.053297,18.76
27221,2.3876,0.053639,18.64
27222,2.4417,0.054051,18.50
27223,2.4951,0.053433,18.71
27224,2.5494,0.054244,18.44
27225,2.6025,0.053168,18.81
27226,2.6559,0.053358,18.74
27227,2.7094,0.053540,18.68
27228,2.7631,0.053689,18.63
27229,2.8170,0.053843,18.57
27230,2.8704,0.053469,18.70
27231,2.9244,0.053974,18.53
27232,2.9782,0.053774,18.60
27233,3.0319,0.053720,18.61
27234,3.0854,0.053521,18.68
27235,3.1391,0.053671,18.63
27236,3.1927,0.053648,18.64
27237,3.2462,0.053521,18.68
27238,3.2999,0.053606,18.65
27239,3.3534,0.053533,18.68
27240,3.4070,0.053652,18.64
27241,3.4609,0.053855,18.57
27242,3.5146,0.053744,18.61
27243,3.5681,0.053484,18.70
27244,3.6218,0.053645,18.64
27245,3.6755,0.053689,18.63
27246,3.7293,0.053831,18.58
27247,3.7833,0.054020,18.51
27248,3.8372,0.053828,18.58
27249,3.8907,0.053600,18.66
27250,3.9446,0.053803,18.59
27251,3.9982,0.053667,18.63
27252,4.0518,0.053632,18.65
27253,4.1054,0.053565,18.67
27254,4.1591,0.053744,18.61
27255,4.2130,0.053824,18.58
27256,4.2697,0.056748,17.62
27257,4.3198,0.050054,19.98
27258,4.3739,0.054154,18.47
27259,4.4272,0.053318,18.76
27260,4.4811,0.053825,18.58
27261,4.5349,0.053833,18.58
27262,4.5887,0.053748,18.61
27263,4.6422,0.053595,18.66
27264,4.6960,0.053715,18.62
27265,4.7495,0.053586,18.66
27266,4.8032,0.053680,18.63
27267,4.8572,0.053949,18.54
27268,4.9107,0.053538,18.68
27269,4.9648,0.054122,18.48
27270,5.0186,0.053697,18.62
27271,5.0719,0.053381,18.73
27272,5.1256,0.053657,18.64
27273,5.1794,0.053762,18.60
27274,5.2326,0.053247,18.78
27275,5.2865,0.053950,18.54
27276,5.3436,0.057104,17.51
27277,5.3941,0.050469,19.81
27278,5.4478,0.053750,18.60
27279,5.5015,0.053659,18.64
27280,5.5551,0.053636,18.64
27281,5.6087,0.053544,18.68
27282,5.6624,0.053697,18.62
27283,5.7159,0.053497,18.69
27284,5.7697,0.053772,18.60
27285,5.8234,0.053734,18.61
27286,5.8772,0.053801,18.59
27287,5.9308,0.053619,18.65
27288,5.9847,0.053890,18.56
27289,6.0382,0.053541,18.68
27290,6.0918,0.053544,18.68
27291,6.1454,0.053656,18.64
27292,6.1994,0.053926,18.54
27293,6.2531,0.053739,18.61
27294,6.3067,0.053587,18.66
27295,6.3605,0.053781,18.59
27296,6.4142,0.053735,18.61
27297,6.4680,0.053730,18.61
27298,6.5215,0.053609,18.65
27299,6.5752,0.053599,18.66
27300,6.6284,0.053211,18.79
27301,6.6825,0.054091,18.49
27302,6.7362,0.053703,18.62
27303,6.7898,0.053591,18.66
27304,6.8479,0.058160,17.19
27305,6.8974,0.049531,20.19
27306,6.9510,0.053540,18.68
27307,7.0048,0.053779,18.59
27308,7.0586,0.053811,18.58
27309,7.1122,0.053673,18.63
27310,7.1657,0.053450,18.71
27311,7.2197,0.054009,18.52
27312,7.5530,0.333333,3.00
27313,7.5670,0.013972,71.57
27314,7.5721,0.005051,197.99
27315,7.5755,0.003430,291.55
27316,7.6170,0.041517,24.09
