TotalFrame,Time,DeltaTime,FPS
31972,0.0000,0.086626,11.54
31973,0.0000,0.086626,11.54
31974,0.0200,0.020000,50.00
31975,0.0246,0.004594,217.69
31976,0.0288,0.004216,237.21
31977,0.1138,0.085048,11.76
31978,0.2018,0.087972,11.37
31979,0.2901,0.088312,11.32
31980,0.3777,0.087639,11.41
31981,0.4662,0.088485,11.30
31982,0.5538,0.087566,11.42
31983,0.6433,0.089532,11.17
31984,0.7311,0.087755,11.40
31985,0.8195,0.088342,11.32
31986,0.9078,0.088425,11.31
31987,0.9953,0.087446,11.44
31988,1.0837,0.088387,11.31
31989,1.1713,0.087603,11.42
31990,1.2593,0.088014,11.36
31991,1.3477,0.088312,11.32
31992,1.4355,0.087926,11.37
31993,1.5233,0.087790,11.39
31994,1.6118,0.088392,11.31
31995,1.6998,0.088090,11.35
31996,1.7880,0.088216,11.34
31997,1.8762,0.088093,11.35
31998,1.9639,0.087817,11.39
31999,2.0521,0.088087,11.35
32000,2.1400,0.087913,11.37
32001,2.2281,0.088213,11.34
32002,2.3160,0.087874,11.38
32003,2.4043,0.088283,11.33
32004,2.4923,0.087980,11.37
32005,2.5803,0.087944,11.37
32006,2.6687,0.088432,11.31
32007,2.7569,0.088191,11.34
32008,2.8444,0.087539,11.42
32009,2.9325,0.088082,11.35
32010,3.0206,0.088109,11.35
32011,3.1089,0.088318,11.32
32012,3.1962,0.087265,11.46
32013,3.2852,0.088996,11.24
32014,3.3727,0.087596,11.42
32015,3.4610,0.088241,11.33
32016,3.5487,0.087705,11.40
32017,3.6370,0.088257,11.33
32018,3.7248,0.087796,11.39
32019,3.8130,0.088277,11.33
32020,3.9009,0.087853,11.38
32021,3.9889,0.087971,11.37
32022,4.0770,0.088166,11.34
32023,4.1650,0.088029,11.36
32024,4.2530,0.087948,11.37
32025,4.3414,0.088437,11.31
32026,4.4289,0.087463,11.43
32027,4.5171,0.088158,11.34
32028,4.6047,0.087646,11.41
32029,4.6943,0.089540,11.17
32030,4.7811,0.086847,11.51
32031,4.8694,0.088289,11.33
32032,4.9573,0.087861,11.38
32033,5.0455,0.088220,11.34
32034,5.1332,0.087679,11.41
32035,5.2213,0.088188,11.34
32036,5.3093,0.087895,11.38
32037,5.3972,0.087966,11.37
32038,5.4851,0.087932,11.37
32039,5.5730,0.087835,11.38
32040,5.6616,0.088597,11.29
32041,5.7496,0.088025,11.36
32042,5.8376,0.088058,11.36
32043,5.9257,0.088008,11.36
32044,6.0134,0.087786,11.39
32045,6.1016,0.088144,11.35
32046,6.1895,0.087925,11.37
32047,6.2775,0.087925,11.37
32048,6.3658,0.088385,11.31
32049,6.4536,0.087720,11.40
32050,6.5416,0.088064,11.36
32051,6.6295,0.087905,11.38
32052,6.7178,0.088250,11.33
32053,6.8057,0.087917,11.37
32054,6.8936,0.087951,11.37
32055,6.9814,0.087743,11.40
32056,7.0696,0.088242,11.33
32057,7.1575,0.087883,11.38
32058,7.2454,0.087917,11.37
32059,7.3339,0.088522,11.30
32060,7.4221,0.088156,11.34
32061,7.5098,0.087670,11.41
32062,7.5977,0.087868,11.38
32063,7.6862,0.088593,11.29
32064,7.7738,0.087576,11.42
32065,7.8619,0.088072,11.35
32066,7.9498,0.087945,11.37
32067,8.0378,0.088019,11.36
32068,8.1260,0.088146,11.34
32069,8.2141,0.088060,11.36
32070,8.3021,0.088038,11.36
32071,8.3899,0.087832,11.39
32072,8.4778,0.087931,11.37
32073,8.5659,0.088025,11.36
32074,8.6544,0.088501,11.30
32075,8.7421,0.087783,11.39
32076,8.8301,0.087949,11.37
32077,8.9185,0.088418,11.31
32078,9.0063,0.087836,11.38
32079,9.0943,0.087964,11.37
32080,9.1823,0.087966,11.37
32081,9.2706,0.088298,11.33
32082,9.3586,0.088025,11.36
32083,9.4465,0.087854,11.38
32084,9.5344,0.087893,11.38
32085,9.6224,0.088064,11.36
32086,9.7106,0.088178,11.34
32087,9.7988,0.088155,11.34
32088,9.8868,0.088008,11.36
32089,9.9749,0.088095,11.35
