TotalFrame,Time,DeltaTime,FPS
14021,0.0000,0.010167,98.36
14022,0.0000,0.010167,98.36
14023,0.0200,0.020000,50.00
14024,0.0240,0.003970,251.86
14025,0.0279,0.003934,254.17
14026,0.0452,0.017283,57.86
14027,0.0572,0.012025,83.16
14028,0.0690,0.011801,84.74
14029,0.0809,0.011935,83.79
14030,0.0929,0.011940,83.75
14031,0.1045,0.011612,86.12
14032,0.1166,0.012097,82.67
14033,0.1286,0.012010,83.26
14034,0.1404,0.011808,84.69
14035,0.1524,0.011990,83.41
14036,0.1643,0.011856,84.35
14037,0.1762,0.011944,83.73
14038,0.1879,0.011736,85.21
14039,0.2002,0.012240,81.70
14040,0.2117,0.011543,86.63
14041,0.2246,0.012924,77.37
14042,0.2358,0.011111,90.00
14043,0.2476,0.011793,84.79
14044,0.2595,0.011944,83.73
14045,0.2714,0.011916,83.92
14046,0.2832,0.011765,85.00
14047,0.2953,0.012084,82.76
14048,0.3072,0.011888,84.12
14049,0.3189,0.011746,85.14
14050,0.3307,0.011842,84.44
14051,0.3426,0.011836,84.49
14052,0.3545,0.011899,84.04
14053,0.3663,0.011803,84.72
14054,0.3783,0.012065,82.88
14055,0.3899,0.011576,86.38
14056,0.4022,0.012267,81.52
14057,0.4135,0.011352,88.09
14058,0.4252,0.011660,85.77
14059,0.4370,0.011798,84.76
14060,0.4489,0.011870,84.24
14061,0.4605,0.011643,85.89
14062,0.4725,0.011956,83.64
14063,0.4842,0.011707,85.42
14064,0.4959,0.011768,84.98
14065,0.5077,0.011761,85.03
14066,0.5196,0.011855,84.36
14067,0.5313,0.011776,84.92
14068,0.5435,0.012168,82.18
14069,0.5551,0.011580,86.36
14070,0.5666,0.011566,86.46
14071,0.5786,0.011954,83.65
14072,0.5905,0.011879,84.18
14073,0.6025,0.012042,83.05
14074,0.6149,0.012408,80.59
14075,0.6261,0.011126,89.88
14076,0.6378,0.011754,85.08
14077,0.6497,0.011862,84.31
14078,0.6618,0.012108,82.59
14079,0.6733,0.011565,86.47
14080,0.6851,0.011757,85.06
14081,0.6970,0.011899,84.04
14082,0.7088,0.011853,84.36
14083,0.7207,0.011898,84.05
14084,0.7326,0.011821,84.59
14085,0.7447,0.012093,82.70
14086,0.7562,0.011565,86.47
14087,0.7683,0.012123,82.49
14088,0.7802,0.011862,84.30
14089,0.7921,0.011846,84.41
14090,0.8039,0.011841,84.45
14091,0.8161,0.012210,81.90
14092,0.8283,0.012211,81.90
14093,0.8407,0.012348,80.99
14094,0.8525,0.011876,84.20
14095,0.8646,0.012014,83.24
14096,0.8762,0.011643,85.89
14097,0.8882,0.012009,83.27
14098,0.9000,0.011785,84.86
14099,0.9118,0.011841,84.46
14100,0.9240,0.012121,82.50
14101,0.9358,0.011842,84.44
14102,0.9477,0.011934,83.80
14103,0.9598,0.012036,83.08
14104,0.9714,0.011617,86.08
14105,0.9833,0.011881,84.17
14106,0.9954,0.012091,82.71
14107,1.0074,0.012032,83.11
14108,1.0191,0.011757,85.05
14109,1.0312,0.012029,83.14
14110,1.0430,0.011820,84.61
14111,1.0547,0.011700,85.47
14112,1.0670,0.012262,81.55
14113,1.0787,0.011703,85.45
14114,1.0905,0.011875,84.21
14115,1.1025,0.011943,83.73
14116,1.1143,0.011871,84.24
14117,1.1262,0.011846,84.42
14118,1.1381,0.011942,83.74
14119,1.1507,0.012527,79.83
14120,1.1619,0.011243,88.95
14121,1.1738,0.011944,83.72
14122,1.1858,0.011920,83.89
14123,1.1975,0.011717,85.35
14124,1.2093,0.011844,84.43
14125,1.2213,0.011933,83.80
14126,1.2332,0.011904,84.01
14127,1.2452,0.012037,83.08
14128,1.2572,0.011978,83.49
14129,1.2690,0.011804,84.72
14130,1.2808,0.011807,84.70
14131,1.2925,0.011735,85.22
14132,1.3046,0.012051,82.98
14133,1.3167,0.012102,82.63
14134,1.3292,0.012485,80.10
14135,1.3405,0.011314,88.39
14136,1.3529,0.012382,80.76
14137,1.3647,0.011866,84.28
14138,1.3762,0.011447,87.36
14139,1.3881,0.011890,84.10
14140,1.4000,0.011980,83.47
14141,1.4119,0.011821,84.60
14142,1.4237,0.011860,84.32
14143,1.4357,0.011935,83.79
14144,1.4474,0.011786,84.84
14145,1.4593,0.011873,84.22
14146,1.4711,0.011806,84.70
14147,1.4830,0.011864,84.29
14148,1.4949,0.011950,83.69
14149,1.5066,0.011682,85.60
14150,1.5188,0.012135,82.40
14151,1.5313,0.012536,79.77
14152,1.5426,0.011358,88.04
14153,1.5544,0.011766,84.99
14154,1.5664,0.011962,83.60
14155,1.5782,0.011782,84.87
14156,1.5900,0.011853,84.37
14157,1.6019,0.011862,84.30
14158,1.6138,0.011920,83.89
14159,1.6259,0.012131,82.43
14160,1.6378,0.011859,84.33
14161,1.6497,0.011883,84.15
14162,1.6617,0.012040,83.06
14163,1.6735,0.011800,84.75
14164,1.6855,0.011993,83.38
14165,1.6974,0.011872,84.23
14166,1.7092,0.011784,84.86
14167,1.7210,0.011859,84.32
14168,1.7330,0.011967,83.57
14169,1.7450,0.011986,83.43
14170,1.7568,0.011837,84.48
14171,1.7687,0.011860,84.32
14172,1.7812,0.012492,80.05
14173,1.7926,0.011446,87.37
14174,1.8044,0.011762,85.02
14175,1.8163,0.011972,83.53
14176,1.8283,0.012004,83.31
14177,1.8400,0.011656,85.79
14178,1.8521,0.012103,82.62
14179,1.8640,0.011936,83.78
14180,1.8759,0.011859,84.33
14181,1.8877,0.011812,84.66
14182,1.8996,0.011917,83.91
14183,1.9115,0.011881,84.17
14184,1.9235,0.012011,83.25
14185,1.9353,0.011772,84.94
14186,1.9473,0.011968,83.56
14187,1.9590,0.011795,84.78
14188,1.9710,0.011903,84.01
14189,1.9829,0.011959,83.62
14190,1.9947,0.011781,84.88
14191,2.0067,0.011965,83.58
14192,2.0186,0.011928,83.84
14193,2.0303,0.011705,85.43
14194,2.0422,0.011873,84.22
14195,2.0542,0.011991,83.40
14196,2.0660,0.011805,84.71
14197,2.0779,0.011958,83.62
14198,2.0897,0.011758,85.05
14199,2.1019,0.012247,81.65
14200,2.1137,0.011754,85.08
14201,2.1255,0.011775,84.93
14202,2.1375,0.012005,83.30
14203,2.1493,0.011882,84.16
14204,2.1612,0.011841,84.45
14205,2.1731,0.011974,83.51
14206,2.1849,0.011743,85.15
14207,2.1967,0.011847,84.41
14208,2.2087,0.011923,83.88
14209,2.2205,0.011833,84.51
14210,2.2324,0.011931,83.82
14211,2.2444,0.011990,83.40
14212,2.2564,0.011961,83.61
14213,2.2682,0.011814,84.65
14214,2.2802,0.012042,83.04
14215,2.2926,0.012394,80.68
14216,2.3038,0.011173,89.50
