TotalFrame,Time,DeltaTime,FPS
141359,0.0000,0.008490,117.78
141360,0.0000,0.008490,117.78
141361,0.0200,0.020000,50.00
141362,0.0231,0.003131,319.43
141363,0.0261,0.003013,331.85
141364,0.0413,0.015161,65.96
141365,0.0491,0.007831,127.70
141366,0.0579,0.008735,114.48
141367,0.0657,0.007783,128.48
141368,0.0739,0.008209,121.82
141369,0.0826,0.008700,114.94
141370,0.0899,0.007313,136.74
141371,0.0983,0.008434,118.57
141372,0.1066,0.008261,121.05
141373,0.1148,0.008211,121.78
141374,0.1235,0.008759,114.17
141375,0.1319,0.008369,119.49
141376,0.1400,0.008082,123.73
141377,0.1481,0.008120,123.15
141378,0.1564,0.008273,120.88
141379,0.1646,0.008186,122.16
141380,0.1727,0.008125,123.07
141381,0.1810,0.008303,120.43
141382,0.1893,0.008237,121.40
141383,0.1975,0.008239,121.37
141384,0.2058,0.008308,120.36
141385,0.2141,0.008344,119.85
141386,0.2222,0.008112,123.28
141387,0.2305,0.008223,121.61
141388,0.2386,0.008091,123.59
141389,0.2470,0.008435,118.56
141390,0.2549,0.007965,125.55
141391,0.2634,0.008433,118.58
141392,0.2715,0.008162,122.52
141393,0.2798,0.008300,120.48
141394,0.2880,0.008128,123.03
141395,0.2964,0.008431,118.62
141396,0.3047,0.008320,120.19
141397,0.3124,0.007703,129.82
141398,0.3210,0.008518,117.39
141399,0.3292,0.008258,121.10
141400,0.3375,0.008221,121.64
141401,0.3459,0.008516,117.43
141402,0.3539,0.007949,125.80
141403,0.3622,0.008307,120.38
141404,0.3716,0.009369,106.73
141405,0.3786,0.007009,142.68
141406,0.3871,0.008506,117.56
141407,0.3951,0.008042,124.35
141408,0.4033,0.008196,122.02
141409,0.4116,0.008286,120.69
141410,0.4199,0.008250,121.21
141411,0.4282,0.008321,120.18
141412,0.4364,0.008239,121.37
141413,0.4444,0.008003,124.96
141414,0.4529,0.008437,118.52
141415,0.4616,0.008729,114.57
141416,0.4695,0.007916,126.33
141417,0.4778,0.008342,119.88
141418,0.4861,0.008318,120.23
141419,0.4944,0.008218,121.69
141420,0.5029,0.008505,117.58
141421,0.5113,0.008381,119.32
141422,0.5195,0.008236,121.41
141423,0.5280,0.008477,117.97
141424,0.5364,0.008397,119.10
141425,0.5446,0.008265,120.99
141426,0.5526,0.007896,126.65
141427,0.5610,0.008523,117.34
141428,0.5693,0.008249,121.23
141429,0.5776,0.008353,119.72
141430,0.5859,0.008227,121.55
141431,0.5942,0.008322,120.16
141432,0.6025,0.008328,120.08
141433,0.6110,0.008400,119.05
141434,0.6193,0.008297,120.53
141435,0.6277,0.008501,117.63
141436,0.6358,0.008035,124.46
141437,0.6442,0.008427,118.67
141438,0.6522,0.008041,124.36
141439,0.6606,0.008360,119.61
141440,0.6689,0.008341,119.88
141441,0.6775,0.008525,117.31
141442,0.6855,0.008020,124.68
141443,0.6938,0.008316,120.26
141444,0.7021,0.008284,120.72
141445,0.7103,0.008255,121.15
141446,0.7188,0.008392,119.16
141447,0.7271,0.008400,119.05
141448,0.7354,0.008190,122.11
141449,0.7440,0.008693,115.03
141450,0.7520,0.007925,126.18
141451,0.7602,0.008226,121.56
141452,0.7684,0.008267,120.97
141453,0.7768,0.008330,120.04
141454,0.7850,0.008213,121.76
141455,0.7932,0.008237,121.40
141456,0.8016,0.008377,119.37
141457,0.8100,0.008423,118.72
141458,0.8182,0.008173,122.35
141459,0.8265,0.008257,121.11
141460,0.8348,0.008304,120.42
141461,0.8430,0.008264,121.01
141462,0.8513,0.008288,120.65
141463,0.8597,0.008383,119.29
141464,0.8680,0.008374,119.42
141465,0.8770,0.008907,112.27
141466,0.8846,0.007652,130.68
141467,0.8929,0.008253,121.16
141468,0.9012,0.008383,119.29
141469,0.9094,0.008178,122.28
141470,0.9178,0.008436,118.54
141471,0.9266,0.008737,114.45
141472,0.9346,0.007946,125.85
141473,0.9429,0.008302,120.45
141474,0.9513,0.008444,118.43
141475,0.9597,0.008409,118.93
141476,0.9678,0.008126,123.07
141477,0.9762,0.008380,119.33
141478,0.9846,0.008376,119.40
141479,0.9929,0.008266,120.98
141480,1.0015,0.008679,115.22
141481,1.0097,0.008158,122.58
141482,1.0179,0.008270,120.91
141483,1.0262,0.008246,121.27
141484,1.0345,0.008336,119.97
141485,1.0430,0.008516,117.43
141486,1.0515,0.008438,118.51
141487,1.0599,0.008352,119.73
141488,1.0680,0.008148,122.74
141489,1.0764,0.008421,118.75
141490,1.0846,0.008201,121.94
141491,1.0930,0.008330,120.05
141492,1.1013,0.008285,120.71
141493,1.1094,0.008206,121.87
141494,1.1177,0.008327,120.09
141495,1.1262,0.008437,118.53
141496,1.1345,0.008344,119.85
141497,1.1433,0.008700,114.94
141498,1.1515,0.008222,121.62
141499,1.1597,0.008199,121.96
141500,1.1679,0.008245,121.28
141501,1.1761,0.008250,121.21
141502,1.1846,0.008397,119.08
141503,1.1928,0.008274,120.86
141504,1.2012,0.008406,118.97
141505,1.2097,0.008408,118.94
141506,1.2179,0.008243,121.32
141507,1.2262,0.008293,120.59
141508,1.2345,0.008328,120.08
141509,1.2428,0.008279,120.79
141510,1.2512,0.008447,118.39
141511,1.2597,0.008482,117.90
141512,1.2679,0.008185,122.17
141513,1.2766,0.008634,115.83
141514,1.2845,0.007980,125.32
141515,1.2932,0.008645,115.67
141516,1.3015,0.008268,120.95
141517,1.3098,0.008353,119.72
141518,1.3181,0.008307,120.38
141519,1.3264,0.008249,121.23
141520,1.3348,0.008447,118.39
141521,1.3431,0.008321,120.18
141522,1.3516,0.008485,117.86
141523,1.3597,0.008151,122.68
141524,1.3684,0.008687,115.11
141525,1.3766,0.008141,122.84
141526,1.3848,0.008188,122.13
141527,1.3931,0.008292,120.60
141528,1.4014,0.008397,119.09
141529,1.4097,0.008272,120.90
141530,1.4181,0.008357,119.66
141531,1.4265,0.008354,119.71
141532,1.4348,0.008387,119.23
141533,1.4431,0.008213,121.76
141534,1.4517,0.008604,116.23
141535,1.4598,0.008159,122.56
141536,1.4682,0.008407,118.95
141537,1.4766,0.008337,119.95
141538,1.4847,0.008184,122.18
141539,1.4934,0.008660,115.47
141540,1.5017,0.008355,119.69
141541,1.5100,0.008274,120.86
141542,1.5184,0.008364,119.56
141543,1.5267,0.008333,120.00
141544,1.5349,0.008182,122.21
141545,1.5433,0.008452,118.31
141546,1.5515,0.008178,122.28
141547,1.5603,0.008808,113.53
141548,1.5684,0.008086,123.67
141549,1.5767,0.008335,119.97
141550,1.5850,0.008208,121.84
141551,1.5933,0.008277,120.82
141552,1.6016,0.008366,119.54
141553,1.6099,0.008303,120.44
141554,1.6182,0.008337,119.95
141555,1.6265,0.008313,120.29
141556,1.6351,0.008500,117.65
141557,1.6429,0.007870,127.07
141558,1.6516,0.008673,115.30
141559,1.6599,0.008311,120.32
141560,1.6683,0.008366,119.53
141561,1.6766,0.008352,119.74
141562,1.6850,0.008368,119.51
141563,1.6932,0.008253,121.16
141564,1.7014,0.008095,123.53
141565,1.7100,0.008626,115.93
141566,1.7182,0.008224,121.60
141567,1.7265,0.008327,120.09
141568,1.7349,0.008388,119.21
141569,1.7432,0.008271,120.91
141570,1.7516,0.008421,118.75
141571,1.7597,0.008099,123.48
141572,1.7682,0.008476,117.98
141573,1.7765,0.008344,119.85
141574,1.7849,0.008323,120.15
141575,1.7932,0.008323,120.16
141576,1.8015,0.008280,120.78
141577,1.8099,0.008494,117.73
141578,1.8182,0.008238,121.39
141579,1.8265,0.008298,120.52
141580,1.8349,0.008438,118.51
141581,1.8433,0.008372,119.45
141582,1.8516,0.008276,120.84
141583,1.8598,0.008243,121.32
141584,1.8683,0.008500,117.65
141585,1.8765,0.008228,121.53
141586,1.8856,0.009066,110.30
141587,1.8934,0.007837,127.60
141588,1.9020,0.008630,115.88
141589,1.9102,0.008148,122.73
141590,1.9185,0.008271,120.91
141591,1.9268,0.008317,120.24
141592,1.9352,0.008395,119.12
141593,1.9438,0.008665,115.40
141594,1.9518,0.007978,125.34
141595,1.9604,0.008616,116.06
141596,1.9686,0.008111,123.28
141597,1.9769,0.008339,119.91
141598,1.9855,0.008612,116.11
141599,1.9936,0.008066,123.98
141600,2.0018,0.008253,121.17
141601,2.0106,0.008795,113.70
141602,2.0186,0.008013,124.79
141603,2.0269,0.008291,120.61
141604,2.0352,0.008269,120.94
141605,2.0435,0.008296,120.54
141606,2.0519,0.008458,118.24
141607,2.0607,0.008756,114.21
141608,2.0688,0.008157,122.60
141609,2.0771,0.008213,121.76
141610,2.0852,0.008131,122.99
141611,2.0936,0.008419,118.78
141612,2.1022,0.008580,116.55
141613,2.1105,0.008296,120.54
141614,2.1187,0.008233,121.46
141615,2.1270,0.008231,121.49
141616,2.1356,0.008564,116.77
141617,2.1439,0.008311,120.32
141618,2.1522,0.008304,120.42
141619,2.1605,0.008340,119.91
141620,2.1689,0.008406,118.96
141621,2.1771,0.008241,121.34
141622,2.1854,0.008317,120.23
141623,2.1939,0.008437,118.53
141624,2.2021,0.008255,121.14
