TotalFrame,Time,DeltaTime,FPS
108151,0.0000,0.009775,102.30
108152,0.0000,0.009775,102.30
108153,0.0200,0.020000,50.00
108154,0.0259,0.005940,168.34
108155,0.0319,0.005900,169.49
108156,0.0367,0.004895,204.29
108157,0.0423,0.005533,180.73
108158,0.0493,0.006999,142.87
108159,0.0559,0.006666,150.01
108160,0.0626,0.006610,151.30
108161,0.0690,0.006452,154.99
108162,0.0756,0.006563,152.37
108163,0.0822,0.006574,152.12
108164,0.0886,0.006470,154.56
108165,0.0953,0.006697,149.31
108166,0.1020,0.006717,148.88
108167,0.1085,0.006485,154.21
108168,0.1152,0.006728,148.63
108169,0.1223,0.007023,142.39
108170,0.1290,0.006706,149.11
108171,0.1351,0.006127,163.21
108172,0.1417,0.006568,152.25
108173,0.1482,0.006544,152.82
108174,0.1548,0.006585,151.87
108175,0.1618,0.007031,142.23
108176,0.1678,0.005979,167.26
108177,0.1744,0.006605,151.40
108178,0.1811,0.006710,149.03
108179,0.1874,0.006334,157.87
108180,0.1939,0.006479,154.34
108181,0.2005,0.006611,151.26
108182,0.2070,0.006422,155.72
108183,0.2136,0.006647,150.45
108184,0.2201,0.006506,153.72
108185,0.2267,0.006532,153.09
108186,0.2332,0.006511,153.58
108187,0.2398,0.006681,149.69
108188,0.2462,0.006416,155.87
108189,0.2528,0.006594,151.65
108190,0.2594,0.006590,151.74
108191,0.2659,0.006446,155.13
108192,0.2725,0.006607,151.36
108193,0.2790,0.006544,152.81
108194,0.2856,0.006543,152.84
108195,0.2921,0.006543,152.84
108196,0.2983,0.006198,161.35
108197,0.3053,0.006963,143.62
108198,0.3119,0.006600,151.51
108199,0.3184,0.006546,152.77
108200,0.3250,0.006547,152.74
108201,0.3316,0.006672,149.89
108202,0.3380,0.006392,156.45
108203,0.3446,0.006575,152.10
108204,0.3512,0.006564,152.35
108205,0.3577,0.006550,152.67
108206,0.3643,0.006555,152.55
108207,0.3708,0.006521,153.34
108208,0.3773,0.006544,152.81
108209,0.3839,0.006580,151.97
108210,0.3909,0.006930,144.29
108211,0.3969,0.006082,164.41
