TotalFrame,Time,DeltaTime,FPS
78938,0.0000,0.035063,28.52
78939,0.0000,0.035063,28.52
78940,0.0200,0.020000,50.00
78941,0.0514,0.031385,31.86
78942,0.0826,0.031173,32.08
78943,0.1143,0.031773,31.47
78944,0.1459,0.031544,31.70
78945,0.1781,0.032260,31.00
78946,0.2097,0.031529,31.72
78947,0.2432,0.033531,29.82
78948,0.2752,0.032004,31.25
78949,0.3066,0.031418,31.83
78950,0.3380,0.031332,31.92
78951,0.3694,0.031457,31.79
78952,0.4009,0.031533,31.71
78953,0.4326,0.031688,31.56
78954,0.4651,0.032508,30.76
78955,0.4970,0.031864,31.38
78956,0.5288,0.031800,31.45
78957,0.5615,0.032736,30.55
78958,0.5931,0.031560,31.69
78959,0.6246,0.031493,31.75
78960,0.6556,0.031039,32.22
78961,0.6878,0.032166,31.09
78962,0.7200,0.032179,31.08
78963,0.7509,0.030964,32.30
78964,0.7821,0.031175,32.08
78965,0.8135,0.031461,31.79
78966,0.8452,0.031602,31.64
78967,0.8763,0.031105,32.15
78968,0.9081,0.031880,31.37
78969,0.9401,0.031991,31.26
78970,0.9711,0.030942,32.32
78971,1.0026,0.031517,31.73
78972,1.0339,0.031310,31.94
78973,1.0658,0.031916,31.33
78974,1.0983,0.032412,30.85
78975,1.1294,0.031135,32.12
78976,1.1605,0.031154,32.10
78977,1.1924,0.031851,31.40
78978,1.2241,0.031731,31.51
78979,1.2579,0.033767,29.61
78980,1.2891,0.031176,32.08
78981,1.3209,0.031797,31.45
78982,1.3518,0.030982,32.28
78983,1.3831,0.031204,32.05
78984,1.4149,0.031873,31.37
78985,1.4460,0.031122,32.13
78986,1.4769,0.030918,32.34
78987,1.5081,0.031094,32.16
78988,1.5394,0.031363,31.88
78989,1.5704,0.030963,32.30
78990,1.6013,0.030919,32.34
78991,1.6324,0.031147,32.11
78992,1.6635,0.031101,32.15
78993,1.6968,0.033249,30.08
78994,1.7285,0.031651,31.59
78995,1.7592,0.030759,32.51
78996,1.7905,0.031346,31.90
78997,1.8218,0.031248,32.00
78998,1.8534,0.031634,31.61
78999,1.8847,0.031301,31.95
79000,1.9158,0.031106,32.15
79001,1.9468,0.031025,32.23
79002,1.9783,0.031459,31.79
79003,2.0097,0.031395,31.85
79004,2.0408,0.031086,32.17
79005,2.0720,0.031240,32.01
79006,2.1041,0.032001,31.25
79007,2.1354,0.031399,31.85
79008,2.1663,0.030825,32.44
79009,2.1994,0.033124,30.19
79010,2.2310,0.031600,31.65
79011,2.2620,0.031030,32.23
79012,2.2928,0.030806,32.46
79013,2.3242,0.031333,31.92
79014,2.3556,0.031422,31.82
79015,2.3867,0.031126,32.13
79016,2.4178,0.031164,32.09
79017,2.4489,0.031021,32.24
79018,2.4805,0.031556,31.69
79019,2.5138,0.033352,29.98
79020,2.5468,0.032961,30.34
79021,2.5819,0.035126,28.47
79022,2.6132,0.031254,32.00
79023,2.6440,0.030904,32.36
79024,2.6762,0.032164,31.09
79025,2.7070,0.030787,32.48
79026,2.7382,0.031200,32.05
79027,2.7693,0.031186,32.07
79028,2.8008,0.031392,31.85
79029,2.8322,0.031415,31.83
79030,2.8643,0.032092,31.16
79031,2.8952,0.030914,32.35
79032,2.9260,0.030778,32.49
79033,2.9574,0.031433,31.81
79034,2.9884,0.031007,32.25
79035,3.0193,0.030954,32.31
79036,3.0508,0.031486,31.76
79037,3.0821,0.031235,32.01
79038,3.1129,0.030791,32.48
79039,3.1423,0.029437,33.97
79040,3.1739,0.031562,31.68
79041,3.2059,0.032057,31.19
79042,3.2371,0.031204,32.05
79043,3.2680,0.030882,32.38
79044,3.2993,0.031244,32.01
79045,3.3298,0.030548,32.74
79046,3.3613,0.031522,31.72
79047,3.3923,0.030943,32.32
79048,3.4233,0.031100,32.15
79049,3.4547,0.031255,31.99
79050,3.4857,0.031110,32.14
79051,3.5170,0.031278,31.97
79052,3.5489,0.031851,31.40
79053,3.5798,0.030978,32.28
79054,3.6106,0.030781,32.49
79055,3.6417,0.031045,32.21
79056,3.6728,0.031121,32.13
79057,3.7048,0.032003,31.25
79058,3.7357,0.030954,32.31
79059,3.7670,0.031198,32.05
79060,3.7979,0.030954,32.31
79061,3.8288,0.030873,32.39
79062,3.8611,0.032400,30.86
79063,3.8931,0.031982,31.27
79064,3.9240,0.030856,32.41
79065,3.9547,0.030624,32.65
79066,3.9856,0.030972,32.29
79067,4.0166,0.030970,32.29
79068,4.0488,0.032216,31.04
79069,4.0812,0.032438,30.83
79070,4.1141,0.032939,30.36
79071,4.1436,0.029449,33.96
79072,4.1750,0.031362,31.89
79073,4.2069,0.031910,31.34
79074,4.2388,0.031975,31.27
79075,4.2706,0.031790,31.46
79076,4.3016,0.030936,32.32
79077,4.3328,0.031256,31.99
79078,4.3644,0.031568,31.68
79079,4.3955,0.031114,32.14
79080,4.4269,0.031375,31.87
79081,4.4583,0.031379,31.87
79082,4.4891,0.030779,32.49
79083,4.5201,0.031060,32.20
79084,4.5515,0.031425,31.82
79085,4.5827,0.031156,32.10
79086,4.6135,0.030779,32.49
79087,4.6442,0.030746,32.52
79088,4.6771,0.032914,30.38
79089,4.7092,0.032053,31.20
79090,4.7402,0.031009,32.25
79091,4.7710,0.030799,32.47
79092,4.8019,0.030855,32.41
79093,4.8331,0.031268,31.98
79094,4.8647,0.031601,31.64
79095,4.8958,0.031079,32.18
79096,4.9268,0.031041,32.22
79097,4.9580,0.031144,32.11
79098,4.9891,0.031142,32.11
79099,5.0201,0.030997,32.26
79100,5.0514,0.031290,31.96
79101,5.0842,0.032761,30.52
79102,5.1153,0.031132,32.12
79103,5.1466,0.031328,31.92
79104,5.1777,0.031059,32.20
79105,5.2093,0.031624,31.62
79106,5.2410,0.031684,31.56
79107,5.2729,0.031946,31.30
79108,5.3076,0.034666,28.85
79109,5.3437,0.036079,27.72
79110,5.3785,0.034828,28.71
79111,5.4113,0.032736,30.55
79112,5.4423,0.031090,32.16
79113,5.4740,0.031682,31.56
79114,5.5049,0.030885,32.38
79115,5.5366,0.031720,31.53
79116,5.5677,0.031033,32.22
79117,5.5987,0.031041,32.22
79118,5.6295,0.030776,32.49
79119,5.6604,0.030914,32.35
79120,5.6913,0.030897,32.37
79121,5.7233,0.031981,31.27
79122,5.7548,0.031505,31.74
79123,5.7856,0.030833,32.43
79124,5.8165,0.030937,32.32
79125,5.8480,0.031424,31.82
79126,5.8790,0.031045,32.21
79127,5.9100,0.030987,32.27
79128,5.9409,0.030902,32.36
79129,5.9719,0.030982,32.28
79130,6.0029,0.030975,32.28
79131,6.0341,0.031192,32.06
79132,6.0647,0.030664,32.61
79133,6.0959,0.031209,32.04
79134,6.1275,0.031595,31.65
79135,6.1594,0.031855,31.39
79136,6.1901,0.030745,32.53
79137,6.2226,0.032472,30.80
79138,6.2541,0.031470,31.78
79139,6.2856,0.031507,31.74
79140,6.3167,0.031062,32.19
79141,6.3472,0.030552,32.73
79142,6.3784,0.031242,32.01
79143,6.4095,0.031126,32.13
79144,6.4406,0.031015,32.24
79145,6.4723,0.031735,31.51
79146,6.5032,0.030872,32.39
79147,6.5351,0.031929,31.32
79148,6.5661,0.031021,32.24
79149,6.5969,0.030783,32.49
79150,6.6281,0.031158,32.09
79151,6.6593,0.031217,32.03
79152,6.6907,0.031377,31.87
79153,6.7223,0.031611,31.63
79154,6.7545,0.032255,31.00
79155,6.7852,0.030682,32.59
79156,6.8162,0.030984,32.28
79157,6.8477,0.031529,31.72
79158,6.8796,0.031864,31.38
79159,6.9108,0.031213,32.04
79160,6.9417,0.030844,32.42
79161,6.9737,0.032053,31.20
79162,7.0045,0.030737,32.53
79163,7.0332,0.028765,34.76
79164,7.0644,0.031210,32.04
79165,7.0960,0.031606,31.64
79166,7.1271,0.031083,32.17
79167,7.1592,0.032089,31.16
79168,7.1898,0.030659,32.62
79169,7.2217,0.031876,31.37
79170,7.2510,0.029333,34.09
79171,7.2825,0.031470,31.78
79172,7.3145,0.031974,31.28
79173,7.3459,0.031390,31.86
79174,7.3772,0.031315,31.93
79175,7.4083,0.031106,32.15
79176,7.4393,0.031049,32.21
79177,7.4705,0.031172,32.08
79178,7.5024,0.031891,31.36
79179,7.5346,0.032204,31.05
79180,7.5679,0.033275,30.05
79181,7.6005,0.032641,30.64
79182,7.6315,0.030961,32.30
79183,7.6625,0.031041,32.22
79184,7.6934,0.030886,32.38
79185,7.7247,0.031255,32.00
79186,7.7560,0.031309,31.94
79187,7.7867,0.030689,32.58
79188,7.8177,0.030995,32.26
79189,7.8498,0.032104,31.15
79190,7.8813,0.031505,31.74
79191,7.9127,0.031448,31.80
79192,7.9438,0.031119,32.13
79193,7.9747,0.030893,32.37
79194,8.0066,0.031830,31.42
79195,8.0388,0.032195,31.06
79196,8.0699,0.031198,32.05
79197,8.1013,0.031306,31.94
79198,8.1325,0.031244,32.01
79199,8.1633,0.030743,32.53
79200,8.1944,0.031113,32.14
79201,8.2261,0.031772,31.47
79202,8.2579,0.031821,31.43
79203,8.2890,0.031029,32.23
79204,8.3201,0.031109,32.15
79205,8.3514,0.031299,31.95
79206,8.3827,0.031309,31.94
79207,8.4138,0.031021,32.24
79208,8.4453,0.031593,31.65
79209,8.4775,0.032201,31.05
79210,8.5091,0.031583,31.66
79211,8.5400,0.030956,32.30
79212,8.5710,0.030987,32.27
79213,8.6021,0.031080,32.18
79214,8.6340,0.031876,31.37
79215,8.6650,0.031056,32.20
79216,8.6962,0.031096,32.16
79217,8.7285,0.032280,30.98
79218,8.7598,0.031401,31.85
79219,8.7910,0.031203,32.05
79220,8.8217,0.030677,32.60
79221,8.8530,0.031233,32.02
79222,8.8840,0.031086,32.17
79223,8.9151,0.031090,32.16
79224,8.9459,0.030807,32.46
79225,8.9778,0.031822,31.43
79226,9.0098,0.032078,31.17
79227,9.0408,0.030931,32.33
79228,9.0718,0.031054,32.20
79229,9.1038,0.032028,31.22
79230,9.1348,0.030954,32.31
79231,9.1664,0.031626,31.62
79232,9.1974,0.031013,32.24
79233,9.2294,0.031937,31.31
79234,9.2603,0.030965,32.29
79235,9.2919,0.031522,31.72
79236,9.3226,0.030787,32.48
79237,9.3539,0.031227,32.02
79238,9.3849,0.031048,32.21
79239,9.4163,0.031342,31.91
79240,9.4475,0.031269,31.98
79241,9.4789,0.031361,31.89
79242,9.5102,0.031327,31.92
79243,9.5417,0.031500,31.75
79244,9.5750,0.033291,30.04
79245,9.6060,0.030991,32.27
79246,9.6375,0.031420,31.83
79247,9.6683,0.030904,32.36
79248,9.6992,0.030852,32.41
79249,9.7319,0.032774,30.51
79250,9.7640,0.031994,31.26
79251,9.7950,0.031020,32.24
79252,9.8261,0.031076,32.18
79253,9.8568,0.030773,32.50
79254,9.8876,0.030819,32.45
79255,9.9189,0.031218,32.03
79256,9.9509,0.032066,31.19
79257,9.9817,0.030750,32.52
