TotalFrame,Time,DeltaTime,FPS
22679,0.0000,0.009294,107.60
22680,0.0000,0.009294,107.60
22681,0.0200,0.020000,50.00
22682,0.0240,0.003990,250.60
22683,0.0283,0.004294,232.88
22684,0.1443,0.115997,8.62
22685,0.1528,0.008500,117.64
22686,0.1620,0.009230,108.34
22687,0.1709,0.008894,112.43
22688,0.1803,0.009434,106.00
22689,0.1895,0.009117,109.69
22690,0.1989,0.009407,106.30
22691,0.2080,0.009149,109.30
22692,0.2169,0.008918,112.14
22693,0.2261,0.009152,109.27
22694,0.2351,0.009048,110.53
22695,0.2446,0.009432,106.02
22696,0.2546,0.010024,99.76
22697,0.2629,0.008331,120.03
22698,0.2722,0.009271,107.86
22699,0.2809,0.008734,114.50
22700,0.2904,0.009475,105.54
22701,0.2999,0.009516,105.09
22702,0.3083,0.008388,119.22
22703,0.3174,0.009079,110.15
22704,0.3266,0.009186,108.86
22705,0.3348,0.008234,121.45
22706,0.3430,0.008163,122.50
22707,0.3509,0.007933,126.06
22708,0.3589,0.008001,124.98
22709,0.3674,0.008481,117.92
22710,0.3750,0.007674,130.31
22711,0.3831,0.008042,124.34
22712,0.3911,0.007989,125.18
22713,0.3992,0.008137,122.89
22714,0.4074,0.008194,122.05
22715,0.4154,0.007981,125.30
22716,0.4238,0.008411,118.90
22717,0.4319,0.008124,123.10
22718,0.4395,0.007538,132.67
22719,0.4476,0.008160,122.55
22720,0.4556,0.007965,125.55
22721,0.4651,0.009485,105.43
22722,0.4723,0.007236,138.21
22723,0.4796,0.007268,137.59
22724,0.4877,0.008102,123.42
22725,0.4965,0.008857,112.90
22726,0.5040,0.007427,134.64
22727,0.5121,0.008113,123.26
22728,0.5200,0.007878,126.94
22729,0.5283,0.008356,119.67
22730,0.5358,0.007517,133.03
22731,0.5442,0.008385,119.26
22732,0.5520,0.007739,129.22
22733,0.5594,0.007413,134.89
22734,0.5679,0.008547,117.01
22735,0.5760,0.008053,124.18
22736,0.5841,0.008109,123.32
22737,0.5921,0.008072,123.88
22738,0.6001,0.007937,126.00
22739,0.6083,0.008220,121.65
22740,0.6163,0.007982,125.28
22741,0.6243,0.008007,124.89
22742,0.6325,0.008166,122.46
22743,0.6400,0.007543,132.58
22744,0.6485,0.008500,117.65
22745,0.6560,0.007461,134.03
22746,0.6644,0.008456,118.26
22747,0.6719,0.007490,133.52
22748,0.6799,0.007964,125.57
22749,0.6880,0.008126,123.06
