TotalFrame,Time,DeltaTime,FPS
537211,0.0000,0.010227,97.78
537212,0.0000,0.010227,97.78
537213,0.0200,0.020000,50.00
537214,0.0234,0.003449,289.97
537215,0.0265,0.003037,329.30
537216,0.0773,0.050695,19.73
537217,0.1016,0.024358,41.05
537218,0.1217,0.020163,49.60
537219,0.1411,0.019346,51.69
537220,0.1598,0.018743,53.35
537221,0.1783,0.018494,54.07
537222,0.1974,0.019014,52.59
537223,0.2158,0.018537,53.95
537224,0.2349,0.018989,52.66
537225,0.2534,0.018504,54.04
537226,0.2725,0.019153,52.21
537227,0.2910,0.018560,53.88
537228,0.3098,0.018754,53.32
537229,0.3168,0.006950,143.88
537230,0.3217,0.004854,206.00
537231,0.3260,0.004458,224.34
537232,0.3308,0.004757,210.21
537233,0.3353,0.004494,222.52
537234,0.3401,0.004708,212.41
537235,0.3450,0.004904,203.91
537236,0.3497,0.004717,211.99
537237,0.3542,0.004588,217.96
537238,0.3589,0.004574,218.61
537239,0.3635,0.004665,214.35
537240,0.3683,0.004844,206.44
537241,0.3730,0.004706,212.49
537242,0.3773,0.004259,234.82
537243,0.3822,0.004852,206.12
537244,0.3868,0.004733,211.30
537245,0.3921,0.005138,194.64
537246,0.3956,0.003647,274.21
537247,0.4006,0.004977,200.92
537248,0.4055,0.004864,205.60
537249,0.4100,0.004479,223.25
537250,0.4147,0.004715,212.11
537251,0.4193,0.004648,215.14
537252,0.4241,0.004747,210.65
537253,0.4287,0.004627,216.15
537254,0.4331,0.004433,225.60
537255,0.4380,0.004849,206.23
537256,0.4426,0.004671,214.11
537257,0.4475,0.004774,209.47
537258,0.4521,0.004729,211.46
537259,0.4567,0.004484,223.04
537260,0.4617,0.005034,198.65
537261,0.4662,0.004519,221.30
537262,0.4711,0.004803,208.22
537263,0.4753,0.004306,232.23
537264,0.4800,0.004632,215.88
537265,0.4849,0.004907,203.80
537266,0.4895,0.004571,218.77
537267,0.4938,0.004382,228.23
537268,0.4990,0.005198,192.39
537269,0.5043,0.005205,192.12
537270,0.5085,0.004300,232.56
537271,0.5131,0.004591,217.80
537272,0.5172,0.004070,245.72
537273,0.5212,0.004096,244.15
537274,0.5256,0.004324,231.25
537275,0.5298,0.004202,238.01
537276,0.5341,0.004279,233.68
537277,0.5381,0.003963,252.37
537278,0.5419,0.003869,258.48
537279,0.5459,0.003927,254.63
537280,0.5503,0.004428,225.86
537281,0.5543,0.003999,250.09
537282,0.5585,0.004194,238.44
537283,0.5626,0.004147,241.13
537284,0.5669,0.004316,231.71
537285,0.5708,0.003867,258.62
537286,0.5748,0.004075,245.42
537287,0.5786,0.003696,270.56
537288,0.5833,0.004709,212.36
537289,0.5869,0.003684,271.47
537290,0.5909,0.004030,248.17
537291,0.5952,0.004172,239.69
537292,0.5994,0.004187,238.86
537293,0.6038,0.004462,224.10
537294,0.6074,0.003664,272.94
537295,0.6117,0.004176,239.49
537296,0.6160,0.004315,231.73
537297,0.6199,0.003957,252.70
537298,0.6243,0.004371,228.80
537299,0.6282,0.003929,254.49
537300,0.6324,0.004218,237.07
537301,0.6366,0.004130,242.14
537302,0.6406,0.004030,248.13
537303,0.6448,0.004168,239.91
537304,0.6487,0.003879,257.83
537305,0.6530,0.004269,234.22
537306,0.6566,0.003746,266.94
537307,0.6608,0.004087,244.65
537308,0.6654,0.004599,217.45
537309,0.6691,0.003774,264.96
537310,0.6732,0.004078,245.21
537311,0.6775,0.004251,235.23
537312,0.6813,0.003817,262.01
537313,0.6855,0.004245,235.57
537314,0.6896,0.004086,244.77
537315,0.6935,0.003879,257.82
537316,0.6980,0.004501,222.19
537317,0.7019,0.003945,253.50
537318,0.7057,0.003763,265.74
537319,0.7100,0.004228,236.54
537320,0.7144,0.004432,225.66
537321,0.7180,0.003704,270.01
537322,0.7222,0.004058,246.41
537323,0.7264,0.004348,230.00
537324,0.7307,0.004256,234.95
537325,0.7347,0.004076,245.33
537326,0.7389,0.004093,244.31
537327,0.7432,0.004297,232.70
537328,0.7469,0.003787,264.06
537329,0.7513,0.004417,226.40
537330,0.7552,0.003920,255.08
537331,0.7596,0.004299,232.62
537332,0.7655,0.005941,168.34
537333,0.7689,0.003324,300.85
537334,0.7722,0.003293,303.66
537335,0.7764,0.004215,237.27
537336,0.7802,0.003726,268.37
537337,0.7841,0.003906,256.04
537338,0.7882,0.004183,239.07
537339,0.7925,0.004280,233.62
537340,0.7963,0.003819,261.83
537341,0.8005,0.004210,237.52
537342,0.8047,0.004189,238.75
537343,0.8086,0.003951,253.11
537344,0.8127,0.004151,240.92
537345,0.8170,0.004199,238.13
537346,0.8208,0.003810,262.50
537347,0.8253,0.004500,222.23
537348,0.8293,0.004088,244.64
537349,0.8331,0.003752,266.54
537350,0.8374,0.004272,234.07
537351,0.8416,0.004158,240.50
537352,0.8453,0.003791,263.79
537353,0.8496,0.004213,237.36
537354,0.8539,0.004255,235.03
537355,0.8577,0.003899,256.49
537356,0.8619,0.004253,235.11
537357,0.8661,0.004120,242.72
537358,0.8701,0.004042,247.43
537359,0.8744,0.004243,235.70
537360,0.8784,0.004035,247.86
537361,0.8823,0.003863,258.87
