TotalFrame,Time,DeltaTime,FPS
6372,0.0000,0.022783,43.89
6373,0.0000,0.022783,43.89
6374,0.0200,0.020000,50.00
6375,0.0455,0.025495,39.22
6376,0.0698,0.024324,41.11
6377,0.0939,0.024078,41.53
6378,0.1185,0.024621,40.62
6379,0.1427,0.024177,41.36
6380,0.1671,0.024370,41.03
6381,0.1914,0.024330,41.10
6382,0.2154,0.023974,41.71
6383,0.2401,0.024690,40.50
6384,0.2643,0.024288,41.17
6385,0.2883,0.023997,41.67
6386,0.3126,0.024249,41.24
6387,0.3369,0.024278,41.19
6388,0.3609,0.024043,41.59
6389,0.3851,0.024201,41.32
6390,0.4092,0.024071,41.54
6391,0.4334,0.024226,41.28
6392,0.4573,0.023913,41.82
6393,0.4816,0.024252,41.23
6394,0.5112,0.029667,33.71
6395,0.5354,0.024150,41.41
6396,0.5594,0.024019,41.63
6397,0.5837,0.024268,41.21
6398,0.6080,0.024279,41.19
6399,0.6322,0.024262,41.22
6400,0.6561,0.023910,41.82
6401,0.6802,0.024100,41.49
6402,0.7041,0.023882,41.87
6403,0.7284,0.024261,41.22
6404,0.7523,0.023906,41.83
6405,0.7781,0.025809,38.75
6406,0.8017,0.023586,42.40
6407,0.8265,0.024787,40.34
6408,0.8506,0.024123,41.45
6409,0.8748,0.024198,41.33
6410,0.8992,0.024461,40.88
6411,0.9232,0.023991,41.68
6412,0.9475,0.024234,41.26
6413,0.9725,0.025083,39.87
6414,0.9969,0.024348,41.07
6415,1.0214,0.024525,40.77
6416,1.0456,0.024129,41.44
6417,1.0695,0.023980,41.70
6418,1.0940,0.024503,40.81
6419,1.1187,0.024634,40.59
6420,1.1432,0.024561,40.72
6421,1.1678,0.024557,40.72
6422,1.1916,0.023768,42.07
6423,1.2157,0.024145,41.42
6424,1.2401,0.024430,40.93
6425,1.2648,0.024709,40.47
6426,1.2888,0.023953,41.75
6427,1.3132,0.024447,40.90
6428,1.3369,0.023707,42.18
6429,1.3614,0.024450,40.90
6430,1.3854,0.023987,41.69
6431,1.4099,0.024521,40.78
6432,1.4340,0.024139,41.43
6433,1.4580,0.023970,41.72
6434,1.4825,0.024464,40.88
6435,1.5063,0.023859,41.91
6436,1.5313,0.025003,40.00
6437,1.5555,0.024153,41.40
6438,1.5796,0.024146,41.41
6439,1.6039,0.024248,41.24
6440,1.6284,0.024504,40.81
6441,1.6526,0.024220,41.29
6442,1.6769,0.024337,41.09
6443,1.7010,0.024083,41.52
6444,1.7251,0.024024,41.63
6445,1.7493,0.024198,41.33
6446,1.7739,0.024614,40.63
6447,1.7981,0.024213,41.30
6448,1.8224,0.024283,41.18
6449,1.8463,0.023925,41.80
6450,1.8710,0.024701,40.48
6451,1.8955,0.024509,40.80
6452,1.9196,0.024082,41.52
6453,1.9435,0.023967,41.72
6454,1.9676,0.024034,41.61
6455,1.9917,0.024125,41.45
6456,2.0169,0.025239,39.62
6457,2.0409,0.023993,41.68
6458,2.0650,0.024076,41.54
6459,2.0889,0.023934,41.78
6460,2.1134,0.024454,40.89
6461,2.1382,0.024823,40.28
6462,2.1624,0.024182,41.35
6463,2.1863,0.023913,41.82
6464,2.2108,0.024483,40.85
6465,2.2363,0.025489,39.23
