TotalFrame,Time,DeltaTime,FPS
141726,0.0000,0.010521,95.05
141727,0.0000,0.010521,95.05
141728,0.0200,0.020000,50.00
141729,0.0261,0.006101,163.91
141730,0.0314,0.005259,190.16
141731,0.0409,0.009533,104.90
141732,0.0461,0.005177,193.16
141733,0.0513,0.005270,189.75
141734,0.0567,0.005318,188.05
141735,0.0621,0.005373,186.10
141736,0.0682,0.006095,164.06
141737,0.0732,0.005101,196.04
141738,0.0785,0.005246,190.62
141739,0.0837,0.005225,191.40
141740,0.0892,0.005498,181.87
141741,0.0945,0.005267,189.87
141742,0.0999,0.005359,186.60
141743,0.1052,0.005379,185.90
141744,0.1106,0.005369,186.26
141745,0.1160,0.005376,186.00
141746,0.1213,0.005320,187.98
141747,0.1265,0.005258,190.19
141748,0.1318,0.005259,190.14
141749,0.1371,0.005255,190.29
141750,0.1424,0.005354,186.78
141751,0.1478,0.005389,185.56
141752,0.1531,0.005364,186.45
141753,0.1585,0.005331,187.60
141754,0.1640,0.005512,181.44
141755,0.1692,0.005155,193.98
141756,0.1744,0.005257,190.23
141757,0.1801,0.005629,177.66
141758,0.1852,0.005165,193.60
141759,0.1907,0.005514,181.36
141760,0.1960,0.005341,187.22
141761,0.2014,0.005356,186.69
141762,0.2070,0.005557,179.96
141763,0.2123,0.005311,188.28
141764,0.2177,0.005333,187.50
141765,0.2230,0.005320,187.97
141766,0.2283,0.005343,187.17
141767,0.2336,0.005347,187.03
141768,0.2390,0.005297,188.80
141769,0.2443,0.005335,187.45
141770,0.2496,0.005327,187.72
141771,0.2548,0.005174,193.29
141772,0.2602,0.005444,183.68
141773,0.2654,0.005237,190.94
141774,0.2708,0.005274,189.61
141775,0.2762,0.005482,182.42
141776,0.2817,0.005515,181.31
141777,0.2869,0.005168,193.49
141778,0.2924,0.005452,183.41
141779,0.2975,0.005211,191.90
141780,0.3033,0.005771,173.28
141781,0.3086,0.005240,190.85
141782,0.3138,0.005225,191.41
141783,0.3192,0.005368,186.28
141784,0.3245,0.005339,187.29
141785,0.3298,0.005279,189.42
141786,0.3351,0.005357,186.68
141787,0.3405,0.005305,188.52
141788,0.3457,0.005269,189.79
141789,0.3509,0.005207,192.06
141790,0.3563,0.005351,186.90
141791,0.3615,0.005235,191.01
141792,0.3669,0.005453,183.38
141793,0.3722,0.005243,190.73
141794,0.3777,0.005559,179.88
141795,0.3832,0.005468,182.90
141796,0.3887,0.005459,183.20
141797,0.3939,0.005252,190.39
141798,0.3994,0.005482,182.40
141799,0.4049,0.005483,182.39
141800,0.4107,0.005839,171.28
141801,0.4165,0.005755,173.77
141802,0.4219,0.005389,185.55
