TotalFrame,Time,DeltaTime,FPS
4319,0.0000,0.333333,3.00
4320,0.0000,0.333333,3.00
4321,0.0200,0.020000,50.00
4322,0.3533,0.333333,3.00
4323,0.6867,0.333333,3.00
4324,1.0200,0.333333,3.00
4325,1.3533,0.333333,3.00
4326,1.6867,0.333333,3.00
4327,2.0200,0.333333,3.00
4328,2.3533,0.333333,3.00
4329,2.6867,0.333333,3.00
4330,3.0200,0.333333,3.00
4331,3.3533,0.333333,3.00
4332,3.6867,0.333333,3.00
4333,4.0200,0.333333,3.00
4334,4.3533,0.333333,3.00
4335,4.6867,0.333333,3.00
4336,5.0200,0.333333,3.00
4337,5.3533,0.333333,3.00
4338,5.6867,0.333333,3.00
4339,6.0200,0.333333,3.00
4340,6.3533,0.333333,3.00
4341,6.6867,0.333333,3.00
4342,7.0200,0.333333,3.00
4343,7.3533,0.333333,3.00
4344,7.6867,0.333333,3.00
4345,8.0200,0.333333,3.00
4346,8.3533,0.333333,3.00
4347,8.6867,0.333333,3.00
4348,9.0200,0.333333,3.00
4349,9.3533,0.333333,3.00
4350,9.6867,0.333333,3.00
