TotalFrame,Time,DeltaTime,FPS
90601,0.0000,0.054402,18.38
90602,0.0000,0.054402,18.38
90603,0.0200,0.020000,50.00
90604,0.0690,0.048970,20.42
90605,0.1188,0.049849,20.06
90606,0.1691,0.050262,19.90
90607,0.2195,0.050460,19.82
90608,0.2692,0.049680,20.13
90609,0.3188,0.049593,20.16
90610,0.3687,0.049822,20.07
90611,0.4186,0.049929,20.03
90612,0.4644,0.045820,21.82
90613,0.5164,0.051961,19.25
90614,0.5662,0.049862,20.06
90615,0.6169,0.050713,19.72
90616,0.6637,0.046747,21.39
90617,0.7137,0.050049,19.98
90618,0.7640,0.050332,19.87
90619,0.8141,0.050104,19.96
90620,0.8640,0.049904,20.04
90621,0.9139,0.049882,20.05
90622,0.9633,0.049369,20.26
90623,1.0139,0.050684,19.73
90624,1.0654,0.051418,19.45
90625,1.1156,0.050223,19.91
90626,1.1652,0.049598,20.16
90627,1.2144,0.049172,20.34
90628,1.2645,0.050098,19.96
90629,1.3154,0.050973,19.62
90630,1.3633,0.047803,20.92
90631,1.4135,0.050185,19.93
90632,1.4601,0.046691,21.42
90633,1.5122,0.052031,19.22
90634,1.5625,0.050322,19.87
90635,1.6122,0.049678,20.13
90636,1.6643,0.052118,19.19
90637,1.7163,0.052047,19.21
90638,1.7662,0.049900,20.04
90639,1.8184,0.052168,19.17
90640,1.8707,0.052387,19.09
90641,1.9208,0.050004,20.00
90642,1.9711,0.050255,19.90
90643,2.0216,0.050597,19.76
90644,2.0713,0.049631,20.15
90645,2.1209,0.049564,20.18
90646,2.1694,0.048640,20.56
90647,2.2192,0.049738,20.11
90648,2.2687,0.049471,20.21
90649,2.3203,0.051606,19.38
90650,2.3696,0.049331,20.27
90651,2.4200,0.050466,19.82
90652,2.4711,0.050987,19.61
90653,2.5234,0.052390,19.09
90654,2.5736,0.050118,19.95
90655,2.6234,0.049801,20.08
90656,2.6733,0.049976,20.01
90657,2.7233,0.049954,20.02
90658,2.7755,0.052211,19.15
90659,2.8258,0.050315,19.87
90660,2.8783,0.052407,19.08
90661,2.9287,0.050449,19.82
90662,2.9783,0.049636,20.15
90663,3.0305,0.052203,19.16
90664,3.0807,0.050195,19.92
90665,3.1313,0.050656,19.74
90666,3.1827,0.051370,19.47
90667,3.2343,0.051554,19.40
90668,3.2837,0.049452,20.22
90669,3.3341,0.050379,19.85
90670,3.3850,0.050930,19.63
90671,3.4355,0.050532,19.79
90672,3.4856,0.050012,20.00
90673,3.5358,0.050209,19.92
90674,3.5867,0.050883,19.65
90675,3.6365,0.049810,20.08
90676,3.6862,0.049640,20.15
90677,3.7360,0.049798,20.08
90678,3.7855,0.049550,20.18
90679,3.8353,0.049866,20.05
90680,3.8865,0.051112,19.56
90681,3.9363,0.049815,20.07
90682,3.9858,0.049491,20.21
90683,4.0361,0.050315,19.87
90684,4.0872,0.051036,19.59
90685,4.1387,0.051584,19.39
90686,4.1873,0.048595,20.58
90687,4.2362,0.048885,20.46
90688,4.2882,0.052008,19.23
90689,4.3374,0.049244,20.31
90690,4.3870,0.049507,20.20
90691,4.4377,0.050767,19.70
90692,4.4868,0.049113,20.36
90693,4.5365,0.049630,20.15
90694,4.5861,0.049580,20.17
90695,4.6378,0.051826,19.30
90696,4.6902,0.052303,19.12
90697,4.7401,0.049994,20.00
90698,4.7892,0.048981,20.42
90699,4.8386,0.049533,20.19
90700,4.8893,0.050595,19.76
90701,4.9385,0.049207,20.32
90702,4.9889,0.050428,19.83
90703,5.0392,0.050260,19.90
90704,5.0895,0.050286,19.89
90705,5.1407,0.051341,19.48
90706,5.1906,0.049739,20.10
90707,5.2415,0.050862,19.66
90708,5.2910,0.049654,20.14
90709,5.3407,0.049659,20.14
90710,5.3923,0.051667,19.35
90711,5.4423,0.049919,20.03
90712,5.4935,0.051230,19.52
