TotalFrame,Time,DeltaTime,FPS,RAM
51586,0.0000,0.014565,68.66, 1417.4170
51587,0.0000,0.014565,68.66, 1417.5550
51588,0.0200,0.020000,50.00, 1417.4400
51589,0.0234,0.003123,320.23, 1417.4420
51590,0.0264,0.003025,330.61, 1417.4420
51591,0.0996,0.073316,13.64, 1417.4420
51592,0.1533,0.053729,18.61, 1417.4420
51593,0.1772,0.023744,42.12, 1417.4420
51594,0.1968,0.019922,50.20, 1417.4420
51595,0.2173,0.020174,49.57, 1417.4420
51596,0.2368,0.019553,51.14, 1417.4420
51597,0.2559,0.019381,51.60, 1417.4420
51598,0.2759,0.019638,50.92, 1417.4410
51599,0.2954,0.019868,50.33, 1417.4370
51600,0.3149,0.019592,51.04, 1417.4370
51601,0.3350,0.019869,50.33, 1417.4360
51602,0.3550,0.019945,50.14, 1417.4360
51603,0.3745,0.019640,50.92, 1417.4360
51604,0.3931,0.018624,53.69, 1417.4370
51605,0.4111,0.017908,55.84, 1417.4370
51606,0.4292,0.017961,55.68, 1417.4360
51607,0.4473,0.017908,55.84, 1417.4360
51608,0.4644,0.017482,57.20, 1417.4390
51609,0.4819,0.017355,57.62, 1417.4370
51610,0.5000,0.018266,54.75, 1417.4400
51611,0.5171,0.017064,58.60, 1417.4370
51612,0.5342,0.016881,59.24, 1417.4370
51613,0.5518,0.017674,56.58, 1417.4360
51614,0.5693,0.017538,57.02, 1417.4370
51615,0.5869,0.017425,57.39, 1417.4370
51616,0.6040,0.017296,57.82, 1417.4370
51617,0.6216,0.017667,56.60, 1417.4370
51618,0.6387,0.017130,58.38, 1417.4360
51619,0.6563,0.017413,57.43, 1417.4370
51620,0.6738,0.017378,57.54, 1417.4370
51621,0.6909,0.017103,58.47, 1417.4360
51622,0.7085,0.017584,56.87, 1417.4360
51623,0.7261,0.017621,56.75, 1417.4370
51624,0.7432,0.017174,58.23, 1417.4360
51625,0.7607,0.017507,57.12, 1417.4370
51626,0.7778,0.017433,57.36, 1417.4360
51627,0.7949,0.017097,58.49, 1417.4360
51628,0.8125,0.017546,56.99, 1417.4370
51629,0.8306,0.017949,55.71, 1417.4360
51630,0.8481,0.017473,57.23, 1417.4370
51631,0.8672,0.019201,52.08, 1417.4370
51632,0.8843,0.017101,58.48, 1417.4370
51633,0.9014,0.017158,58.28, 1417.4370
51634,0.9194,0.017897,55.87, 1417.4370
51635,0.9365,0.016900,59.17, 1417.4360
51636,0.9541,0.017989,55.59, 1417.4370
51637,0.9717,0.017156,58.29, 1417.4370
51638,0.9888,0.017226,58.05, 1417.4370
51639,1.0059,0.017228,58.04, 1417.4370
51640,1.0234,0.017375,57.55, 1417.4360
51641,1.0410,0.017667,56.60, 1417.4360
51642,1.0581,0.017170,58.24, 1417.4360
51643,1.0757,0.017425,57.39, 1417.4370
51644,1.0928,0.017375,57.55, 1417.4370
51645,1.1104,0.017373,57.56, 1417.4370
51646,1.1279,0.017468,57.25, 1417.4430
51647,1.1455,0.017591,56.85, 1417.4370
51648,1.1631,0.017521,57.07, 1417.4370
51649,1.1802,0.017298,57.81, 1417.4370
51650,1.1978,0.017571,56.91, 1417.4370
51651,1.2163,0.018569,53.85, 1417.4370
51652,1.2329,0.016526,60.51, 1417.4370
51653,1.2505,0.017450,57.31, 1417.4370
51654,1.2681,0.017559,56.95, 1417.4370
51655,1.2856,0.017864,55.98, 1417.4370
51656,1.3032,0.017247,57.98, 1417.4370
51657,1.3203,0.017220,58.07, 1417.4370
51658,1.3379,0.017634,56.71, 1417.4370
51659,1.3550,0.017345,57.65, 1417.4370
51660,1.3726,0.017171,58.24, 1417.4370
51661,1.3896,0.017261,57.93, 1417.4370
51662,1.4072,0.017463,57.27, 1417.4370
51663,1.4243,0.017266,57.92, 1417.4370
51664,1.4419,0.017409,57.44, 1417.4390
51665,1.4590,0.017382,57.53, 1417.4370
51666,1.4766,0.017351,57.63, 1417.4370
51667,1.4937,0.017293,57.83, 1417.4370
51668,1.5112,0.017357,57.61, 1417.4370
51669,1.5288,0.017747,56.35, 1417.4370
51670,1.5464,0.017560,56.95, 1417.4370
51671,1.5635,0.017181,58.20, 1417.4370
51672,1.5820,0.018205,54.93, 1417.4370
51673,1.5996,0.017760,56.31, 1417.4370
51674,1.6167,0.017159,58.28, 1417.4370
51675,1.6343,0.017494,57.16, 1417.4480
51676,1.6523,0.018330,54.56, 1417.4370
51677,1.6694,0.016870,59.28, 1417.4370
51678,1.6870,0.017646,56.67, 1417.4370
51679,1.7046,0.017366,57.59, 1417.4370
51680,1.7222,0.017905,55.85, 1417.4370
51681,1.7393,0.016831,59.42, 1417.4370
51682,1.7573,0.018365,54.45, 1417.4370
51683,1.7754,0.017786,56.22, 1417.4370
51684,1.7925,0.017371,57.57, 1417.4370
51685,1.8105,0.018019,55.50, 1417.4370
51686,1.8286,0.017746,56.35, 1417.4390
51687,1.8462,0.017486,57.19, 1417.4370
51688,1.8638,0.017988,55.59, 1417.4370
51689,1.8818,0.017910,55.83, 1417.4370
51690,1.8989,0.017174,58.23, 1417.4370
51691,1.9165,0.017688,56.54, 1417.4370
51692,1.9346,0.017605,56.80, 1417.4370
51693,1.9521,0.017733,56.39, 1417.4370
51694,1.9697,0.017570,56.91, 1417.4370
51695,1.9868,0.017399,57.47, 1417.4370
51696,2.0039,0.016932,59.06, 1417.4370
51697,2.0215,0.017696,56.51, 1417.4370
51698,2.0391,0.017563,56.94, 1417.4370
51699,2.0566,0.017369,57.58, 1417.4370
51700,2.0737,0.017338,57.68, 1417.4370
51701,2.0913,0.017392,57.50, 1417.4370
51702,2.1089,0.017475,57.23, 1417.4370
51703,2.1265,0.017878,55.94, 1417.4370
51704,2.1440,0.017309,57.77, 1417.4370
51705,2.1616,0.017824,56.10, 1417.4370
51706,2.1792,0.017201,58.14, 1417.4370
51707,2.1968,0.017712,56.46, 1417.4370
51708,2.2144,0.017467,57.25, 1417.4370
51709,2.2324,0.018388,54.38, 1417.4370
51710,2.2500,0.017388,57.51, 1417.4370
51711,2.2676,0.017624,56.74, 1417.4370
51712,2.2856,0.018037,55.44, 1417.4370
51713,2.3022,0.016667,60.00, 1417.4370
51714,2.3198,0.017595,56.83, 1417.4370
51715,2.3374,0.017566,56.93, 1417.4370
51716,2.3545,0.017196,58.15, 1417.4370
51717,2.3721,0.017265,57.92, 1417.4370
51718,2.3896,0.017543,57.00, 1417.4370
51719,2.4067,0.017462,57.27, 1417.4370
51720,2.4243,0.017461,57.27, 1417.4480
51721,2.4419,0.017298,57.81, 1417.4370
51722,2.4590,0.017474,57.23, 1417.4370
51723,2.4766,0.017554,56.97, 1417.4370
51724,2.4946,0.017797,56.19, 1417.4370
51725,2.5117,0.017232,58.03, 1417.4370
51726,2.5293,0.017536,57.03, 1417.4370
51727,2.5469,0.017420,57.41, 1417.4370
51728,2.5649,0.018063,55.36, 1417.4370
51729,2.5825,0.017711,56.46, 1417.4370
51730,2.6001,0.017669,56.60, 1417.4370
51731,2.6177,0.017476,57.22, 1417.4370
51732,2.6353,0.017748,56.34, 1417.4380
51733,2.6528,0.017638,56.70, 1417.4370
51734,2.6704,0.017595,56.83, 1417.4370
51735,2.6880,0.017458,57.28, 1417.4370
51736,2.7051,0.017197,58.15, 1417.4370
51737,2.7227,0.017607,56.79, 1417.4370
51738,2.7402,0.017413,57.43, 1417.4370
51739,2.7573,0.017241,58.00, 1417.4370
51740,2.7749,0.017330,57.70, 1417.4370
51741,2.7925,0.017488,57.18, 1417.4370
51742,2.8096,0.017480,57.21, 1417.4370
51743,2.8271,0.017518,57.08, 1417.4370
51744,2.8452,0.017696,56.51, 1417.4370
51745,2.8633,0.018178,55.01, 1417.4370
51746,2.8799,0.016920,59.10, 1417.4370
51747,2.8979,0.018045,55.42, 1417.4370
51748,2.9160,0.018091,55.28, 1417.4370
51749,2.9336,0.017539,57.02, 1417.4370
51750,2.9512,0.017566,56.93, 1417.4390
51751,2.9692,0.017700,56.50, 1417.4370
51752,2.9868,0.017583,56.87, 1417.4370
51753,3.0039,0.017272,57.90, 1417.4370
51754,3.0215,0.017386,57.52, 1417.4370
51755,3.0386,0.017498,57.15, 1417.4370
51756,3.0562,0.017523,57.07, 1417.4370
51757,3.0737,0.017243,58.00, 1417.4370
51758,3.0913,0.017625,56.74, 1417.4370
51759,3.1084,0.017427,57.38, 1417.4370
51760,3.1265,0.017785,56.23, 1417.4370
51761,3.1436,0.017350,57.64, 1417.4370
51762,3.1616,0.017697,56.51, 1417.4370
51763,3.1792,0.017564,56.94, 1417.4370
51764,3.1963,0.017390,57.50, 1417.4370
51765,3.2139,0.017390,57.51, 1417.4370
51766,3.2310,0.017408,57.45, 1417.4370
51767,3.2490,0.017686,56.54, 1417.4370
51768,3.2661,0.017468,57.25, 1417.4390
51769,3.2842,0.018003,55.55, 1417.4370
51770,3.3018,0.017551,56.98, 1417.4370
51771,3.3193,0.017453,57.30, 1417.4370
51772,3.3364,0.017185,58.19, 1417.4390
51773,3.3540,0.017584,56.87, 1417.4370
51774,3.3716,0.017518,57.08, 1417.4370
51775,3.3892,0.017554,56.97, 1417.4370
51776,3.4063,0.017249,57.97, 1417.4440
51777,3.4238,0.017409,57.44, 1417.4370
51778,3.4414,0.017646,56.67, 1417.4390
51779,3.4590,0.017434,57.36, 1417.4370
51780,3.4766,0.017522,57.07, 1417.4370
51781,3.4941,0.017477,57.22, 1417.4370
51782,3.5112,0.017240,58.00, 1417.4370
51783,3.5288,0.017600,56.82, 1417.4370
51784,3.5464,0.017573,56.91, 1417.4370
51785,3.5640,0.017724,56.42, 1417.4370
51786,3.5815,0.017308,57.78, 1417.4370
51787,3.5991,0.017509,57.11, 1417.4370
51788,3.6167,0.017711,56.46, 1417.4370
51789,3.6343,0.017861,55.99, 1417.4370
51790,3.6519,0.017593,56.84, 1417.4370
51791,3.6694,0.017227,58.05, 1417.4370
51792,3.6870,0.017649,56.66, 1417.4370
51793,3.7046,0.017683,56.55, 1417.4370
51794,3.7222,0.017521,57.07, 1417.4370
51795,3.7397,0.017515,57.09, 1417.4370
51796,3.7573,0.017588,56.86, 1417.4370
51797,3.7749,0.017722,56.43, 1417.4370
51798,3.7925,0.017637,56.70, 1417.4370
51799,3.8101,0.017467,57.25, 1417.4370
51800,3.8271,0.017292,57.83, 1417.4370
51801,3.8447,0.017470,57.24, 1417.4370
51802,3.8633,0.018464,54.16, 1417.4370
51803,3.8813,0.017972,55.64, 1417.4370
51804,3.8984,0.017386,57.52, 1417.4370
51805,3.9160,0.017588,56.86, 1417.4370
51806,3.9341,0.017637,56.70, 1417.4370
51807,3.9517,0.017626,56.74, 1417.4370
51808,3.9692,0.017626,56.74, 1417.4370
51809,3.9863,0.017245,57.99, 1417.4530
51810,4.0044,0.017897,55.88, 1417.4370
51811,4.0215,0.017220,58.07, 1417.4370
51812,4.0391,0.017599,56.82, 1417.4370
51813,4.0562,0.017264,57.92, 1417.4370
51814,4.0737,0.017619,56.76, 1417.4370
51815,4.0913,0.017447,57.32, 1417.4370
51816,4.1094,0.017731,56.40, 1417.4370
51817,4.1270,0.017592,56.85, 1417.4370
51818,4.1440,0.017353,57.63, 1417.4370
51819,4.1616,0.017549,56.98, 1417.4370
51820,4.1792,0.017515,57.09, 1417.4370
51821,4.1973,0.017998,55.56, 1417.4370
51822,4.2144,0.017372,57.56, 1417.4650
51823,4.2324,0.017840,56.06, 1417.4370
51824,4.2500,0.017677,56.57, 1417.4370
51825,4.2676,0.017384,57.52, 1417.4370
51826,4.2852,0.017939,55.75, 1417.4370
51827,4.3032,0.017669,56.60, 1417.4370
51828,4.3208,0.017849,56.03, 1417.4370
51829,4.3379,0.017036,58.70, 1417.4370
51830,4.3555,0.017750,56.34, 1417.4370
51831,4.3730,0.017205,58.12, 1417.4370
51832,4.3906,0.017806,56.16, 1417.4370
51833,4.4082,0.017372,57.57, 1417.4370
51834,4.4253,0.017486,57.19, 1417.4370
51835,4.4434,0.017689,56.53, 1417.4370
51836,4.4604,0.017427,57.38, 1417.4370
51837,4.4785,0.017653,56.65, 1417.4370
51838,4.4956,0.017283,57.86, 1417.4370
51839,4.5132,0.017468,57.25, 1417.4370
51840,4.5308,0.017473,57.23, 1417.4370
51841,4.5483,0.017634,56.71, 1417.4370
51842,4.5654,0.017426,57.39, 1417.4370
51843,4.5830,0.017523,57.07, 1417.4370
51844,4.6006,0.017706,56.48, 1417.4370
51845,4.6187,0.017934,55.76, 1417.4370
51846,4.6362,0.017277,57.88, 1417.4370
51847,4.6538,0.017640,56.69, 1417.4390
51848,4.6714,0.017553,56.97, 1417.4370
51849,4.6890,0.017684,56.55, 1417.4370
51850,4.7065,0.017637,56.70, 1417.4370
51851,4.7236,0.017316,57.75, 1417.4370
51852,4.7412,0.017467,57.25, 1417.4370
51853,4.7588,0.017627,56.73, 1417.4370
51854,4.7764,0.017232,58.03, 1417.4370
51855,4.7939,0.017643,56.68, 1417.4370
51856,4.8115,0.017511,57.11, 1417.4370
51857,4.8286,0.017354,57.62, 1417.4370
51858,4.8462,0.017739,56.37, 1417.4370
51859,4.8643,0.017943,55.73, 1417.4370
51860,4.8823,0.017838,56.06, 1417.4370
51861,4.8994,0.017025,58.74, 1417.4370
51862,4.9175,0.018438,54.24, 1417.4370
51863,4.9351,0.017284,57.86, 1417.4370
51864,4.9526,0.017644,56.68, 1417.4370
51865,4.9702,0.017560,56.95, 1417.4370
51866,4.9878,0.017741,56.37, 1417.4370
51867,5.0054,0.017648,56.66, 1417.4370
51868,5.0234,0.017697,56.51, 1417.4370
51869,5.0405,0.017258,57.94, 1417.4370
51870,5.0576,0.017258,57.94, 1417.4370
51871,5.0752,0.017659,56.63, 1417.4370
51872,5.0928,0.017441,57.34, 1417.4370
51873,5.1104,0.017477,57.22, 1417.4370
51874,5.1279,0.017438,57.35, 1417.4370
51875,5.1450,0.017475,57.22, 1417.4370
51876,5.1631,0.017612,56.78, 1417.4370
51877,5.1802,0.017475,57.22, 1417.4370
51878,5.1978,0.017491,57.17, 1417.4370
51879,5.2153,0.017462,57.27, 1417.4370
51880,5.2329,0.017635,56.71, 1417.4370
51881,5.2510,0.018223,54.87, 1417.4370
51882,5.2681,0.017111,58.44, 1417.4370
51883,5.2861,0.017852,56.01, 1417.4370
51884,5.3052,0.018986,52.67, 1417.4370
51885,5.3208,0.015935,62.76, 1417.4370
51886,5.3389,0.017714,56.45, 1417.4370
51887,5.3560,0.017228,58.05, 1417.4370
51888,5.3730,0.017271,57.90, 1417.4370
51889,5.3906,0.017478,57.22, 1417.4370
51890,5.4082,0.017693,56.52, 1417.4370
51891,5.4258,0.017123,58.40, 1417.4370
51892,5.4429,0.017245,57.99, 1417.4370
51893,5.4604,0.017440,57.34, 1417.4370
51894,5.4780,0.017745,56.36, 1417.4370
51895,5.4956,0.017419,57.41, 1417.4370
51896,5.5127,0.017377,57.55, 1417.4370
51897,5.5303,0.017629,56.73, 1417.4370
51898,5.5479,0.017298,57.81, 1417.4370
51899,5.5649,0.017444,57.33, 1417.4370
51900,5.5825,0.017467,57.25, 1417.4370
51901,5.6001,0.017591,56.85, 1417.4370
51902,5.6177,0.017378,57.54, 1417.4370
51903,5.6353,0.017667,56.60, 1417.4370
51904,5.6528,0.017640,56.69, 1417.4370
51905,5.6704,0.017555,56.96, 1417.4390
51906,5.6875,0.017298,57.81, 1417.4370
51907,5.7056,0.017842,56.05, 1417.4370
51908,5.7227,0.017232,58.03, 1417.4370
51909,5.7407,0.017695,56.51, 1417.4370
51910,5.7578,0.017297,57.81, 1417.4370
51911,5.7749,0.017130,58.38, 1417.4370
51912,5.7925,0.017448,57.31, 1417.4370
51913,5.8105,0.018221,54.88, 1417.4370
51914,5.8281,0.017456,57.29, 1417.4370
51915,5.8452,0.017324,57.72, 1417.4370
51916,5.8628,0.017473,57.23, 1417.4370
51917,5.8804,0.017693,56.52, 1417.4370
51918,5.8979,0.017649,56.66, 1417.4370
51919,5.9165,0.018530,53.97, 1417.4370
51920,5.9336,0.017070,58.58, 1417.4370
51921,5.9517,0.017880,55.93, 1417.4370
51922,5.9692,0.017565,56.93, 1417.4370
51923,5.9868,0.017624,56.74, 1417.4370
51924,6.0044,0.017572,56.91, 1417.4370
51925,6.0215,0.017262,57.93, 1417.4370
51926,6.0391,0.017389,57.51, 1417.4370
