TotalFrame,Time,DeltaTime,FPS,RAM
39419,0.0000,0.252102,3.97, 427.3087
39420,0.0000,0.252102,3.97, 442.3067
39421,0.0200,0.020000,50.00, 433.9792
39422,0.0269,0.007017,142.52, 434.0434
39423,0.0339,0.006984,143.18, 433.2727
39424,0.2795,0.245482,4.07, 433.6664
39425,0.5334,0.254060,3.94, 434.6018
39426,0.7876,0.254060,3.94, 433.8535
39427,1.0417,0.254126,3.94, 434.5394
39428,1.2966,0.254859,3.92, 434.2900
39429,1.5503,0.253645,3.94, 433.8535
39430,1.8030,0.252809,3.96, 435.5995
39431,2.0586,0.255535,3.91, 433.4162
39432,2.3125,0.253878,3.94, 433.8481
39433,2.5662,0.253798,3.94, 434.8458
39434,2.8188,0.252754,3.96, 433.6610
39435,3.0737,0.254696,3.93, 434.1599
39436,3.3281,0.254376,3.93, 433.7234
39437,3.5811,0.252982,3.95, 433.6610
39438,3.8350,0.253978,3.94, 434.2222
39439,4.0906,0.255555,3.91, 433.7857
39440,4.3438,0.253164,3.95, 433.9728
39441,4.5977,0.254050,3.94, 433.8481
39442,4.8516,0.253928,3.94, 434.9705
39443,5.1057,0.254111,3.94, 434.2222
39444,5.3589,0.253003,3.95, 433.9104
39445,5.6130,0.254309,3.93, 433.7234
39446,5.8669,0.253890,3.94, 434.4093
39447,6.1211,0.254211,3.93, 433.7857
39448,6.3755,0.254196,3.93, 434.1599
39449,6.6296,0.254177,3.93, 434.0352
39450,6.8828,0.253356,3.95, 434.4716
39451,7.1379,0.255067,3.92, 434.4716
39452,7.3921,0.253985,3.94, 435.7812
39453,7.6450,0.253054,3.95, 434.0352
39454,7.8994,0.254266,3.93, 433.7857
39455,8.1543,0.255116,3.92, 435.1576
39456,8.4084,0.253987,3.94, 434.0975
39457,8.6614,0.252890,3.95, 433.9104
39458,8.9177,0.256368,3.90, 435.4694
39459,9.1726,0.254963,3.92, 433.9104
39460,9.4260,0.253519,3.94, 436.2177
39461,9.6790,0.252927,3.95, 433.4739
39462,9.9355,0.256353,3.90, 434.7211
