TotalFrame,Time,DeltaTime,FPS,RAM
16771,0.0000,0.215702,4.64, 376.7200
16772,0.0000,0.215702,4.64, 377.9174
16773,0.0200,0.020000,50.00, 379.4588
16774,0.0525,0.032455,30.81, 388.0376
16775,0.1718,0.119299,8.38, 400.3864
16776,0.4022,0.230466,4.34, 399.6713
16777,0.6078,0.205602,4.86, 400.3863
16778,0.8276,0.219781,4.55, 399.6713
16779,1.0427,0.215053,4.65, 399.6713
16780,1.2606,0.217939,4.59, 399.3138
16781,1.4775,0.216867,4.61, 399.3138
16782,1.6934,0.215968,4.63, 399.6713
16783,1.9097,0.216262,4.62, 399.6706
16784,2.1260,0.216333,4.62, 399.6660
16785,2.3426,0.216540,4.62, 399.6660
16786,2.5584,0.215813,4.63, 399.6660
16787,2.7752,0.216816,4.61, 399.3085
16788,2.9910,0.215765,4.63, 399.3085
16789,3.2105,0.219528,4.56, 399.6660
16790,3.4232,0.212654,4.70, 400.3810
16791,3.6414,0.218273,4.58, 399.6660
16792,3.8578,0.216402,4.62, 399.6660
16793,4.0738,0.215957,4.63, 399.6660
16794,4.2911,0.217339,4.60, 399.3085
16795,4.5073,0.216143,4.63, 399.3085
16796,4.7222,0.214961,4.65, 400.0235
16797,4.9402,0.218037,4.59, 399.6660
16798,5.1565,0.216227,4.62, 399.6660
16799,5.3725,0.216013,4.63, 400.0235
16800,5.5898,0.217282,4.60, 399.6660
16801,5.8080,0.218174,4.58, 399.3085
16802,6.0245,0.216585,4.62, 399.3085
16803,6.2404,0.215826,4.63, 399.6660
16804,6.4551,0.214700,4.66, 400.3810
16805,6.6717,0.216631,4.62, 400.3810
16806,6.8876,0.215959,4.63, 400.3810
16807,7.1060,0.218290,4.58, 399.6660
16808,7.3226,0.216709,4.61, 399.3085
16809,7.5383,0.215661,4.64, 400.3810
16810,7.7563,0.217947,4.59, 399.6660
16811,7.9718,0.215530,4.64, 399.6660
16812,8.1889,0.217109,4.61, 399.6660
16813,8.4037,0.214821,4.66, 400.3810
16814,8.6243,0.220600,4.53, 399.6660
16815,8.8380,0.213615,4.68, 399.3085
16816,9.0577,0.219753,4.55, 399.3085
16817,9.2712,0.213500,4.68, 399.6660
16818,9.4887,0.217489,4.60, 399.6660
16819,9.7031,0.214437,4.66, 400.3810
16820,9.9196,0.216426,4.62, 400.3810
