TotalFrame,Time,DeltaTime,FPS,RAM
975971,0.0000,0.014360,69.64, 465.1221
975972,0.0000,0.014360,69.64, 465.3576
975973,0.0200,0.020000,50.00, 465.1772
975974,0.0229,0.003192,313.26, 465.1471
975975,0.0259,0.002917,342.79, 465.1472
975976,0.0376,0.011453,87.31, 465.1466
975977,0.0420,0.004530,220.74, 465.1470
975978,0.0464,0.004521,221.18, 465.1470
975979,0.0503,0.003745,267.01, 465.1470
975980,0.0547,0.004434,225.52, 465.1467
975981,0.0591,0.004439,225.28, 465.1470
975982,0.0630,0.003873,258.17, 465.1470
975983,0.0674,0.004477,223.38, 465.1465
975984,0.0718,0.004258,234.86, 465.1416
975985,0.0762,0.004392,227.67, 465.1416
975986,0.0806,0.004325,231.24, 465.1413
975987,0.0845,0.004186,238.89, 465.1416
975988,0.0889,0.004413,226.63, 465.1413
975989,0.0928,0.003869,258.45, 465.1416
975990,0.0972,0.004217,237.13, 465.1416
975991,0.1016,0.004373,228.68, 465.1416
975992,0.1055,0.003918,255.26, 465.1416
975993,0.1099,0.004384,228.10, 465.1410
975994,0.1143,0.004420,226.24, 465.1416
975995,0.1191,0.004727,211.57, 465.1416
975996,0.1230,0.003921,255.06, 465.1410
975997,0.1270,0.004049,246.97, 465.1410
975998,0.1313,0.004172,239.72, 465.1410
975999,0.1353,0.004012,249.24, 465.1416
976000,0.1392,0.004226,236.64, 465.1413
976001,0.1450,0.005428,184.24, 465.1413
976002,0.1479,0.003302,302.83, 465.1416
976003,0.1523,0.004236,236.08, 465.1416
976004,0.1567,0.004337,230.57, 465.1416
976005,0.1606,0.003926,254.69, 465.1413
976006,0.1646,0.004186,238.92, 465.1413
976007,0.1694,0.004440,225.21, 465.1413
976008,0.1729,0.003827,261.29, 465.1416
976009,0.1777,0.004824,207.31, 465.1416
976010,0.1816,0.003853,259.51, 465.1413
976011,0.1860,0.004268,234.29, 465.1413
976012,0.1899,0.004023,248.56, 465.1416
976013,0.1948,0.004661,214.56, 465.1416
976014,0.1987,0.004109,243.38, 465.1416
976015,0.2026,0.003995,250.33, 465.1416
976016,0.2070,0.004262,234.63, 465.1416
976017,0.2119,0.005102,195.99, 465.1410
976018,0.2158,0.003652,273.86, 465.1416
976019,0.2202,0.004209,237.56, 465.1416
976020,0.2241,0.004146,241.18, 465.1416
976021,0.2290,0.004829,207.10, 465.1410
976022,0.2324,0.003589,278.64, 465.1413
976023,0.2368,0.004251,235.26, 465.1416
976024,0.2412,0.004209,237.57, 465.1416
976025,0.2451,0.004070,245.71, 465.1413
976026,0.2495,0.004377,228.47, 465.1416
976027,0.2539,0.004217,237.11, 465.1416
976028,0.2578,0.003937,254.01, 465.1413
976029,0.2622,0.004500,222.23, 465.1413
976030,0.2661,0.004174,239.61, 465.1413
976031,0.2705,0.004208,237.65, 465.1413
976032,0.2744,0.003838,260.57, 465.1410
976033,0.2788,0.004690,213.24, 465.1416
976034,0.2832,0.004179,239.30, 465.1410
976035,0.2871,0.003880,257.77, 465.1416
976036,0.2915,0.004518,221.33, 465.1413
976037,0.2959,0.004182,239.15, 465.1416
976038,0.2998,0.004059,246.35, 465.1416
976039,0.3042,0.004301,232.50, 465.1416
976040,0.3086,0.004199,238.16, 465.1416
976041,0.3125,0.004011,249.35, 465.1416
976042,0.3169,0.004465,223.98, 465.1416
976043,0.3208,0.004136,241.77, 465.1618
976044,0.3252,0.004346,230.10, 465.1416
976045,0.3291,0.003961,252.46, 465.1416
976046,0.3335,0.004320,231.46, 465.1410
976047,0.3379,0.004336,230.65, 465.1416
976048,0.3418,0.003781,264.48, 465.1416
976049,0.3462,0.004449,224.79, 465.1413
976050,0.3506,0.004208,237.64, 465.1416
976051,0.3540,0.003827,261.30, 465.1416
976052,0.3589,0.004448,224.81, 465.1416
976053,0.3628,0.004384,228.12, 465.1413
976054,0.3672,0.004063,246.13, 465.1416
976055,0.3716,0.004354,229.68, 465.1416
976056,0.3755,0.004200,238.09, 465.1413
976057,0.3799,0.004102,243.76, 465.1416
976058,0.3838,0.004123,242.57, 465.1413
976059,0.3882,0.004437,225.37, 465.1410
976060,0.3926,0.004266,234.43, 465.1416
976061,0.3965,0.003921,255.01, 465.1416
976062,0.4014,0.004679,213.71, 465.1413
976063,0.4048,0.003830,261.11, 465.1416
976064,0.4092,0.004136,241.78, 465.1416
976065,0.4136,0.004566,219.01, 465.1410
976066,0.4180,0.004386,228.01, 465.1410
976067,0.4214,0.003419,292.50, 465.1416
976068,0.4263,0.004838,206.70, 465.1410
976069,0.4312,0.004662,214.50, 465.1410
976070,0.4355,0.004298,232.66, 465.1416
976071,0.4395,0.004152,240.87, 465.1416
976072,0.4438,0.004521,221.20, 465.1413
976073,0.4487,0.004789,208.80, 465.1416
976074,0.4526,0.004066,245.92, 465.1416
976075,0.4570,0.003997,250.22, 465.1416
976076,0.4614,0.004375,228.56, 465.1416
976077,0.4653,0.004278,233.77, 465.1416
976078,0.4697,0.004061,246.23, 465.1416
976079,0.4736,0.004129,242.20, 465.1413
976080,0.4780,0.004301,232.48, 465.1416
976081,0.4819,0.003887,257.29, 465.1416
976082,0.4863,0.004374,228.62, 465.1413
976083,0.4902,0.004166,240.06, 465.1416
976084,0.4946,0.004014,249.10, 465.1413
976085,0.4990,0.004639,215.59, 465.1416
976086,0.5034,0.004247,235.47, 465.1416
976087,0.5078,0.004398,227.39, 465.1416
976088,0.5117,0.004051,246.84, 465.1413
976089,0.5166,0.004942,202.33, 465.1416
976090,0.5205,0.003840,260.40, 465.1416
976091,0.5244,0.003756,266.23, 465.1416
976092,0.5288,0.004274,233.98, 465.1416
976093,0.5332,0.004517,221.37, 465.1416
976094,0.5371,0.003942,253.66, 465.1425
976095,0.5415,0.004264,234.51, 465.1416
976096,0.5459,0.004364,229.14, 465.1416
976097,0.5498,0.004086,244.76, 465.1416
976098,0.5537,0.004076,245.34, 465.1416
976099,0.5581,0.004299,232.64, 465.1416
976100,0.5625,0.004396,227.48, 465.1416
976101,0.5664,0.003969,251.94, 465.1413
976102,0.5708,0.004282,233.55, 465.1413
976103,0.5752,0.004241,235.81, 465.1416
976104,0.5791,0.004195,238.36, 465.1413
976105,0.5835,0.004105,243.62, 465.1416
976106,0.5874,0.004215,237.26, 465.1416
976107,0.5913,0.004023,248.59, 465.1413
976108,0.5957,0.004250,235.32, 465.1416
976109,0.6001,0.004283,233.50, 465.1416
976110,0.6045,0.004401,227.22, 465.1416
976111,0.6084,0.003851,259.69, 465.1416
976112,0.6128,0.004287,233.26, 465.1416
976113,0.6172,0.004349,229.94, 465.1416
976114,0.6211,0.003985,250.93, 465.1416
976115,0.6250,0.004195,238.39, 465.1410
976116,0.6294,0.004341,230.36, 465.1416
976117,0.6338,0.004281,233.57, 465.1416
976118,0.6377,0.003972,251.77, 465.1413
976119,0.6421,0.004203,237.95, 465.1416
976120,0.6460,0.004160,240.37, 465.1410
976121,0.6509,0.004580,218.33, 465.1413
976122,0.6548,0.004164,240.18, 465.1416
976123,0.6587,0.003812,262.30, 465.1416
976124,0.6631,0.004425,225.97, 465.1416
976125,0.6675,0.004289,233.16, 465.1416
976126,0.6714,0.003867,258.63, 465.1416
976127,0.6758,0.004460,224.20, 465.1416
976128,0.6802,0.004483,223.08, 465.1410
976129,0.6846,0.004415,226.50, 465.1416
976130,0.6885,0.003958,252.65, 465.1410
976131,0.6924,0.004006,249.64, 465.1410
976132,0.6968,0.004393,227.65, 465.1416
976133,0.7007,0.003572,279.93, 465.1413
976134,0.7051,0.004647,215.21, 465.1413
976135,0.7095,0.004381,228.24, 465.1413
976136,0.7134,0.004015,249.04, 465.1416
976137,0.7178,0.004159,240.47, 465.1413
976138,0.7222,0.004455,224.47, 465.1413
976139,0.7266,0.004461,224.18, 465.1416
976140,0.7305,0.003935,254.15, 465.1416
976141,0.7349,0.004469,223.78, 465.1410
976142,0.7388,0.003947,253.39, 465.1410
976143,0.7432,0.004131,242.05, 465.1416
976144,0.7480,0.004775,209.44, 465.1413
976145,0.7520,0.004258,234.87, 465.1416
976146,0.7563,0.004194,238.44, 465.1410
976147,0.7603,0.004020,248.76, 465.1416
976148,0.7646,0.004327,231.12, 465.1413
976149,0.7690,0.004345,230.17, 465.1416
976150,0.7729,0.004058,246.45, 465.1416
976151,0.7773,0.004213,237.37, 465.1416
976152,0.7822,0.004829,207.09, 465.1416
976153,0.7866,0.004238,235.97, 465.1413
976154,0.7905,0.004065,246.01, 465.1416
976155,0.7959,0.005303,188.57, 465.1413
976156,0.7998,0.003848,259.85, 465.1413
976157,0.8037,0.004158,240.52, 465.1410
976158,0.8081,0.004577,218.51, 465.1410
976159,0.8125,0.004228,236.54, 465.1416
