TotalFrame,Time,DeltaTime,FPS,RAM
382350,0.0000,0.015365,65.08, 432.7672
382351,0.0000,0.015365,65.08, 461.1879
382352,0.0200,0.020000,50.00, 454.2313
382353,0.0327,0.012748,78.44, 453.1080
382354,0.0437,0.011069,90.34, 453.1703
382355,0.0544,0.010655,93.85, 453.4196
382356,0.0647,0.010398,96.17, 453.0455
382357,0.0752,0.010428,95.90, 453.1702
382358,0.0857,0.010359,96.53, 453.6691
382359,0.0964,0.010806,92.54, 452.0478
382360,0.1067,0.010175,98.28, 453.2326
382361,0.1172,0.010553,94.76, 453.1078
382362,0.1277,0.010551,94.78, 452.9824
382363,0.1379,0.010302,97.06, 452.7284
382364,0.1484,0.010423,95.94, 453.5390
382365,0.1592,0.010803,92.57, 453.1025
382366,0.1694,0.010150,98.53, 452.8531
382367,0.1799,0.010676,93.67, 452.9778
382368,0.1907,0.010565,94.66, 453.3519
382369,0.2009,0.010347,96.65, 453.3519
382370,0.2112,0.010334,96.77, 452.6660
382371,0.2217,0.010343,96.68, 453.7884
382372,0.2324,0.010846,92.20, 453.0401
382373,0.2429,0.010435,95.83, 455.0980
382374,0.2537,0.010793,92.66, 453.9755
382375,0.2644,0.010818,92.44, 453.1025
382376,0.2749,0.010442,95.76, 453.3519
382377,0.2854,0.010419,95.98, 453.7261
382378,0.2959,0.010600,94.34, 453.6013
382379,0.3064,0.010500,95.23, 453.7261
382380,0.3174,0.010878,91.93, 452.9154
382381,0.3276,0.010383,96.31, 453.2896
382382,0.3384,0.010595,94.38, 452.6036
382383,0.3486,0.010331,96.79, 453.1025
382384,0.3594,0.010603,94.31, 452.9154
382385,0.3694,0.010220,97.85, 452.5413
382386,0.3799,0.010418,95.98, 453.2272
382387,0.3904,0.010449,95.70, 453.6013
382388,0.4014,0.011024,90.72, 453.1649
382389,0.4141,0.012704,78.71, 455.3474
382390,0.4258,0.011627,86.01, 453.4143
382391,0.4373,0.011504,86.92, 453.2896
382392,0.4475,0.010358,96.55, 453.0401
382393,0.4580,0.010472,95.49, 453.4767
382394,0.4685,0.010486,95.37, 453.0401
382395,0.4788,0.010337,96.74, 453.1649
382396,0.4893,0.010428,95.90, 453.0401
382397,0.4998,0.010572,94.59, 453.4143
382398,0.5105,0.010578,94.54, 452.9778
382399,0.5208,0.010363,96.50, 452.8531
382400,0.5313,0.010456,95.64, 453.2272
382401,0.5417,0.010460,95.61, 453.3519
382402,0.5520,0.010370,96.43, 452.9154
382403,0.5630,0.010776,92.80, 451.8553
382404,0.5730,0.010165,98.38, 453.1649
382405,0.5835,0.010498,95.26, 453.1025
382406,0.5940,0.010337,96.74, 453.8508
382407,0.6045,0.010530,94.96, 455.3474
382408,0.6152,0.010810,92.51, 452.7907
382409,0.6257,0.010450,95.69, 452.6036
382410,0.6360,0.010273,97.34, 452.7907
382411,0.6465,0.010474,95.47, 453.1649
382412,0.6567,0.010397,96.18, 453.2896
382413,0.6672,0.010358,96.55, 453.7261
382414,0.6777,0.010679,93.64, 453.2272
382415,0.6882,0.010420,95.97, 453.1649
382416,0.6987,0.010571,94.60, 453.6013
382417,0.7095,0.010687,93.57, 452.8531
382418,0.7200,0.010334,96.77, 454.9732
382419,0.7305,0.010602,94.32, 453.1649
382420,0.7410,0.010413,96.04, 452.9154
382421,0.7512,0.010439,95.80, 452.8531
382422,0.7620,0.010536,94.91, 453.2272
382423,0.7722,0.010432,95.86, 453.0401
382424,0.7827,0.010419,95.98, 452.6660
382425,0.7935,0.010776,92.80, 454.0379
382426,0.8047,0.011318,88.36, 452.7284
382427,0.8159,0.011155,89.65, 451.7930
382428,0.8267,0.010626,94.11, 452.6660
382429,0.8369,0.010378,96.36, 453.0401
382430,0.8474,0.010417,96.00, 453.1025
382431,0.8579,0.010572,94.59, 453.6013
382432,0.8684,0.010363,96.49, 454.4120
382433,0.8789,0.010632,94.05, 453.1025
382434,0.8894,0.010385,96.29, 453.2272
382435,0.8999,0.010611,94.24, 453.0401
382436,0.9102,0.010261,97.46, 454.0379
382437,0.9209,0.010799,92.60, 453.1649
382438,0.9314,0.010523,95.03, 453.1649
382439,0.9421,0.010534,94.93, 453.6013
382440,0.9526,0.010610,94.25, 452.9778
382441,0.9631,0.010556,94.73, 453.1649
382442,0.9734,0.010205,97.99, 453.2896
382443,0.9841,0.010635,94.03, 452.6660
382444,0.9946,0.010495,95.29, 453.3519
382445,1.0049,0.010397,96.19, 453.2272
382446,1.0154,0.010529,94.98, 453.0401
382447,1.0261,0.010542,94.86, 452.7907
382448,1.0364,0.010399,96.16, 452.8531
382449,1.0469,0.010354,96.58, 453.2272
382450,1.0571,0.010477,95.45, 453.0401
382451,1.0676,0.010355,96.57, 452.9778
382452,1.0781,0.010513,95.12, 453.3519
382453,1.0886,0.010412,96.05, 453.6013
382454,1.0989,0.010463,95.57, 454.4120
382455,1.1096,0.010670,93.72, 453.2896
382456,1.1201,0.010451,95.69, 453.5390
382457,1.1309,0.010639,93.99, 452.9778
382458,1.1409,0.010198,98.06, 452.7907
382459,1.1514,0.010405,96.10, 452.9154
382460,1.1619,0.010620,94.16, 453.1649
382461,1.1724,0.010457,95.63, 452.7907
382462,1.1829,0.010398,96.17, 453.4143
382463,1.1934,0.010586,94.47, 453.3519
382464,1.2039,0.010445,95.74, 454.1626
382465,1.2148,0.010894,91.80, 452.9154
382466,1.2251,0.010387,96.28, 452.8531
382467,1.2356,0.010495,95.28, 452.9778
382468,1.2461,0.010580,94.52, 453.1649
382469,1.2566,0.010344,96.67, 452.7907
382470,1.2668,0.010394,96.21, 452.7284
382471,1.2773,0.010407,96.09, 453.4767
382472,1.2878,0.010590,94.43, 453.1649
382473,1.2983,0.010414,96.03, 452.9778
382474,1.3088,0.010367,96.46, 453.3519
382475,1.3191,0.010359,96.53, 453.3519
382476,1.3296,0.010490,95.33, 452.7907
382477,1.3398,0.010389,96.25, 452.9778
382478,1.3503,0.010449,95.70, 453.1649
382479,1.3608,0.010466,95.55, 453.2896
382480,1.3711,0.010284,97.24, 452.9154
382481,1.3816,0.010351,96.61, 453.1649
382482,1.3921,0.010524,95.02, 452.9778
382483,1.4026,0.010488,95.35, 453.6013
382484,1.4136,0.011032,90.65, 453.0401
382485,1.4270,0.013505,74.05, 452.7907
382486,1.4382,0.011081,90.24, 452.9778
382487,1.4495,0.011421,87.56, 453.1649
382488,1.4602,0.010572,94.59, 453.1649
382489,1.4709,0.010693,93.52, 453.1649
382490,1.4812,0.010349,96.63, 452.8531
382491,1.4917,0.010524,95.02, 453.4143
382492,1.5024,0.010645,93.94, 453.4143
382493,1.5129,0.010671,93.71, 453.5390
382494,1.5234,0.010504,95.20, 453.1025
382495,1.5342,0.010541,94.87, 453.7261
382496,1.5447,0.010701,93.45, 453.3519
382497,1.5554,0.010765,92.90, 453.3519
382498,1.5659,0.010366,96.47, 452.5413
382499,1.5762,0.010336,96.75, 453.1649
382500,1.5867,0.010479,95.43, 453.3519
382501,1.5972,0.010531,94.96, 452.8531
382502,1.6077,0.010382,96.32, 453.0401
382503,1.6182,0.010563,94.67, 452.9778
382504,1.6292,0.010895,91.78, 451.6059
382505,1.6392,0.010169,98.34, 452.6036
382506,1.6494,0.010268,97.39, 453.4143
382507,1.6599,0.010371,96.43, 452.9154
382508,1.6704,0.010416,96.00, 453.2272
382509,1.6809,0.010496,95.28, 453.5390
382510,1.6912,0.010456,95.64, 453.1649
382511,1.7017,0.010467,95.54, 453.4767
382512,1.7122,0.010352,96.60, 453.0401
382513,1.7224,0.010416,96.01, 454.1002
382514,1.7332,0.010650,93.90, 452.7284
382515,1.7434,0.010283,97.25, 452.9154
382516,1.7539,0.010364,96.49, 453.1025
382517,1.7644,0.010616,94.20, 453.5390
382518,1.7749,0.010605,94.29, 452.9154
382519,1.7854,0.010379,96.35, 452.5413
382520,1.7964,0.010923,91.55, 453.3519
382521,1.8066,0.010409,96.08, 453.4143
382522,1.8174,0.010543,94.85, 453.1649
382523,1.8279,0.010577,94.55, 452.9778
382524,1.8384,0.010509,95.16, 452.8531
382525,1.8486,0.010386,96.29, 453.2896
382526,1.8591,0.010406,96.10, 453.4143
382527,1.8694,0.010189,98.14, 454.4120
382528,1.8804,0.011048,90.51, 452.9154
382529,1.8906,0.010341,96.70, 453.0401
382530,1.9009,0.010266,97.41, 453.1025
382531,1.9114,0.010503,95.21, 453.1649
382532,1.9219,0.010395,96.20, 454.3497
382533,1.9329,0.010989,91.00, 453.0401
382534,1.9431,0.010313,96.97, 453.2272
382535,1.9536,0.010319,96.91, 455.8031
382536,1.9644,0.010888,91.85, 452.9154
382537,1.9749,0.010455,95.65, 453.1025
382538,1.9851,0.010383,96.31, 453.0401
382539,1.9959,0.010584,94.48, 454.1002
382540,2.0063,0.010563,94.67, 452.9778
382541,2.0168,0.010464,95.56, 453.2272
382542,2.0273,0.010497,95.27, 453.1649
382543,2.0381,0.010661,93.80, 453.0401
382544,2.0483,0.010302,97.06, 454.4120
382545,2.0591,0.010802,92.58, 453.0401
382546,2.0696,0.010431,95.87, 453.9131
382547,2.0806,0.010921,91.57, 453.2896
382548,2.0911,0.010546,94.83, 453.0401
382549,2.1016,0.010587,94.45, 453.1649
382550,2.1123,0.010647,93.92, 453.0401
382551,2.1228,0.010503,95.21, 454.4120
382552,2.1340,0.011374,87.92, 453.5390
382553,2.1448,0.010611,94.24, 454.0379
382554,2.1560,0.011193,89.35, 451.4812
382555,2.1665,0.010570,94.61, 452.8531
382556,2.1770,0.010545,94.83, 453.1649
382557,2.1880,0.010921,91.57, 452.3542
382558,2.1987,0.010819,92.43, 453.0401
382559,2.2092,0.010387,96.27, 452.9778
382560,2.2195,0.010405,96.11, 453.9755
382561,2.2305,0.010893,91.80, 453.7884
382562,2.2410,0.010439,95.80, 452.5413
382563,2.2512,0.010325,96.86, 453.1649
382564,2.2620,0.010693,93.52, 453.2272
382565,2.2722,0.010391,96.24, 453.9131
382566,2.2830,0.010600,94.34, 453.1025
382567,2.2932,0.010215,97.90, 454.9732
382568,2.3037,0.010707,93.39, 453.6637
382569,2.3142,0.010426,95.91, 453.2896
382570,2.3250,0.010586,94.47, 453.4767
382571,2.3354,0.010688,93.57, 453.1025
382572,2.3459,0.010508,95.17, 452.9778
382573,2.3564,0.010436,95.82, 453.4767
382574,2.3669,0.010534,94.93, 452.6660
382575,2.3774,0.010456,95.64, 453.0401
382576,2.3877,0.010281,97.26, 453.1025
382577,2.3982,0.010480,95.42, 453.4143
382578,2.4087,0.010358,96.54, 453.1649
382579,2.4194,0.010904,91.71, 453.7261
382580,2.4304,0.010933,91.47, 453.1025
382581,2.4412,0.010822,92.40, 452.4789
382582,2.4521,0.010824,92.39, 453.1025
382583,2.4634,0.011369,87.96, 453.8508
382584,2.4746,0.011069,90.34, 452.7284
382585,2.4849,0.010418,95.99, 453.0401
382586,2.4954,0.010529,94.97, 453.0401
382587,2.5059,0.010508,95.17, 453.2272
382588,2.5166,0.010678,93.65, 452.7284
382589,2.5271,0.010432,95.86, 453.1025
382590,2.5376,0.010456,95.64, 452.7284
382591,2.5479,0.010341,96.70, 453.1025
382592,2.5584,0.010564,94.66, 453.1649
382593,2.5688,0.010342,96.70, 453.2272
382594,2.5793,0.010556,94.73, 453.6013
382595,2.5898,0.010540,94.88, 452.6660
382596,2.6001,0.010344,96.68, 453.3519
382597,2.6106,0.010414,96.03, 453.4143
382598,2.6211,0.010448,95.71, 453.3519
382599,2.6316,0.010581,94.51, 453.1025
382600,2.6421,0.010447,95.72, 452.9154
382601,2.6526,0.010380,96.34, 452.9154
382602,2.6628,0.010481,95.41, 453.6013
382603,2.6733,0.010491,95.32, 452.7284
382604,2.6838,0.010406,96.10, 453.4767
382605,2.6946,0.010688,93.56, 452.8531
382606,2.7048,0.010282,97.26, 454.1626
382607,2.7156,0.010691,93.54, 453.3519
382608,2.7258,0.010440,95.78, 453.2896
382609,2.7366,0.010621,94.16, 453.1025
382610,2.7471,0.010461,95.60, 452.8531
382611,2.7573,0.010308,97.01, 453.9755
382612,2.7678,0.010589,94.44, 453.3519
382613,2.7786,0.010629,94.08, 453.6013
382614,2.7896,0.010935,91.45, 453.1025
382615,2.7998,0.010383,96.31, 453.4143
382616,2.8103,0.010527,95.00, 453.1649
382617,2.8208,0.010415,96.01, 454.0379
382618,2.8313,0.010509,95.16, 452.6036
382619,2.8418,0.010370,96.43, 453.4143
382620,2.8521,0.010466,95.55, 452.7284
382621,2.8625,0.010503,95.21, 453.1649
382622,2.8730,0.010458,95.62, 453.1649
382623,2.8835,0.010540,94.88, 452.9778
382624,2.8940,0.010417,96.00, 453.2272
382625,2.9048,0.010616,94.20, 453.4767
382626,2.9150,0.010421,95.96, 453.3519
382627,2.9255,0.010506,95.18, 453.9131
382628,2.9363,0.010666,93.75, 453.2896
382629,2.9468,0.010392,96.23, 453.4143
382630,2.9573,0.010535,94.92, 452.9778
382631,2.9675,0.010331,96.80, 453.1025
382632,2.9780,0.010526,95.00, 453.5390
382633,2.9888,0.010725,93.24, 452.6660
382634,2.9990,0.010296,97.13, 453.7884
382635,3.0098,0.010790,92.68, 453.0401
382636,3.0203,0.010455,95.65, 453.2272
382637,3.0308,0.010388,96.26, 453.5390
382638,3.0413,0.010522,95.04, 452.9154
382639,3.0518,0.010556,94.74, 453.6013
382640,3.0623,0.010498,95.26, 453.3519
382641,3.0728,0.010526,95.00, 451.6683
382642,3.0828,0.010020,99.80, 453.8508
382643,3.0938,0.010808,92.52, 452.8531
382644,3.1042,0.010505,95.19, 453.4767
382645,3.1147,0.010538,94.90, 453.1025
382646,3.1252,0.010478,95.44, 453.1025
382647,3.1357,0.010503,95.21, 453.7884
382648,3.1467,0.010948,91.34, 453.1649
382649,3.1572,0.010589,94.44, 453.2272
382650,3.1677,0.010421,95.96, 452.9778
382651,3.1780,0.010352,96.60, 453.2896
382652,3.1885,0.010577,94.55, 453.4767
382653,3.1992,0.010545,94.83, 453.4767
382654,3.2100,0.010826,92.37, 453.2896
382655,3.2205,0.010461,95.60, 453.0401
382656,3.2312,0.010892,91.81, 453.1025
382657,3.2417,0.010326,96.84, 453.4767
382658,3.2522,0.010620,94.16, 453.1025
382659,3.2627,0.010432,95.86, 453.3519
382660,3.2732,0.010430,95.88, 452.4166
382661,3.2834,0.010312,96.97, 453.2272
382662,3.2937,0.010414,96.02, 453.1649
382663,3.3042,0.010340,96.71, 452.9154
382664,3.3145,0.010401,96.14, 453.7261
382665,3.3252,0.010561,94.69, 453.3519
382666,3.3352,0.010191,98.12, 453.0401
382667,3.3459,0.010527,94.99, 453.2896
382668,3.3564,0.010566,94.65, 453.6013
382669,3.3672,0.010666,93.75, 453.2272
382670,3.3774,0.010368,96.45, 452.7284
382671,3.3879,0.010519,95.06, 453.1649
382672,3.3984,0.010469,95.52, 453.2272
382673,3.4087,0.010380,96.34, 453.2896
382674,3.4192,0.010377,96.36, 452.9778
382675,3.4299,0.010721,93.28, 453.3519
382676,3.4407,0.010821,92.42, 453.2272
382677,3.4517,0.010877,91.94, 453.2896
382678,3.4624,0.010753,93.00, 452.9154
382679,3.4736,0.011349,88.12, 453.0401
382680,3.4844,0.010674,93.68, 452.9778
382681,3.4949,0.010528,94.99, 452.9778
382682,3.5051,0.010247,97.59, 452.7284
382683,3.5159,0.010648,93.91, 453.2896
382684,3.5261,0.010400,96.16, 453.2896
382685,3.5366,0.010527,95.00, 453.4143
382686,3.5471,0.010373,96.40, 453.2272
382687,3.5576,0.010455,95.65, 454.4744
382688,3.5684,0.010742,93.10, 453.0401
382689,3.5786,0.010280,97.28, 452.8531
382690,3.5891,0.010425,95.92, 452.6660
382691,3.5994,0.010333,96.78, 453.2272
382692,3.6096,0.010400,96.15, 453.0401
382693,3.6201,0.010425,95.93, 453.4143
382694,3.6309,0.010753,93.00, 453.9131
382695,3.6416,0.010768,92.87, 453.1025
382696,3.6521,0.010519,95.07, 453.4143
382697,3.6626,0.010483,95.40, 454.1002
382698,3.6736,0.010789,92.68, 453.1025
382699,3.6838,0.010457,95.63, 453.2896
382700,3.6946,0.010640,93.99, 453.1025
382701,3.7048,0.010261,97.45, 452.9778
382702,3.7151,0.010340,96.71, 453.0401
382703,3.7258,0.010573,94.58, 453.2272
382704,3.7361,0.010384,96.30, 452.7907
382705,3.7466,0.010463,95.57, 453.1025
382706,3.7571,0.010467,95.54, 453.5390
382707,3.7676,0.010635,94.03, 453.5390
382708,3.7781,0.010420,95.97, 453.2896
382709,3.7891,0.010825,92.38, 453.5390
382710,3.7998,0.010833,92.31, 452.9778
382711,3.8103,0.010598,94.36, 452.6660
382712,3.8208,0.010362,96.51, 453.1025
382713,3.8311,0.010442,95.77, 454.4744
382714,3.8418,0.010571,94.60, 453.5390
382715,3.8521,0.010332,96.78, 453.1649
382716,3.8628,0.010643,93.96, 453.4143
382717,3.8730,0.010437,95.81, 452.9778
382718,3.8835,0.010443,95.76, 453.1649
382719,3.8940,0.010374,96.40, 453.2272
382720,3.9045,0.010611,94.24, 452.6036
382721,3.9150,0.010404,96.11, 453.0401
382722,3.9255,0.010424,95.93, 453.2272
382723,3.9358,0.010474,95.47, 452.6660
382724,3.9463,0.010491,95.32, 452.9154
382725,3.9570,0.010615,94.21, 453.6637
382726,3.9675,0.010523,95.03, 453.1649
382727,3.9780,0.010495,95.29, 453.2896
382728,3.9885,0.010463,95.58, 453.2272
382729,3.9990,0.010608,94.27, 453.0401
382730,4.0093,0.010195,98.08, 453.2896
382731,4.0198,0.010469,95.52, 453.2272
382732,4.0303,0.010519,95.06, 453.2272
382733,4.0408,0.010446,95.73, 452.9778
382734,4.0510,0.010329,96.82, 452.8531
382735,4.0615,0.010518,95.08, 453.4143
382736,4.0720,0.010409,96.07, 452.9778
382737,4.0823,0.010378,96.36, 453.4767
382738,4.0930,0.010661,93.80, 451.7930
382739,4.1033,0.010361,96.52, 453.2272
382740,4.1140,0.010622,94.14, 453.0401
382741,4.1243,0.010242,97.63, 454.2249
382742,4.1350,0.010671,93.72, 454.1002
382743,4.1455,0.010568,94.62, 452.9154
382744,4.1558,0.010391,96.23, 453.3519
382745,4.1665,0.010650,93.90, 453.1649
382746,4.1770,0.010405,96.10, 453.6013
382747,4.1875,0.010468,95.53, 453.3519
382748,4.1978,0.010454,95.66, 453.5390
382749,4.2083,0.010428,95.90, 452.9778
382750,4.2188,0.010374,96.40, 453.2896
382751,4.2292,0.010501,95.23, 452.9778
382752,4.2395,0.010453,95.67, 452.9778
382753,4.2500,0.010452,95.68, 452.7907
382754,4.2607,0.010587,94.45, 452.9154
382755,4.2708,0.010153,98.50, 453.0401
382756,4.2815,0.010610,94.25, 453.1025
382757,4.2920,0.010481,95.41, 453.5390
382758,4.3025,0.010562,94.68, 453.1025
382759,4.3130,0.010437,95.81, 454.2249
382760,4.3237,0.010917,91.60, 452.8531
382761,4.3342,0.010379,96.35, 453.0401
382762,4.3445,0.010282,97.26, 452.9154
382763,4.3547,0.010253,97.53, 453.1025
382764,4.3652,0.010556,94.73, 453.2272
382765,4.3757,0.010392,96.23, 453.1649
382766,4.3860,0.010444,95.75, 453.1649
382767,4.3965,0.010456,95.64, 453.5390
382768,4.4072,0.010606,94.29, 452.7907
382769,4.4175,0.010366,96.47, 453.6637
382770,4.4280,0.010391,96.24, 452.7284
382771,4.4382,0.010396,96.19, 453.4143
382772,4.4495,0.011080,90.25, 453.6013
382773,4.4600,0.010553,94.76, 453.4143
382774,4.4705,0.010622,94.14, 453.0401
382775,4.4812,0.010732,93.18, 452.9778
382776,4.4924,0.011145,89.73, 453.1649
382777,4.5039,0.011433,87.47, 453.4143
382778,4.5144,0.010523,95.03, 453.2896
382779,4.5249,0.010465,95.55, 452.9778
382780,4.5354,0.010547,94.82, 452.6036
382781,4.5459,0.010418,95.99, 453.2272
382782,4.5564,0.010648,93.92, 452.8531
382783,4.5671,0.010580,94.52, 452.5413
382784,4.5774,0.010451,95.68, 453.4767
382785,4.5881,0.010575,94.56, 452.9154
382786,4.5984,0.010369,96.44, 453.2272
382787,4.6091,0.010576,94.56, 452.6660
382788,4.6196,0.010590,94.43, 453.3519
382789,4.6301,0.010440,95.78, 453.2896
382790,4.6406,0.010473,95.49, 452.6660
382791,4.6509,0.010350,96.62, 452.9778
382792,4.6616,0.010664,93.77, 452.7907
382793,4.6719,0.010241,97.64, 452.9154
382794,4.6821,0.010404,96.12, 453.4767
382795,4.6929,0.010616,94.20, 453.9131
382796,4.7036,0.010687,93.57, 454.2873
382797,4.7144,0.010839,92.26, 453.3519
382798,4.7249,0.010520,95.06, 452.8531
382799,4.7351,0.010189,98.15, 453.6637
382800,4.7456,0.010653,93.87, 452.6036
382801,4.7561,0.010389,96.25, 452.8531
382802,4.7666,0.010520,95.06, 453.2272
382803,4.7769,0.010338,96.73, 453.0401
382804,4.7876,0.010548,94.81, 453.1649
382805,4.7981,0.010642,93.97, 452.6660
382806,4.8086,0.010430,95.88, 453.1025
382807,4.8193,0.010672,93.71, 453.2272
382808,4.8296,0.010432,95.86, 454.2873
382809,4.8406,0.010870,92.00, 453.7884
382810,4.8513,0.010840,92.25, 453.0401
382811,4.8618,0.010543,94.85, 452.9778
382812,4.8721,0.010243,97.62, 452.9154
382813,4.8826,0.010332,96.78, 455.3474
382814,4.8933,0.010788,92.70, 453.0401
382815,4.9036,0.010274,97.33, 453.4143
382816,4.9141,0.010614,94.22, 453.5390
382817,4.9248,0.010590,94.43, 453.1649
382818,4.9351,0.010354,96.58, 453.1649
382819,4.9456,0.010508,95.17, 452.5413
382820,4.9561,0.010392,96.23, 452.6036
382821,4.9663,0.010410,96.06, 453.8508
382822,4.9771,0.010674,93.69, 453.1649
382823,4.9875,0.010385,96.29, 453.2272
382824,4.9983,0.010721,93.28, 453.4143
382825,5.0085,0.010403,96.12, 453.4143
382826,5.0190,0.010487,95.36, 453.2272
382827,5.0295,0.010529,94.97, 453.4767
382828,5.0403,0.010592,94.41, 452.9778
382829,5.0508,0.010456,95.64, 453.3519
382830,5.0613,0.010553,94.76, 453.0401
382831,5.0715,0.010292,97.17, 452.8531
382832,5.0818,0.010351,96.61, 453.4767
382833,5.0925,0.010629,94.08, 453.2272
382834,5.1028,0.010250,97.56, 453.1025
382835,5.1133,0.010599,94.35, 453.9131
382836,5.1238,0.010529,94.98, 453.6637
382837,5.1343,0.010370,96.43, 452.7284
382838,5.1445,0.010331,96.79, 452.9778
382839,5.1550,0.010419,95.98, 454.5367
382840,5.1660,0.010942,91.39, 453.1649
382841,5.1768,0.010895,91.79, 450.6082
382842,5.1868,0.010015,99.85, 453.0401
382843,5.1975,0.010565,94.65, 453.0401
382844,5.2078,0.010310,97.00, 453.2896
382845,5.2183,0.010501,95.23, 453.1649
382846,5.2288,0.010453,95.67, 453.1649
382847,5.2393,0.010512,95.13, 453.2272
382848,5.2495,0.010417,96.00, 453.1649
382849,5.2600,0.010472,95.49, 452.7907
382850,5.2705,0.010369,96.44, 452.4166
382851,5.2810,0.010490,95.33, 453.1649
382852,5.2915,0.010489,95.34, 452.8531
382853,5.3018,0.010267,97.40, 453.0401
382854,5.3120,0.010445,95.74, 453.7884
382855,5.3228,0.010710,93.37, 453.1649
382856,5.3333,0.010512,95.13, 452.7907
382857,5.3438,0.010423,95.95, 453.6013
382858,5.3542,0.010482,95.40, 452.6660
382859,5.3645,0.010310,96.99, 453.4767
382860,5.3750,0.010333,96.78, 454.8485
382861,5.3855,0.010637,94.02, 452.7284
382862,5.3960,0.010382,96.32, 452.9154
382863,5.4065,0.010452,95.68, 453.1025
382864,5.4167,0.010313,96.97, 454.4744
382865,5.4275,0.010886,91.86, 453.3519
382866,5.4377,0.010114,98.87, 452.9154
382867,5.4482,0.010598,94.36, 453.3519
382868,5.4592,0.011025,90.70, 453.3519
382869,5.4700,0.010763,92.91, 453.6013
382870,5.4810,0.010831,92.33, 453.9131
382871,5.4922,0.011261,88.81, 452.7907
382872,5.5034,0.011133,89.82, 454.1002
382873,5.5144,0.011078,90.27, 452.6036
382874,5.5249,0.010447,95.72, 453.7884
382875,5.5352,0.010441,95.78, 453.9755
382876,5.5461,0.010938,91.42, 453.0401
382877,5.5566,0.010463,95.57, 453.3519
382878,5.5671,0.010558,94.71, 452.7907
382879,5.5776,0.010522,95.04, 453.2896
382880,5.5884,0.010536,94.91, 452.2295
382881,5.5986,0.010369,96.44, 453.6637
382882,5.6094,0.010631,94.07, 453.2896
382883,5.6196,0.010314,96.96, 453.3519
382884,5.6304,0.010678,93.65, 452.9778
382885,5.6406,0.010342,96.70, 453.5390
382886,5.6511,0.010590,94.43, 453.0401
382887,5.6619,0.010676,93.67, 452.8531
382888,5.6724,0.010515,95.10, 453.4143
382889,5.6831,0.010651,93.89, 453.4143
382890,5.6936,0.010458,95.62, 452.9778
382891,5.7039,0.010297,97.11, 452.9154
382892,5.7141,0.010356,96.56, 453.6013
382893,5.7246,0.010567,94.64, 453.4143
382894,5.7351,0.010396,96.19, 452.9154
382895,5.7456,0.010531,94.96, 453.2272
382896,5.7561,0.010445,95.74, 453.3519
382897,5.7666,0.010484,95.39, 453.1025
382898,5.7769,0.010235,97.71, 453.9131
382899,5.7874,0.010656,93.85, 453.2272
382900,5.7981,0.010691,93.54, 454.2249
382901,5.8086,0.010542,94.86, 453.1649
382902,5.8191,0.010425,95.92, 453.0401
382903,5.8296,0.010538,94.89, 452.7907
382904,5.8398,0.010249,97.57, 453.4767
382905,5.8506,0.010688,93.57, 453.6013
382906,5.8611,0.010449,95.70, 453.7884
382907,5.8718,0.010704,93.42, 453.1025
382908,5.8823,0.010559,94.71, 453.2272
382909,5.8926,0.010336,96.75, 452.9154
382910,5.9031,0.010341,96.70, 452.7907
382911,5.9136,0.010571,94.60, 453.1649
382912,5.9238,0.010381,96.33, 453.0401
382913,5.9343,0.010380,96.34, 454.4120
382914,5.9451,0.010706,93.41, 454.1002
382915,5.9558,0.010781,92.75, 453.3519
382916,5.9663,0.010402,96.13, 453.3519
382917,5.9768,0.010491,95.32, 453.3519
