TotalFrame,Time,DeltaTime,FPS,RAM
83744,0.0000,0.045670,21.90, 411.1495
83745,0.0000,0.045670,21.90, 409.4516
83746,0.0200,0.020000,50.00, 409.2089
83747,0.0599,0.039847,25.10, 409.2080
83748,0.0977,0.037763,26.48, 409.2079
83749,0.1354,0.037682,26.54, 409.2079
83750,0.1726,0.037271,26.83, 409.2079
83751,0.2103,0.037656,26.56, 409.2079
83752,0.2491,0.038851,25.74, 409.2079
83753,0.2866,0.037474,26.69, 409.2079
83754,0.3239,0.037294,26.81, 409.2079
83755,0.3616,0.037677,26.54, 409.2079
83756,0.3992,0.037622,26.58, 409.2071
83757,0.4391,0.039906,25.06, 409.2026
83758,0.4769,0.037855,26.42, 409.2026
83759,0.5155,0.038595,25.91, 409.2025
83760,0.5530,0.037470,26.69, 409.2026
83761,0.5907,0.037639,26.57, 409.2025
83762,0.6281,0.037442,26.71, 409.2026
83763,0.6653,0.037245,26.85, 409.2026
83764,0.7026,0.037291,26.82, 409.2025
83765,0.7401,0.037495,26.67, 409.2026
83766,0.7777,0.037616,26.58, 409.2025
83767,0.8157,0.037984,26.33, 409.2026
83768,0.8566,0.040897,24.45, 409.2025
83769,0.8951,0.038510,25.97, 409.2026
83770,0.9325,0.037403,26.74, 409.2026
83771,0.9700,0.037455,26.70, 409.2026
83772,1.0077,0.037728,26.51, 409.2026
83773,1.0454,0.037693,26.53, 409.2025
83774,1.0831,0.037764,26.48, 409.2026
83775,1.1207,0.037609,26.59, 409.2025
83776,1.1582,0.037446,26.71, 409.2025
83777,1.1971,0.038952,25.67, 409.2026
83778,1.2357,0.038508,25.97, 409.2026
83779,1.2764,0.040629,24.61, 409.2026
83780,1.3140,0.037635,26.57, 409.2026
83781,1.3534,0.039459,25.34, 409.2026
83782,1.3934,0.040068,24.96, 409.2026
83783,1.4293,0.035895,27.86, 409.2026
83784,1.4679,0.038495,25.98, 409.2026
83785,1.5074,0.039517,25.31, 409.2026
83786,1.5491,0.041720,23.97, 409.2026
83787,1.5854,0.036317,27.54, 409.2026
83788,1.6230,0.037592,26.60, 409.2025
83789,1.6613,0.038225,26.16, 409.2026
83790,1.6985,0.037239,26.85, 409.2026
83791,1.7339,0.035402,28.25, 409.2026
83792,1.7710,0.037153,26.92, 409.2026
83793,1.8094,0.038417,26.03, 409.2026
83794,1.8497,0.040260,24.84, 409.2025
83795,1.8879,0.038271,26.13, 409.2026
83796,1.9277,0.039795,25.13, 409.2026
83797,1.9655,0.037661,26.55, 409.2026
83798,2.0029,0.037525,26.65, 409.2026
83799,2.0421,0.039108,25.57, 409.2026
83800,2.0809,0.038833,25.75, 409.2025
83801,2.1183,0.037401,26.74, 409.2026
83802,2.1560,0.037669,26.55, 409.2026
83803,2.1936,0.037623,26.58, 409.2026
83804,2.2314,0.037823,26.44, 409.2026
83805,2.2694,0.037977,26.33, 409.2026
83806,2.3081,0.038648,25.87, 409.2026
83807,2.3458,0.037718,26.51, 409.2026
83808,2.3833,0.037558,26.63, 409.2026
83809,2.4208,0.037390,26.75, 409.2025
