TotalFrame,Time,DeltaTime,FPS,RAM
568706,0.0000,0.015910,62.85, 1293.2060
568707,0.0000,0.015910,62.85, 1293.3440
568708,0.0200,0.020000,50.00, 1293.2290
568709,0.0234,0.003238,308.81, 1293.2310
568710,0.0264,0.003088,323.86, 1293.2310
568711,0.0488,0.022167,45.11, 1293.2310
568712,0.0640,0.015383,65.01, 1293.2310
568713,0.0801,0.015839,63.13, 1293.2310
568714,0.0952,0.015381,65.02, 1293.2310
568715,0.1113,0.016035,62.36, 1293.2310
568716,0.1270,0.015459,64.69, 1293.2310
568717,0.1426,0.015962,62.65, 1293.2310
568718,0.1582,0.015296,65.38, 1293.2300
568719,0.1733,0.015578,64.19, 1293.2250
568720,0.1895,0.015943,62.72, 1293.2250
568721,0.2061,0.016444,60.81, 1293.2250
568722,0.2227,0.016521,60.53, 1293.2260
568723,0.2378,0.015461,64.68, 1293.2260
568724,0.2544,0.016240,61.58, 1293.2250
568725,0.2700,0.016082,62.18, 1293.2260
568726,0.2856,0.015576,64.20, 1293.2250
568727,0.3027,0.016688,59.92, 1293.2250
568728,0.3179,0.015536,64.36, 1293.2250
568729,0.3340,0.015804,63.28, 1293.2250
568730,0.3501,0.016145,61.94, 1293.2250
568731,0.3657,0.015911,62.85, 1293.2330
568732,0.3818,0.015924,62.80, 1293.2250
568733,0.3979,0.016238,61.59, 1293.2260
568734,0.4141,0.015802,63.28, 1293.2250
568735,0.4297,0.015707,63.67, 1293.2280
568736,0.4458,0.016419,60.91, 1293.2260
568737,0.4619,0.015808,63.26, 1293.2250
568738,0.4780,0.016159,61.89, 1293.2250
568739,0.4937,0.015847,63.10, 1293.2250
568740,0.5098,0.015890,62.93, 1293.2250
568741,0.5254,0.015559,64.27, 1293.2260
568742,0.5410,0.015748,63.50, 1293.2250
568743,0.5571,0.016018,62.43, 1293.2250
568744,0.5728,0.015893,62.92, 1293.2250
568745,0.5889,0.016070,62.23, 1293.2260
568746,0.6050,0.015997,62.51, 1293.2260
568747,0.6206,0.015417,64.87, 1293.2260
568748,0.6367,0.016481,60.68, 1293.2250
568749,0.6528,0.015963,62.64, 1293.2260
568750,0.6689,0.015881,62.97, 1293.2260
568751,0.6851,0.016102,62.10, 1293.2250
568752,0.7012,0.016317,61.28, 1293.2260
568753,0.7168,0.015885,62.95, 1293.2250
568754,0.7329,0.016001,62.49, 1293.2250
568755,0.7490,0.015954,62.68, 1293.2250
568756,0.7651,0.016273,61.45, 1293.2260
568757,0.7813,0.015932,62.77, 1293.2260
568758,0.7974,0.015979,62.58, 1293.2250
568759,0.8130,0.016005,62.48, 1293.2260
568760,0.8291,0.015967,62.63, 1293.2260
568761,0.8447,0.015759,63.46, 1293.2250
568762,0.8608,0.016125,62.01, 1293.2260
568763,0.8770,0.015967,62.63, 1293.2250
568764,0.8931,0.016142,61.95, 1293.2250
568765,0.9087,0.015517,64.45, 1293.2260
568766,0.9243,0.015795,63.31, 1293.2250
568767,0.9404,0.016049,62.31, 1293.2250
568768,0.9561,0.015670,63.82, 1293.2260
568769,0.9722,0.015956,62.67, 1293.2260
568770,0.9883,0.016123,62.02, 1293.2260
568771,1.0039,0.015585,64.16, 1293.2250
568772,1.0200,0.015956,62.67, 1293.2250
568773,1.0361,0.016233,61.60, 1293.2260
568774,1.0522,0.016400,60.98, 1293.2250
568775,1.0684,0.015948,62.70, 1293.2260
568776,1.0845,0.016125,62.02, 1293.2250
568777,1.1006,0.016148,61.93, 1293.2260
568778,1.1167,0.016179,61.81, 1293.2250
568779,1.1328,0.015947,62.71, 1293.2260
568780,1.1489,0.016030,62.38, 1293.2250
568781,1.1650,0.016219,61.66, 1293.2260
568782,1.1812,0.016067,62.24, 1293.2260
568783,1.1978,0.016626,60.15, 1293.2250
568784,1.2144,0.016550,60.42, 1293.2250
568785,1.2310,0.016931,59.06, 1293.2260
568786,1.2471,0.015971,62.61, 1293.2250
568787,1.2632,0.016051,62.30, 1293.2260
568788,1.2793,0.015998,62.51, 1293.2260
568789,1.2959,0.016634,60.12, 1293.2250
568790,1.3120,0.016067,62.24, 1293.2260
568791,1.3281,0.016186,61.78, 1293.2260
568792,1.3438,0.015673,63.80, 1293.2250
568793,1.3594,0.015556,64.29, 1293.2260
568794,1.3750,0.015878,62.98, 1293.2260
568795,1.3911,0.015893,62.92, 1293.2260
568796,1.4067,0.015840,63.13, 1293.2250
568797,1.4229,0.015779,63.38, 1293.2250
568798,1.4385,0.015890,62.93, 1293.2260
568799,1.4546,0.015954,62.68, 1293.2250
568800,1.4707,0.015932,62.77, 1293.2260
568801,1.4863,0.015923,62.80, 1293.2250
568802,1.5024,0.015956,62.67, 1293.2350
568803,1.5186,0.016038,62.35, 1293.2250
568804,1.5342,0.015731,63.57, 1293.2260
568805,1.5503,0.016211,61.68, 1293.2260
568806,1.5664,0.015886,62.95, 1293.2260
568807,1.5825,0.016391,61.01, 1293.2250
568808,1.5986,0.015924,62.80, 1293.2260
568809,1.6143,0.015869,63.02, 1293.2250
568810,1.6304,0.015925,62.79, 1293.2250
568811,1.6465,0.016189,61.77, 1293.2250
568812,1.6626,0.015838,63.14, 1293.2250
568813,1.6782,0.015858,63.06, 1293.2250
568814,1.6938,0.015677,63.79, 1293.2260
568815,1.7104,0.016352,61.15, 1293.2250
568816,1.7261,0.015741,63.53, 1293.2260
568817,1.7417,0.015651,63.89, 1293.2250
568818,1.7573,0.015783,63.36, 1293.2250
568819,1.7734,0.016006,62.48, 1293.2260
568820,1.7891,0.015581,64.18, 1293.2250
568821,1.8052,0.016042,62.34, 1293.2260
568822,1.8208,0.015874,62.99, 1293.2250
568823,1.8369,0.015895,62.91, 1293.2260
568824,1.8530,0.016322,61.27, 1293.2250
568825,1.8691,0.015775,63.39, 1293.2260
568826,1.8848,0.015931,62.77, 1293.2260
568827,1.9009,0.016062,62.26, 1293.2260
568828,1.9170,0.016190,61.77, 1293.2250
568829,1.9331,0.015989,62.54, 1293.2260
568830,1.9492,0.016069,62.23, 1293.2260
568831,1.9648,0.015854,63.08, 1293.2250
568832,1.9810,0.015899,62.90, 1293.2250
568833,1.9971,0.016075,62.21, 1293.2250
568834,2.0127,0.015902,62.89, 1293.2250
568835,2.0293,0.016307,61.32, 1293.2250
568836,2.0454,0.016035,62.36, 1293.2250
568837,2.0615,0.016071,62.22, 1293.2260
568838,2.0776,0.016162,61.87, 1293.2250
568839,2.0933,0.015922,62.81, 1293.2250
568840,2.1089,0.015577,64.20, 1293.2260
568841,2.1250,0.016080,62.19, 1293.2260
568842,2.1406,0.015692,63.73, 1293.2250
568843,2.1567,0.016015,62.44, 1293.2250
568844,2.1729,0.016050,62.31, 1293.2260
568845,2.1885,0.015769,63.41, 1293.2260
568846,2.2051,0.016342,61.19, 1293.2250
568847,2.2217,0.016630,60.13, 1293.2260
568848,2.2383,0.016836,59.40, 1293.2250
568849,2.2544,0.016137,61.97, 1293.2260
568850,2.2705,0.015865,63.03, 1293.2260
568851,2.2866,0.016301,61.35, 1293.2260
568852,2.3027,0.016060,62.27, 1293.2250
568853,2.3188,0.016304,61.34, 1293.2260
568854,2.3354,0.016392,61.00, 1293.2260
568855,2.3516,0.015993,62.53, 1293.2250
568856,2.3672,0.015879,62.98, 1293.2260
568857,2.3833,0.016054,62.29, 1293.2250
568858,2.3994,0.016030,62.38, 1293.2250
568859,2.4155,0.016143,61.95, 1293.2260
568860,2.4316,0.016159,61.89, 1293.2250
568861,2.4482,0.016566,60.36, 1293.2250
568862,2.4644,0.015995,62.52, 1293.2250
568863,2.4800,0.015928,62.78, 1293.2250
568864,2.4966,0.016492,60.63, 1293.2260
568865,2.5127,0.016062,62.26, 1293.2250
568866,2.5288,0.015928,62.78, 1293.2250
568867,2.5444,0.015618,64.03, 1293.2260
568868,2.5610,0.016594,60.26, 1293.2250
568869,2.5767,0.015893,62.92, 1293.2250
