TotalFrame,Time,DeltaTime,FPS,RAM
229200,0.0000,0.010443,95.76, 426.9619
229201,0.0000,0.010443,95.76, 437.4976
229202,0.0198,0.020000,50.00, 429.7086
229203,0.0256,0.005746,174.03, 428.8323
229204,0.0313,0.005534,180.72, 430.0818
229205,0.0371,0.006007,166.48, 430.7676
229206,0.0457,0.008554,116.90, 430.1441
229207,0.0535,0.007794,128.30, 429.8947
229208,0.0618,0.008157,122.59, 430.0817
229209,0.0698,0.008040,124.38, 430.8924
229210,0.0774,0.007588,131.79, 429.7699
229211,0.0852,0.007845,127.46, 429.7699
229212,0.0928,0.007515,133.06, 429.7068
229213,0.1006,0.007900,126.59, 430.3881
229214,0.1086,0.008010,124.85, 431.0117
229215,0.1162,0.007527,132.86, 430.6999
229216,0.1245,0.008355,119.69, 430.3881
229217,0.1321,0.007619,131.26, 430.1387
229218,0.1399,0.007712,129.67, 430.3258
229219,0.1477,0.007814,127.98, 430.5752
229220,0.1555,0.007888,126.77, 430.0763
229221,0.1633,0.007832,127.67, 429.8893
229222,0.1709,0.007534,132.73, 430.3258
229223,0.1794,0.008606,116.20, 430.4505
229224,0.1868,0.007293,137.12, 430.0763
229225,0.1946,0.007729,129.38, 430.5128
229226,0.2026,0.008084,123.71, 429.5151
229227,0.2107,0.008022,124.66, 428.3902
229228,0.2180,0.007513,133.11, 429.6398
229229,0.2258,0.007803,128.15, 430.4505
229230,0.2334,0.007582,131.89, 431.1364
229231,0.2415,0.007859,127.25, 430.8870
229232,0.2493,0.007819,127.89, 430.0763
229233,0.2571,0.007911,126.41, 427.7666
229234,0.2649,0.007704,129.80, 430.5752
229235,0.2727,0.007936,126.01, 430.2634
229236,0.2803,0.007616,131.30, 430.8246
229237,0.2886,0.008255,121.14, 428.2655
229238,0.2964,0.007700,129.86, 429.0786
229239,0.3040,0.007679,130.23, 430.1387
229240,0.3113,0.007388,135.36, 430.2010
229241,0.3191,0.007701,129.85, 430.2634
229242,0.3264,0.007472,133.84, 430.1387
229243,0.3350,0.008455,118.27, 427.0158
229244,0.3420,0.007123,140.40, 429.3280
229245,0.3499,0.007725,129.45, 430.5128
229246,0.3579,0.008080,123.76, 430.0763
229247,0.3655,0.007591,131.74, 430.2634
229248,0.3738,0.008255,121.14, 430.5752
229249,0.3811,0.007449,134.25, 430.1387
229250,0.3892,0.008074,123.86, 429.8893
229251,0.3965,0.007198,138.92, 430.4505
229252,0.4043,0.007813,127.99, 430.6376
229253,0.4119,0.007601,131.57, 431.1364
229254,0.4197,0.007741,129.19, 430.0140
229255,0.4282,0.008527,117.27, 427.0158
229256,0.4353,0.007270,137.55, 430.2010
229257,0.4431,0.007684,130.14, 430.0763
229258,0.4514,0.008376,119.39, 430.2010
229259,0.4595,0.007919,126.28, 431.4507
229260,0.4673,0.007942,125.91, 429.9516
229261,0.4751,0.007681,130.20, 429.9516
229262,0.4827,0.007612,131.38, 431.5131
229263,0.4905,0.007895,126.67, 429.9516
229264,0.4983,0.007831,127.70, 430.4505
229265,0.5063,0.008087,123.66, 430.3258
229266,0.5142,0.007631,131.04, 430.2634
229267,0.5225,0.008277,120.82, 430.2010
229268,0.5298,0.007479,133.71, 430.3881
229269,0.5376,0.007676,130.28, 431.1364
229270,0.5452,0.007629,131.07, 430.0763
229271,0.5535,0.008330,120.05, 429.8269
229272,0.5610,0.007457,134.10, 430.0763
229273,0.5686,0.007793,128.32, 430.6999
229274,0.5767,0.008034,124.48, 430.2010
229275,0.5850,0.008089,123.63, 430.5128
229276,0.5925,0.007608,131.43, 430.0140
229277,0.6001,0.007526,132.87, 430.0140
229278,0.6079,0.008028,124.56, 430.0140
229279,0.6155,0.007547,132.50, 430.4505
229280,0.6238,0.008262,121.04, 429.9516
229281,0.6316,0.007732,129.33, 429.2657
229282,0.6392,0.007596,131.64, 430.3881
229283,0.6475,0.008252,121.18, 430.6376
229284,0.6558,0.008466,118.12, 429.2033
229285,0.6633,0.007374,135.62, 430.1387
229286,0.6711,0.008024,124.63, 430.3881
229287,0.6787,0.007393,135.26, 429.7646
229288,0.6865,0.007786,128.44, 429.8893
229289,0.6941,0.007617,131.29, 429.8893
229290,0.7021,0.007988,125.19, 430.0763
229291,0.7104,0.008304,120.43, 430.0140
229292,0.7175,0.007247,138.00, 430.2634
229293,0.7261,0.008370,119.47, 430.3258
229294,0.7344,0.008505,117.58, 429.8893
229295,0.7422,0.007656,130.62, 428.0161
229296,0.7498,0.007731,129.34, 430.4505
229297,0.7578,0.007842,127.51, 430.4505
229298,0.7654,0.007653,130.67, 429.9516
229299,0.7732,0.007865,127.14, 429.2657
229300,0.7820,0.008870,112.74, 429.4528
229301,0.7893,0.007307,136.85, 430.2634
229302,0.7974,0.008036,124.44, 430.2634
229303,0.8054,0.007895,126.66, 428.4525
229304,0.8132,0.007922,126.23, 430.9493
229305,0.8210,0.007815,127.97, 430.3881
229306,0.8296,0.008489,117.80, 429.8893
229307,0.8379,0.008327,120.10, 429.4528
229308,0.8457,0.007713,129.65, 429.8269
229309,0.8535,0.007902,126.55, 430.5752
229310,0.8616,0.008086,123.66, 427.0158
229311,0.8694,0.007869,127.08, 427.0158
229312,0.8767,0.007205,138.79, 429.7022
229313,0.8848,0.008028,124.57, 428.0161
229314,0.8921,0.007532,132.76, 429.8893
229315,0.8999,0.007708,129.74, 430.0140
229316,0.9082,0.008338,119.93, 430.3881
229317,0.9163,0.007950,125.79, 430.2010
229318,0.9241,0.007776,128.60, 430.3258
229319,0.9316,0.007558,132.31, 430.4505
229320,0.9397,0.008144,122.78, 430.0763
229321,0.9473,0.007563,132.22, 430.6999
229322,0.9546,0.007445,134.32, 431.0741
229323,0.9636,0.008857,112.91, 429.5775
229324,0.9712,0.007753,128.98, 429.3904
229325,0.9792,0.007827,127.76, 428.1407
229326,0.9863,0.007144,139.99, 430.1387
229327,0.9949,0.008592,116.39, 427.0158
229328,1.0017,0.006936,144.19, 430.5128
229329,1.0095,0.007766,128.77, 430.3881
229330,1.0173,0.007706,129.77, 430.3881
229331,1.0254,0.008186,122.17, 430.0140
229332,1.0332,0.007683,130.16, 430.0140
229333,1.0405,0.007434,134.52, 430.3881
229334,1.0488,0.008134,122.94, 430.3881
229335,1.0566,0.007859,127.24, 430.3258
