TotalFrame,Time,DeltaTime,FPS,RAM
76809,0.0000,0.031963,31.29, 414.8089
76810,0.0000,0.031963,31.29, 413.0138
76811,0.0200,0.020000,50.00, 412.7723
76812,0.0489,0.028870,34.64, 412.7721
76813,0.0782,0.029270,34.17, 412.7721
76814,0.1071,0.028877,34.63, 412.7721
76815,0.1358,0.028750,34.78, 412.7722
76816,0.1649,0.029095,34.37, 412.7721
76817,0.1935,0.028593,34.97, 412.7722
76818,0.2227,0.029196,34.25, 412.7721
76819,0.2512,0.028468,35.13, 412.7722
76820,0.2800,0.028875,34.63, 412.7721
76821,0.3096,0.029570,33.82, 412.7668
76822,0.3384,0.028811,34.71, 412.7668
76823,0.3673,0.028899,34.60, 412.7668
76824,0.3965,0.029173,34.28, 412.7668
76825,0.4251,0.028612,34.95, 412.7668
76826,0.4538,0.028717,34.82, 412.7668
76827,0.4824,0.028624,34.94, 412.7668
76828,0.5113,0.028844,34.67, 412.7668
76829,0.5416,0.030353,32.95, 412.7668
76830,0.5700,0.028411,35.20, 412.7668
76831,0.5986,0.028562,35.01, 412.7668
76832,0.6271,0.028498,35.09, 412.7668
76833,0.6564,0.029321,34.11, 412.7668
76834,0.6893,0.032877,30.42, 412.7668
76835,0.7178,0.028572,35.00, 412.7668
76836,0.7456,0.027736,36.05, 412.7668
76837,0.7743,0.028674,34.88, 412.7668
76838,0.8034,0.029135,34.32, 412.7668
76839,0.8321,0.028692,34.85, 412.7668
76840,0.8588,0.026663,37.50, 412.7668
76841,0.8874,0.028599,34.97, 412.7668
76842,0.9163,0.028977,34.51, 412.7668
76843,0.9446,0.028303,35.33, 412.7668
76844,0.9732,0.028556,35.02, 412.7668
76845,1.0016,0.028392,35.22, 412.7668
76846,1.0285,0.026891,37.19, 412.7668
76847,1.0572,0.028680,34.87, 412.7668
76848,1.0859,0.028784,34.74, 412.7668
76849,1.1134,0.027459,36.42, 412.7668
76850,1.1428,0.029439,33.97, 412.7668
76851,1.1717,0.028879,34.63, 412.7668
76852,1.2004,0.028672,34.88, 412.7668
76853,1.2292,0.028778,34.75, 412.7668
76854,1.2577,0.028531,35.05, 412.7668
76855,1.2863,0.028609,34.95, 412.7668
76856,1.3151,0.028775,34.75, 412.7668
76857,1.3437,0.028577,34.99, 412.7668
76858,1.3721,0.028452,35.15, 412.7668
76859,1.4007,0.028598,34.97, 412.7668
76860,1.4291,0.028398,35.21, 412.7668
76861,1.4574,0.028287,35.35, 412.7668
76862,1.4860,0.028620,34.94, 412.7668
76863,1.5145,0.028458,35.14, 412.7668
76864,1.5430,0.028497,35.09, 412.7668
76865,1.5712,0.028197,35.46, 412.7668
76866,1.5999,0.028683,34.86, 412.7668
76867,1.6285,0.028645,34.91, 412.7668
76868,1.6577,0.029157,34.30, 412.7668
76869,1.6889,0.031269,31.98, 412.7668
76870,1.7158,0.026810,37.30, 412.7668
76871,1.7448,0.029036,34.44, 412.7668
76872,1.7737,0.028923,34.57, 412.7668
76873,1.8002,0.026530,37.69, 412.7668
76874,1.8295,0.029254,34.18, 412.7668
76875,1.8587,0.029203,34.24, 412.7668
76876,1.8854,0.026744,37.39, 412.7668
