TotalFrame,Time,DeltaTime,FPS,RAM
56618,0.0000,0.067413,14.83, 4973.0460
56619,0.0000,0.067413,14.83, 4973.1740
56620,0.0200,0.020000,50.00, 4973.1020
56621,0.0234,0.003342,299.21, 4973.0750
56622,0.0269,0.003384,295.50, 4973.0750
56623,0.0967,0.069980,14.29, 4973.0750
56624,0.1738,0.076864,13.01, 4973.0750
56625,0.2354,0.061786,16.18, 4973.0750
56626,0.3042,0.068780,14.54, 4973.0750
56627,0.3740,0.069923,14.30, 4973.0750
56628,0.4844,0.110058,9.09, 4973.0720
56629,0.5151,0.030905,32.36, 4973.0750
56630,0.5854,0.070208,14.24, 4973.0740
56631,0.6548,0.069595,14.37, 4973.0700
56632,0.7246,0.069650,14.36, 4973.0690
56633,0.7939,0.069567,14.37, 4973.0690
56634,0.8638,0.069528,14.38, 4973.0690
56635,0.9336,0.069788,14.33, 4973.0690
56636,1.0034,0.069961,14.29, 4973.0700
56637,1.0728,0.069474,14.39, 4973.0690
56638,1.1431,0.070114,14.26, 4973.0690
56639,1.2124,0.069305,14.43, 4973.0690
56640,1.2852,0.072959,13.71, 4973.0690
56641,1.3516,0.066426,15.05, 4973.0690
56642,1.4224,0.070965,14.09, 4973.0700
56643,1.4956,0.072893,13.72, 4973.0690
56644,1.5620,0.066481,15.04, 4973.0700
56645,1.6318,0.069787,14.33, 4973.0690
56646,1.7017,0.069716,14.34, 4973.0700
56647,1.7715,0.070020,14.28, 4973.0690
56648,1.8413,0.069777,14.33, 4973.0690
56649,1.9102,0.069056,14.48, 4973.0690
56650,1.9805,0.069994,14.29, 4973.0690
56651,2.0503,0.069787,14.33, 4973.0690
56652,2.1196,0.069571,14.37, 4973.0690
56653,2.1895,0.069677,14.35, 4973.0690
56654,2.2588,0.069479,14.39, 4973.0690
56655,2.3286,0.069873,14.31, 4973.0690
56656,2.4023,0.073632,13.58, 4973.0700
56657,2.4697,0.067367,14.84, 4973.0690
56658,2.5396,0.069893,14.31, 4973.0700
