TotalFrame,Time,DeltaTime,FPS,RAM
39806,0.0000,0.278300,3.59, 427.3087
39807,0.0000,0.278300,3.59, 443.8537
39808,0.0200,0.020000,50.00, 436.1571
39809,0.0273,0.007380,135.50, 436.5331
39810,0.0342,0.006869,145.58, 436.0341
39811,0.3074,0.273137,3.66, 435.5949
39812,0.5869,0.279664,3.58, 435.8443
39813,0.8667,0.279742,3.57, 435.2207
39814,1.1479,0.281152,3.56, 435.2207
39815,1.4277,0.279900,3.57, 435.5325
39816,1.7085,0.280653,3.56, 435.4702
39817,1.9893,0.280966,3.56, 435.4078
39818,2.2703,0.280894,3.56, 435.3447
39819,2.5498,0.279661,3.58, 435.4024
39820,2.8308,0.280882,3.56, 435.5895
39821,3.1118,0.281040,3.56, 435.9636
39822,3.3923,0.280387,3.57, 435.7766
39823,3.6721,0.279881,3.57, 436.0260
39824,3.9539,0.281720,3.55, 435.0906
39825,4.2334,0.279614,3.58, 435.7142
39826,4.5139,0.280569,3.56, 435.4648
39827,4.7935,0.279502,3.58, 435.6519
39828,5.0735,0.280066,3.57, 431.4543
39829,5.3540,0.280358,3.57, 435.2153
39830,5.6338,0.279858,3.57, 435.5271
39831,5.9155,0.281709,3.55, 435.8389
39832,6.1975,0.281961,3.55, 435.5271
39833,6.4788,0.281333,3.55, 436.1507
39834,6.7600,0.281290,3.56, 435.9630
39835,7.0403,0.280209,3.57, 435.3395
39836,7.3208,0.280513,3.56, 435.4642
39837,7.6006,0.279668,3.58, 435.5266
39838,7.8816,0.281214,3.56, 435.4642
39839,8.1624,0.280670,3.56, 435.4642
39840,8.4412,0.278800,3.59, 437.2297
39841,8.7212,0.279935,3.57, 432.8880
39842,9.0012,0.280014,3.57, 435.7760
39843,9.2808,0.279536,3.58, 435.3395
39844,9.5613,0.280580,3.56, 435.6513
39845,9.8413,0.280037,3.57, 435.6513
