TotalFrame,Time,DeltaTime,FPS,RAM
2971,0.0000,0.012533,79.79, 315.0914
2972,0.0000,0.012533,79.79, 312.9273
2973,0.0200,0.020000,50.00, 312.8535
2974,0.0242,0.004195,238.40, 312.7023
2975,0.0283,0.004061,246.22, 312.6976
2976,0.0383,0.010011,99.89, 312.6697
2977,0.0441,0.005859,170.67, 312.6697
2978,0.0499,0.005737,174.31, 312.6697
2979,0.0564,0.006539,152.93, 312.6697
2980,0.0618,0.005443,183.73, 312.6697
2981,0.0681,0.006261,159.73, 312.6697
2982,0.0740,0.005897,169.58, 312.6697
2983,0.0805,0.006480,154.31, 312.6694
2984,0.0867,0.006220,160.78, 312.6650
2985,0.0928,0.006089,164.24, 312.6643
2986,0.0986,0.005765,173.47, 312.6643
2987,0.1036,0.005061,197.58, 312.6644
2988,0.1097,0.006081,164.44, 312.6757
2989,0.1142,0.004462,224.12, 312.6644
2990,0.1201,0.005974,167.39, 312.6644
2991,0.1252,0.005024,199.03, 312.6644
2992,0.1309,0.005785,172.87, 312.6644
2993,0.1364,0.005431,184.12, 312.6644
2994,0.1421,0.005704,175.32, 312.6644
2995,0.1478,0.005766,173.44, 312.6644
2996,0.1534,0.005541,180.47, 312.6650
2997,0.1588,0.005401,185.15, 312.6644
2998,0.1640,0.005249,190.53, 312.6644
2999,0.1697,0.005644,177.18, 312.6644
3000,0.1751,0.005431,184.14, 312.6644
3001,0.1806,0.005497,181.91, 312.6644
3002,0.1862,0.005609,178.27, 312.6644
3003,0.1917,0.005509,181.53, 312.6644
3004,0.1974,0.005716,174.95, 312.6644
3005,0.2029,0.005418,184.58, 312.6644
3006,0.2082,0.005384,185.75, 312.6644
3007,0.2138,0.005602,178.50, 312.6644
3008,0.2192,0.005349,186.96, 312.6644
3009,0.2247,0.005471,182.79, 312.6644
3010,0.2304,0.005743,174.13, 312.6644
3011,0.2356,0.005217,191.67, 312.6644
3012,0.2412,0.005602,178.50, 312.6644
3013,0.2467,0.005473,182.72, 312.6644
3014,0.2522,0.005505,181.66, 312.6647
3015,0.2577,0.005516,181.28, 312.6644
3016,0.2633,0.005573,179.45, 312.6644
3017,0.2691,0.005765,173.46, 312.6644
3018,0.2741,0.005009,199.63, 312.6644
3019,0.2794,0.005361,186.55, 312.6644
3020,0.2850,0.005544,180.38, 312.6644
3021,0.2905,0.005515,181.33, 312.6644
3022,0.2960,0.005504,181.68, 312.6644
3023,0.3017,0.005700,175.43, 312.6644
3024,0.3074,0.005667,176.46, 312.6644
3025,0.3128,0.005446,183.62, 312.6644
3026,0.3182,0.005364,186.41, 312.6644
3027,0.3239,0.005737,174.30, 312.6644
3028,0.3296,0.005659,176.73, 312.6644
3029,0.3352,0.005649,177.03, 312.6644
3030,0.3402,0.004941,202.38, 312.6644
3031,0.3456,0.005398,185.24, 312.6644
3032,0.3511,0.005535,180.66, 312.6644
3033,0.3566,0.005523,181.05, 312.6644
3034,0.3619,0.005295,188.84, 312.6644
3035,0.3675,0.005553,180.10, 312.6644
3036,0.3735,0.006050,165.30, 312.6644
3037,0.3794,0.005878,170.12, 312.6644
3038,0.3843,0.004953,201.91, 312.6644
3039,0.3895,0.005157,193.91, 312.6644
3040,0.3952,0.005678,176.12, 312.6647
3041,0.4009,0.005763,173.53, 312.6644
3042,0.4063,0.005316,188.10, 312.6644
3043,0.4117,0.005487,182.25, 312.6644
3044,0.4174,0.005617,178.04, 312.6644
3045,0.4229,0.005518,181.22, 312.6644
3046,0.4286,0.005748,173.96, 312.6644
3047,0.4338,0.005223,191.45, 312.6644
3048,0.4392,0.005372,186.17, 312.6644
3049,0.4450,0.005750,173.91, 312.6644
3050,0.4502,0.005239,190.88, 312.6644
3051,0.4554,0.005219,191.63, 312.6644
3052,0.4611,0.005634,177.49, 312.6647
3053,0.4666,0.005534,180.70, 312.6644
3054,0.4721,0.005518,181.21, 312.6644
3055,0.4775,0.005420,184.51, 312.6644
3056,0.4829,0.005401,185.15, 312.6644
3057,0.4888,0.005915,169.08, 312.6644
3058,0.4943,0.005490,182.14, 312.6644
3059,0.4998,0.005465,182.99, 312.6644
3060,0.5051,0.005298,188.74, 312.6644
3061,0.5105,0.005408,184.91, 312.6647
3062,0.5162,0.005659,176.70, 312.6644
3063,0.5217,0.005493,182.05, 312.6644
3064,0.5271,0.005455,183.33, 312.6644
3065,0.5327,0.005553,180.09, 312.6650
3066,0.5382,0.005539,180.54, 312.6644
3067,0.5438,0.005596,178.69, 312.6644
3068,0.5491,0.005310,188.32, 312.6644
3069,0.5547,0.005560,179.87, 312.6644
3070,0.5603,0.005640,177.32, 312.6647
3071,0.5653,0.004941,202.41, 312.6644
3072,0.5709,0.005611,178.22, 312.6644
3073,0.5764,0.005530,180.84, 312.6644
3074,0.5821,0.005698,175.49, 312.6644
3075,0.5873,0.005255,190.30, 312.6650
3076,0.5929,0.005549,180.22, 312.6644
3077,0.5987,0.005842,171.18, 312.6644
3078,0.6041,0.005359,186.61, 312.6647
3079,0.6096,0.005488,182.21, 312.6644
3080,0.6151,0.005509,181.53, 312.6644
3081,0.6207,0.005599,178.59, 312.6644
3082,0.6257,0.004993,200.30, 312.6644
3083,0.6311,0.005460,183.16, 312.6644
3084,0.6367,0.005538,180.56, 312.6644
3085,0.6422,0.005533,180.74, 312.6644
3086,0.6477,0.005522,181.10, 312.6644
3087,0.6532,0.005510,181.48, 312.6644
3088,0.6590,0.005707,175.22, 312.6668
3089,0.6643,0.005299,188.73, 312.6644
3090,0.6704,0.006160,162.35, 312.6644
3091,0.6755,0.005122,195.24, 312.6644
3092,0.6807,0.005115,195.49, 312.6644
3093,0.6866,0.005908,169.26, 312.6644
3094,0.6923,0.005768,173.36, 312.6644
3095,0.6981,0.005727,174.60, 312.6644
3096,0.7036,0.005535,180.66, 312.6791
3097,0.7091,0.005528,180.89, 312.6644
3098,0.7147,0.005586,179.03, 312.6644
3099,0.7201,0.005366,186.37, 312.6644
3100,0.7257,0.005679,176.08, 312.6644
3101,0.7311,0.005374,186.09, 312.6647
3102,0.7367,0.005571,179.51, 312.6644
3103,0.7419,0.005162,193.73, 312.6644
3104,0.7471,0.005254,190.34, 312.6644
3105,0.7525,0.005407,184.94, 312.6647
3106,0.7583,0.005791,172.67, 312.6647
3107,0.7637,0.005432,184.11, 312.6644
3108,0.7694,0.005689,175.77, 312.6644
3109,0.7758,0.006417,155.85, 312.6644
3110,0.7806,0.004720,211.85, 312.6644
3111,0.7860,0.005396,185.34, 312.6644
3112,0.7920,0.005989,166.96, 312.6647
3113,0.7973,0.005392,185.47, 312.6644
3114,0.8025,0.005194,192.53, 312.6644
3115,0.8080,0.005427,184.28, 312.6644
3116,0.8133,0.005387,185.62, 312.6644
3117,0.8193,0.005925,168.77, 312.6644
3118,0.8244,0.005084,196.71, 312.6644
3119,0.8298,0.005423,184.39, 312.6644
3120,0.8352,0.005433,184.07, 312.6650
3121,0.8405,0.005284,189.25, 312.6644
3122,0.8461,0.005555,180.01, 312.6644
3123,0.8512,0.005111,195.64, 312.6644
3124,0.8567,0.005536,180.65, 312.6644
3125,0.8626,0.005856,170.76, 312.6644
3126,0.8679,0.005378,185.94, 312.6644
3127,0.8735,0.005534,180.69, 312.6644
3128,0.8788,0.005371,186.19, 312.6644
3129,0.8842,0.005367,186.34, 312.6644
3130,0.8899,0.005647,177.09, 312.6659
3131,0.8951,0.005224,191.43, 312.6644
3132,0.9004,0.005369,186.26, 312.6647
3133,0.9058,0.005308,188.39, 312.6644
3134,0.9112,0.005434,184.02, 312.6644
3135,0.9166,0.005450,183.49, 312.6644
3136,0.9221,0.005440,183.82, 312.6644
3137,0.9280,0.005930,168.65, 312.6644
3138,0.9331,0.005059,197.67, 312.6644
3139,0.9389,0.005832,171.48, 312.6644
3140,0.9441,0.005172,193.33, 312.6644
3141,0.9495,0.005448,183.56, 312.6644
3142,0.9549,0.005376,186.02, 312.6644
3143,0.9601,0.005220,191.56, 312.6644
3144,0.9655,0.005382,185.80, 312.6644
3145,0.9717,0.006191,161.52, 312.6644
3146,0.9764,0.004749,210.57, 312.6644
3147,0.9818,0.005382,185.82, 312.6644
3148,0.9876,0.005826,171.64, 312.6644
3149,0.9928,0.005193,192.56, 312.6644
3150,0.9983,0.005431,184.13, 312.6644
3151,1.0039,0.005658,176.74, 312.6644
3152,1.0087,0.004805,208.11, 312.6644
3153,1.0142,0.005453,183.38, 312.6644
3154,1.0199,0.005669,176.39, 312.6644
3155,1.0252,0.005376,186.02, 312.6644
3156,1.0308,0.005536,180.64, 312.6650
3157,1.0361,0.005344,187.13, 312.6644
3158,1.0420,0.005842,171.17, 312.6644
3159,1.0472,0.005259,190.16, 312.6644
3160,1.0526,0.005397,185.30, 312.6647
3161,1.0581,0.005449,183.51, 312.6644
3162,1.0633,0.005215,191.77, 312.6644
