TotalFrame,Time,DeltaTime,FPS,RAM
864123,0.0000,0.013434,74.44, 457.5702
864124,0.0000,0.013434,74.44, 457.7892
864125,0.0200,0.020000,50.00, 457.6244
864126,0.0229,0.003162,316.23, 457.5953
864127,0.0259,0.002969,336.87, 457.5954
864128,0.0356,0.009653,103.60, 457.5948
864129,0.0396,0.003981,251.18, 457.5949
864130,0.0439,0.004049,246.95, 457.5949
864131,0.0474,0.003561,280.81, 457.5952
864132,0.0513,0.003839,260.50, 457.5952
864133,0.0557,0.004269,234.25, 457.5945
864134,0.0586,0.003094,323.22, 457.5949
864135,0.0625,0.003764,265.71, 457.5943
864136,0.0664,0.003943,253.61, 457.5898
864137,0.0698,0.003417,292.67, 457.5898
864138,0.0737,0.003949,253.21, 457.5898
864139,0.0771,0.003478,287.56, 457.5898
864140,0.0811,0.004063,246.14, 457.5892
864141,0.0850,0.003976,251.50, 457.5895
864142,0.0884,0.003428,291.70, 457.5898
864143,0.0923,0.003824,261.52, 457.5892
864144,0.0962,0.003863,258.85, 457.5892
864145,0.0996,0.003372,296.52, 457.5898
864146,0.1035,0.004004,249.74, 457.5898
864147,0.1069,0.003303,302.76, 457.5892
864148,0.1108,0.004110,243.30, 457.5898
864149,0.1162,0.005081,196.80, 457.5892
864150,0.1196,0.003548,281.88, 457.5907
864151,0.1230,0.003199,312.62, 457.5892
864152,0.1260,0.003225,310.11, 457.5898
864153,0.1304,0.004093,244.31, 457.5895
864154,0.1338,0.003497,286.00, 457.5898
864155,0.1372,0.003519,284.18, 457.5892
864156,0.1411,0.003892,256.94, 457.5895
864157,0.1450,0.003790,263.87, 457.5892
864158,0.1489,0.004079,245.15, 457.5892
864159,0.1528,0.004115,243.04, 457.5892
864160,0.1567,0.003896,256.66, 457.5917
864161,0.1606,0.003508,285.07, 457.5898
864162,0.1641,0.003838,260.57, 457.5898
864163,0.1675,0.003430,291.56, 457.5898
864164,0.1719,0.003942,253.67, 457.5898
864165,0.1758,0.004134,241.89, 457.5898
864166,0.1802,0.004350,229.89, 457.5892
864167,0.1836,0.003242,308.44, 457.5892
864168,0.1865,0.003128,319.72, 457.5892
864169,0.1904,0.003804,262.87, 457.5895
864170,0.1943,0.003860,259.07, 457.5892
864171,0.1978,0.003579,279.45, 457.5898
864172,0.2017,0.003849,259.80, 457.5898
864173,0.2061,0.004601,217.34, 457.5892
864174,0.2100,0.003526,283.58, 457.5892
864175,0.2129,0.003046,328.29, 457.5898
864176,0.2163,0.003587,278.76, 457.5892
864177,0.2202,0.003872,258.24, 457.5898
864178,0.2241,0.003940,253.79, 457.5898
864179,0.2280,0.003612,276.89, 457.5898
864180,0.2314,0.003649,274.06, 457.5898
864181,0.2349,0.003634,275.21, 457.5898
864182,0.2388,0.003835,260.73, 457.5895
864183,0.2427,0.003818,261.94, 457.5898
864184,0.2461,0.003508,285.04, 457.5898
864185,0.2500,0.003859,259.13, 457.5898
864186,0.2539,0.004016,249.02, 457.5898
864187,0.2573,0.003448,289.99, 457.5898
864188,0.2612,0.003756,266.23, 457.5898
864189,0.2651,0.003721,268.73, 457.5898
864190,0.2686,0.003665,272.82, 457.5895
864191,0.2729,0.004285,233.40, 457.5898
864192,0.2764,0.003451,289.80, 457.5895
864193,0.2808,0.004480,223.23, 457.5892
864194,0.2842,0.003325,300.72, 457.5895
864195,0.2871,0.003073,325.43, 457.5898
864196,0.2915,0.004002,249.88, 457.5898
864197,0.2949,0.003562,280.74, 457.5898
864198,0.2988,0.003793,263.66, 457.5898
864199,0.3027,0.004082,244.98, 457.5898
864200,0.3062,0.003328,300.52, 457.5892
864201,0.3101,0.003773,265.06, 457.5898
864202,0.3135,0.003732,267.94, 457.5895
864203,0.3174,0.003838,260.55, 457.5892
864204,0.3213,0.003955,252.88, 457.5898
864205,0.3247,0.003351,298.43, 457.5895
864206,0.3286,0.003854,259.46, 457.5898
