TotalFrame,Time,DeltaTime,FPS,RAM
226881,0.0000,0.013714,72.92, 429.7416
226882,0.0000,0.013714,72.92, 438.3867
226883,0.0200,0.020000,50.00, 430.1747
226884,0.0254,0.005387,185.64, 434.8486
226885,0.0313,0.005698,175.50, 435.7827
226886,0.0405,0.009499,105.27, 430.9844
226887,0.0454,0.004727,211.54, 430.4855
226888,0.0503,0.004855,205.96, 430.7973
226889,0.0552,0.004866,205.50, 430.7973
226890,0.0598,0.004825,207.26, 430.6103
226891,0.0647,0.004828,207.11, 431.1715
226892,0.0696,0.004833,206.93, 431.8563
226893,0.0747,0.005019,199.23, 430.8596
226894,0.0793,0.004857,205.88, 430.7920
226895,0.0842,0.004808,208.00, 430.5425
226896,0.0894,0.005154,194.02, 429.7943
226897,0.0940,0.004586,218.04, 430.6049
226898,0.0989,0.004837,206.75, 431.1038
226899,0.1038,0.004841,206.58, 430.7920
226900,0.1086,0.004866,205.52, 430.6049
226901,0.1135,0.004894,204.32, 431.1661
226902,0.1182,0.004827,207.15, 430.7296
226903,0.1233,0.005031,198.78, 430.1684
226904,0.1279,0.004751,210.46, 431.0414
226905,0.1331,0.004972,201.12, 431.4156
226906,0.1379,0.004959,201.66, 431.6015
226907,0.1428,0.004892,204.44, 430.7920
226908,0.1477,0.004843,206.48, 430.4802
226909,0.1526,0.004790,208.79, 431.1038
226910,0.1575,0.004984,200.64, 430.5425
226911,0.1624,0.004866,205.50, 430.5425
226912,0.1672,0.004792,208.68, 430.9167
226913,0.1719,0.004842,206.54, 431.1038
226914,0.1768,0.004805,208.10, 430.7920
226915,0.1816,0.004881,204.88, 430.7920
226916,0.1865,0.004877,205.04, 431.3532
226917,0.1914,0.004849,206.25, 430.7296
226918,0.1963,0.004903,203.96, 430.9167
226919,0.2012,0.004783,209.08, 430.4802
226920,0.2058,0.004786,208.93, 430.9167
226921,0.2107,0.004916,203.43, 431.1661
226922,0.2156,0.004877,205.05, 430.7296
226923,0.2207,0.005039,198.47, 430.4802
226924,0.2253,0.004710,212.31, 430.6049
226925,0.2305,0.004987,200.54, 430.5425
226926,0.2354,0.004945,202.24, 431.2908
226927,0.2402,0.004854,206.02, 431.0414
226928,0.2451,0.004912,203.57, 430.6673
226929,0.2498,0.004765,209.85, 430.6049
226930,0.2546,0.004778,209.31, 430.6673
226931,0.2595,0.004989,200.45, 431.4156
226932,0.2644,0.004748,210.60, 430.9790
226933,0.2693,0.004886,204.66, 430.6673
226934,0.2742,0.004868,205.41, 430.8543
226935,0.2791,0.004792,208.70, 430.7920
226936,0.2839,0.004906,203.84, 431.0414
226937,0.2886,0.004769,209.69, 430.8543
226938,0.2935,0.004853,206.07, 430.9167
226939,0.2983,0.004853,206.06, 430.6673
226940,0.3030,0.004755,210.30, 431.2285
226941,0.3081,0.004987,200.51, 431.1038
226942,0.3127,0.004749,210.56, 430.5425
226943,0.3176,0.004823,207.35, 430.9167
226944,0.3230,0.005415,184.68, 429.7937
226945,0.3286,0.005657,176.78, 430.6673
226946,0.3340,0.005251,190.44, 429.7944
226947,0.3386,0.004769,209.69, 431.5392
226948,0.3435,0.004801,208.28, 430.8543
226949,0.3484,0.004945,202.22, 430.6673
226950,0.3533,0.004762,209.98, 430.6049
226951,0.3582,0.004828,207.13, 430.7296
226952,0.3628,0.004836,206.77, 432.7863
226953,0.3679,0.005058,197.70, 431.4779
226954,0.3733,0.005348,186.98, 430.6673
226955,0.3782,0.004833,206.92, 431.7262
226956,0.3831,0.004975,201.02, 430.5425
226957,0.3882,0.004960,201.62, 430.4178
226958,0.3928,0.004790,208.76, 430.9790
226959,0.3977,0.004802,208.26, 431.7262
226960,0.4026,0.005001,199.96, 430.6673
226961,0.4075,0.004742,210.88, 430.4178
226962,0.4121,0.004756,210.27, 431.0414
226963,0.4172,0.005148,194.26, 431.6015
226964,0.4229,0.005427,184.26, 429.7920
226965,0.4287,0.005895,169.65, 430.8543
226966,0.4346,0.005941,168.32, 431.5392
226967,0.4407,0.006125,163.27, 429.7953
226968,0.4456,0.004825,207.24, 431.2285
226969,0.4504,0.004966,201.35, 430.9790
226970,0.4556,0.004966,201.37, 430.9790
226971,0.4602,0.004833,206.91, 431.4779
226972,0.4653,0.004974,201.03, 430.6673
226973,0.4702,0.004901,204.04, 430.7920
226974,0.4749,0.004776,209.38, 430.4802
226975,0.4797,0.004786,208.96, 430.8543
226976,0.4846,0.005016,199.36, 430.8543
226977,0.4900,0.005280,189.40, 429.7953
226978,0.4946,0.004585,218.09, 430.7920
226979,0.4995,0.004827,207.16, 430.5425
226980,0.5042,0.004790,208.77, 430.7296
226981,0.5093,0.004938,202.51, 431.1661
