TotalFrame,Time,DeltaTime,FPS,RAM
85797,0.0000,0.052783,18.95, 416.8055
85798,0.0000,0.052783,18.95, 415.0443
85799,0.0200,0.020000,50.00, 414.8033
85800,0.0610,0.040958,24.42, 414.8024
85801,0.1016,0.040494,24.69, 414.8022
85802,0.1439,0.042371,23.60, 414.8023
85803,0.1859,0.042008,23.80, 414.8023
85804,0.2268,0.040876,24.46, 414.8023
85805,0.2689,0.042189,23.70, 414.8023
85806,0.3087,0.039782,25.14, 414.8023
85807,0.3527,0.043935,22.76, 414.8023
85808,0.3956,0.042901,23.31, 414.8023
85809,0.4360,0.040425,24.74, 414.8015
85810,0.4769,0.040936,24.43, 414.7970
85811,0.5178,0.040919,24.44, 414.7970
85812,0.5583,0.040536,24.67, 414.7970
85813,0.5991,0.040726,24.55, 414.7969
85814,0.6411,0.041990,23.82, 414.7970
85815,0.6819,0.040791,24.52, 414.7969
85816,0.7223,0.040344,24.79, 414.7969
85817,0.7627,0.040468,24.71, 414.7970
85818,0.8043,0.041674,24.00, 414.7970
85819,0.8464,0.042013,23.80, 414.7970
85820,0.8868,0.040426,24.74, 414.7969
85821,0.9280,0.041163,24.29, 414.7969
85822,0.9697,0.041777,23.94, 414.7970
85823,1.0116,0.041800,23.92, 414.7970
85824,1.0522,0.040725,24.55, 414.7969
85825,1.0928,0.040455,24.72, 414.7970
85826,1.1346,0.041935,23.85, 414.7971
85827,1.1783,0.043707,22.88, 414.7970
85828,1.2207,0.042300,23.64, 414.7970
85829,1.2612,0.040579,24.64, 414.7969
85830,1.3040,0.042708,23.41, 414.7970
85831,1.3452,0.041279,24.23, 414.7970
85832,1.3871,0.041777,23.94, 414.7969
85833,1.4280,0.041003,24.39, 414.7969
85834,1.4674,0.039337,25.42, 414.7970
85835,1.5088,0.041373,24.17, 414.7970
85836,1.5494,0.040675,24.59, 414.7970
85837,1.5907,0.041320,24.20, 414.7969
85838,1.6333,0.042532,23.51, 414.7970
85839,1.6741,0.040777,24.52, 414.7970
85840,1.7147,0.040731,24.55, 414.7970
85841,1.7554,0.040567,24.65, 414.7970
85842,1.7958,0.040395,24.76, 414.7970
85843,1.8364,0.040639,24.61, 414.7970
85844,1.8776,0.041129,24.31, 414.7970
85845,1.9183,0.040819,24.50, 414.7969
85846,1.9604,0.042073,23.77, 414.7970
85847,2.0011,0.040765,24.53, 414.7970
85848,2.0415,0.040356,24.78, 414.7970
85849,2.0824,0.040906,24.45, 414.7970
85850,2.1252,0.042792,23.37, 414.7970
85851,2.1674,0.042141,23.73, 414.7970
85852,2.2081,0.040726,24.55, 414.7970
85853,2.2502,0.042196,23.70, 414.7970
85854,2.2933,0.043110,23.20, 414.7970
85855,2.3362,0.042793,23.37, 414.7969
85856,2.3773,0.041102,24.33, 414.7970
85857,2.4176,0.040267,24.83, 414.7969
85858,2.4583,0.040694,24.57, 414.7970
85859,2.4996,0.041373,24.17, 414.7970
85860,2.5403,0.040658,24.60, 414.7970
85861,2.5807,0.040463,24.71, 414.7970
85862,2.6216,0.040822,24.50, 414.7970
85863,2.6625,0.040910,24.44, 414.7970
85864,2.7026,0.040213,24.87, 414.7970
85865,2.7435,0.040877,24.46, 414.7970
85866,2.7850,0.041490,24.10, 414.7970
