TotalFrame,Time,DeltaTime,FPS,RAM
442010,0.0000,0.009548,104.73, 634.7332
442011,0.0000,0.009548,104.73, 634.8710
442012,0.0195,0.020000,50.00, 634.7872
442013,0.0234,0.003491,286.43, 634.7582
442014,0.0269,0.003398,294.33, 634.7577
442015,0.0391,0.012285,81.40, 634.7576
442016,0.0449,0.006126,163.24, 634.7575
442017,0.0513,0.006185,161.68, 634.7574
442018,0.0571,0.005946,168.17, 634.7574
442019,0.0630,0.006021,166.08, 634.7574
442020,0.0693,0.006042,165.50, 634.7574
442021,0.0752,0.005760,173.60, 634.7580
442022,0.0811,0.005901,169.46, 634.7566
442023,0.0869,0.005794,172.60, 634.7526
442024,0.0928,0.005904,169.37, 634.7521
442025,0.0986,0.005919,168.94, 634.7521
442026,0.1045,0.005747,174.02, 634.7523
442027,0.1104,0.006023,166.03, 634.7523
442028,0.1162,0.005794,172.60, 634.7521
442029,0.1221,0.005820,171.81, 634.7521
442030,0.1279,0.005975,167.36, 634.7521
442031,0.1338,0.005905,169.35, 634.7526
442032,0.1396,0.005797,172.51, 634.7521
442033,0.1455,0.006010,166.38, 634.7521
442034,0.1519,0.006014,166.28, 634.7521
442035,0.1572,0.005608,178.33, 634.7521
442036,0.1636,0.006385,156.62, 634.7521
442037,0.1694,0.005895,169.63, 634.7521
442038,0.1753,0.005804,172.29, 634.7521
442039,0.1812,0.005852,170.88, 634.7521
442040,0.1870,0.005870,170.35, 634.7521
442041,0.1929,0.006060,165.01, 634.7523
442042,0.1987,0.005720,174.84, 634.7521
442043,0.2046,0.005752,173.86, 634.7521
442044,0.2104,0.005914,169.09, 634.7521
442045,0.2163,0.005767,173.41, 634.7521
442046,0.2222,0.006117,163.47, 634.7521
442047,0.2280,0.005872,170.29, 634.7521
442048,0.2334,0.005335,187.46, 634.7523
442049,0.2402,0.006421,155.75, 634.7574
442050,0.2456,0.005419,184.53, 634.7526
442051,0.2510,0.005697,175.53, 634.7521
442052,0.2573,0.006055,165.15, 634.7521
442053,0.2632,0.006072,164.70, 634.7526
442054,0.2690,0.005640,177.30, 634.7523
442055,0.2749,0.005976,167.34, 634.7521
442056,0.2808,0.005874,170.26, 634.7521
442057,0.2866,0.005885,169.92, 634.7521
442058,0.2925,0.005868,170.42, 634.7521
442059,0.2983,0.005731,174.49, 634.7521
442060,0.3042,0.006040,165.56, 634.7521
442061,0.3101,0.005847,171.03, 634.7526
442062,0.3159,0.005967,167.58, 634.7521
442063,0.3218,0.005834,171.41, 634.7521
442064,0.3276,0.005922,168.86, 634.7521
442065,0.3335,0.005764,173.48, 634.7521
442066,0.3394,0.005879,170.11, 634.7521
