TotalFrame,Time,DeltaTime,FPS,RAM
223962,0.0000,0.010589,94.44, 426.9614
223963,0.0000,0.010589,94.44, 436.8104
223964,0.0200,0.020000,50.00, 431.4811
223965,0.0259,0.005795,172.58, 430.8669
223966,0.0313,0.005599,178.62, 432.0415
223967,0.0383,0.007021,142.43, 429.1831
223968,0.0459,0.007516,133.04, 429.4324
223969,0.0540,0.008142,122.82, 427.0208
223970,0.0610,0.006939,144.12, 429.5572
223971,0.0686,0.007598,131.61, 429.8690
223972,0.0759,0.007399,135.15, 429.7442
223973,0.0835,0.007586,131.82, 429.6819
223974,0.0911,0.007576,131.99, 429.0575
223975,0.0986,0.007529,132.81, 430.1754
223976,0.1060,0.007380,135.50, 429.6141
223977,0.1140,0.007955,125.70, 427.3170
223978,0.1216,0.007540,132.62, 427.0154
223979,0.1284,0.006808,146.88, 429.1776
223980,0.1360,0.007631,131.04, 429.7389
223981,0.1438,0.007821,127.86, 429.9883
223982,0.1514,0.007532,132.77, 428.9384
223983,0.1592,0.007842,127.52, 429.0529
223984,0.1670,0.007814,127.98, 429.3647
223985,0.1738,0.006868,145.61, 429.5518
223986,0.1816,0.007883,126.86, 428.4395
223987,0.1895,0.007789,128.39, 427.0154
223988,0.1970,0.007417,134.82, 429.4271
223989,0.2046,0.007754,128.96, 427.0154
223990,0.2117,0.006981,143.25, 428.5019
223991,0.2195,0.007774,128.64, 428.8760
223992,0.2273,0.007778,128.56, 427.0154
223993,0.2346,0.007280,137.37, 430.1754
223994,0.2419,0.007444,134.34, 429.7389
223995,0.2498,0.007856,127.29, 427.0154
223996,0.2568,0.007131,140.23, 429.6141
223997,0.2644,0.007391,135.29, 430.8613
223998,0.2722,0.007796,128.26, 430.4872
223999,0.2793,0.007139,140.07, 429.3647
224000,0.2874,0.008075,123.84, 429.4894
224001,0.2949,0.007513,133.11, 429.6141
224002,0.3025,0.007540,132.63, 428.9384
224003,0.3098,0.007340,136.25, 429.8012
224004,0.3174,0.007587,131.80, 429.4271
224005,0.3245,0.007234,138.24, 430.1754
224006,0.3323,0.007791,128.35, 429.4894
224007,0.3401,0.007787,128.42, 427.0154
224008,0.3469,0.006800,147.05, 429.2400
224009,0.3545,0.007555,132.36, 429.7389
224010,0.3625,0.008131,122.98, 428.8760
224011,0.3704,0.007862,127.20, 430.0506
224012,0.3777,0.007182,139.23, 429.4271
224013,0.3857,0.008131,122.98, 429.3647
224014,0.3928,0.007144,139.97, 430.6119
224015,0.4009,0.007886,126.80, 430.3624
224016,0.4089,0.008097,123.51, 427.0154
224017,0.4163,0.007362,135.83, 429.6765
224018,0.4241,0.007699,129.88, 430.3001
224019,0.4319,0.007931,126.09, 429.3647
224020,0.4392,0.007346,136.13, 429.4271
224021,0.4465,0.007267,137.60, 430.9759
224022,0.4541,0.007554,132.39, 429.8636
