TotalFrame,Time,DeltaTime,FPS,RAM
18689,0.0000,0.010760,92.94, 363.9803
18690,0.0000,0.010760,92.94, 366.7704
18691,0.0200,0.020000,50.00, 364.2754
18692,0.0265,0.006546,152.77, 363.8740
18693,0.0315,0.004981,200.75, 364.5684
18694,0.0380,0.006480,154.31, 363.8712
18695,0.0429,0.004939,202.48, 363.8712
18696,0.0480,0.005071,197.21, 363.8712
18697,0.0530,0.005007,199.71, 363.8712
18698,0.0580,0.004949,202.07, 363.8712
18699,0.0630,0.005023,199.07, 363.8712
18700,0.0680,0.005000,200.02, 363.8712
18701,0.0729,0.004944,202.25, 363.8658
18702,0.0779,0.004980,200.81, 363.8658
18703,0.0829,0.005020,199.21, 363.8658
18704,0.0880,0.005072,197.16, 363.8658
18705,0.0930,0.004985,200.60, 363.8658
18706,0.0979,0.004897,204.21, 363.8659
18707,0.1030,0.005092,196.40, 363.8658
18708,0.1080,0.005053,197.90, 363.8658
18709,0.1131,0.005043,198.30, 363.8658
18710,0.1180,0.004885,204.69, 363.8658
18711,0.1230,0.005003,199.88, 363.8658
18712,0.1278,0.004854,206.00, 363.8658
18713,0.1328,0.004944,202.27, 363.8658
18714,0.1378,0.004988,200.50, 363.8658
18715,0.1436,0.005818,171.87, 363.8658
18716,0.1486,0.004985,200.59, 363.8658
18717,0.1535,0.004937,202.56, 363.8658
18718,0.1584,0.004909,203.72, 363.8658
18719,0.1634,0.005017,199.34, 363.8658
18720,0.1685,0.005048,198.08, 363.8658
18721,0.1735,0.004985,200.61, 363.8659
18722,0.1784,0.004941,202.40, 363.8658
18723,0.1834,0.004966,201.37, 363.8658
18724,0.1883,0.004912,203.59, 363.8664
18725,0.1932,0.004920,203.26, 363.8658
18726,0.1982,0.004957,201.72, 363.8658
18727,0.2031,0.004979,200.83, 363.8658
18728,0.2081,0.004940,202.41, 363.8658
18729,0.2131,0.005006,199.74, 363.8658
18730,0.2181,0.005017,199.34, 363.8658
18731,0.2232,0.005079,196.89, 363.8658
18732,0.2281,0.004970,201.22, 363.8658
18733,0.2331,0.004943,202.31, 363.8658
18734,0.2380,0.004943,202.31, 363.8661
18735,0.2429,0.004918,203.35, 363.8658
18736,0.2480,0.005013,199.47, 363.8659
18737,0.2529,0.004960,201.63, 363.8658
18738,0.2578,0.004899,204.13, 363.8658
18739,0.2628,0.004995,200.22, 363.8658
18740,0.2677,0.004882,204.83, 363.8658
18741,0.2727,0.004980,200.80, 363.8658
18742,0.2777,0.005070,197.23, 363.8658
18743,0.2827,0.004979,200.86, 363.8658
18744,0.2877,0.004959,201.66, 363.8658
18745,0.2926,0.004957,201.72, 363.8658
18746,0.2977,0.005078,196.92, 363.8658
18747,0.3027,0.004981,200.77, 363.8658
18748,0.3077,0.004969,201.27, 363.8658
18749,0.3129,0.005217,191.69, 363.8658
18750,0.3179,0.004981,200.77, 363.8658
18751,0.3228,0.004929,202.89, 363.8658
18752,0.3277,0.004923,203.13, 363.8658
18753,0.3327,0.004942,202.36, 363.8658
18754,0.3376,0.004962,201.55, 363.8658
18755,0.3426,0.004959,201.67, 363.8658
18756,0.3475,0.004897,204.22, 363.8682
18757,0.3525,0.004990,200.40, 363.8658
18758,0.3574,0.004966,201.38, 363.8658
18759,0.3623,0.004905,203.87, 363.8659
18760,0.3673,0.004971,201.16, 363.8658
18761,0.3723,0.005017,199.34, 363.8664
18762,0.3772,0.004868,205.41, 363.8658
18763,0.3821,0.004927,202.96, 363.8658
18764,0.3872,0.005107,195.81, 363.8658
18765,0.3921,0.004896,204.25, 363.8658
18766,0.3971,0.004950,202.03, 363.8658
18767,0.4021,0.005014,199.46, 363.8658
18768,0.4070,0.004873,205.20, 363.8658
18769,0.4119,0.004980,200.80, 363.8658
18770,0.4170,0.005107,195.80, 363.8658
18771,0.4220,0.004953,201.90, 363.8658
18772,0.4270,0.004960,201.62, 363.8658
18773,0.4322,0.005201,192.27, 363.8659
18774,0.4372,0.005088,196.53, 363.8658
18775,0.4423,0.005008,199.68, 363.8659
18776,0.4474,0.005188,192.76, 363.8942
18777,0.4539,0.006499,153.88, 363.8658
18778,0.4599,0.005942,168.31, 363.8658
18779,0.4660,0.006082,164.43, 363.8658
18780,0.4716,0.005676,176.19, 363.8658
18781,0.4777,0.006057,165.11, 363.8658
18782,0.4833,0.005572,179.48, 363.8658
18783,0.4889,0.005609,178.29, 363.8658
18784,0.4946,0.005762,173.55, 363.8658
18785,0.5002,0.005556,180.00, 363.8658
18786,0.5058,0.005576,179.35, 363.8659
18787,0.5116,0.005796,172.52, 363.8658
18788,0.5173,0.005757,173.71, 363.8658
18789,0.5229,0.005630,177.62, 363.8658
18790,0.5285,0.005550,180.18, 363.8658
18791,0.5345,0.005971,167.48, 363.8658
18792,0.5404,0.005891,169.75, 363.8659
18793,0.5454,0.005035,198.61, 363.8658
18794,0.5503,0.004880,204.93, 363.8658
18795,0.5554,0.005139,194.58, 363.8658
18796,0.5604,0.004955,201.81, 363.8658
18797,0.5653,0.004945,202.22, 363.8664
